network,cv_error_rate_mean,cv_error_rate_std,n_regions,task_error_rate_mean,task_error_rate_std,error_increase_mean,error_increase_std,error_increase_min,error_increase_max
Pallidum_ant,0.4866,0.0063,2,0.7475,0.0177,0.2609,0.0114,0.2529,0.2689
Hippocampus_post,0.1763,0.0158,2,0.3175,0.0035,0.1412,0.0193,0.1275,0.1548
Thalamus_VP,0.1696,0.0253,2,0.2975,0.0318,0.1279,0.0571,0.0875,0.1682
Accumbens_shell,0.1585,0.0474,2,0.285,0.0354,0.1265,0.012,0.118,0.135
Putamen_post,0.0781,0.0032,2,0.2025,0.0247,0.1244,0.0279,0.1046,0.1441
Thalamus_VA,0.0737,0.0032,2,0.165,0.0212,0.0913,0.0244,0.0741,0.1086
Hippocampus_ant,0.0804,0.0126,2,0.16,0.0,0.0796,0.0126,0.0707,0.0886
Amygdala_lat,0.2254,0.0032,2,0.2975,0.0955,0.0721,0.0986,0.0023,0.1418
Accumbens_core,0.1161,0.0063,2,0.1875,0.046,0.0714,0.0523,0.0345,0.1084
SomMotB,0.0423,0.0222,15,0.1117,0.0531,0.0694,0.0363,0.0121,0.132
Putamen_ant,0.0402,0.0126,2,0.1025,0.0035,0.0623,0.0091,0.0559,0.0687
Thalamus_DA,0.1049,0.0095,2,0.1625,0.0106,0.0576,0.0201,0.0434,0.0718
ContC,0.0134,0.0089,6,0.0692,0.0397,0.0558,0.041,0.0032,0.1271
Pallidum_post,0.5067,0.0474,2,0.56,0.0354,0.0533,0.0827,-0.0052,0.1118
TempPar,0.1071,0.0238,6,0.155,0.0358,0.0479,0.0269,0.0079,0.0873
Amygdala_med,0.1406,0.0032,2,0.1875,0.0177,0.0469,0.0145,0.0366,0.0571
Caudate_post,0.0692,0.0095,2,0.115,0.0141,0.0458,0.0236,0.0291,0.0625
SalVentAttnA,0.0684,0.0519,16,0.1134,0.1018,0.0451,0.0626,-0.0302,0.2454
ContA,0.0681,0.0287,16,0.1103,0.0776,0.0422,0.0737,-0.04,0.1825
Thalamus_DP,0.2388,0.0284,2,0.275,0.0636,0.0362,0.0921,-0.0289,0.1012
VisPeri,0.0324,0.0401,12,0.0663,0.061,0.0339,0.0293,0.0055,0.1038
LimbicA,0.1797,0.0649,8,0.2112,0.0861,0.0316,0.0422,-0.0073,0.1264
DefaultB,0.0641,0.038,17,0.0871,0.0606,0.023,0.0495,-0.0445,0.123
Caudate_ant,0.0446,0.0063,2,0.0625,0.0389,0.0179,0.0326,-0.0052,0.0409
DefaultC,0.0379,0.0254,6,0.0533,0.035,0.0154,0.017,0.0054,0.048
VisCent,0.0294,0.0231,12,0.0442,0.0339,0.0148,0.0162,-0.0079,0.047
DefaultA,0.0603,0.0863,14,0.0736,0.0586,0.0133,0.0387,-0.0988,0.0566
SalVentAttnB,0.0683,0.0253,10,0.0795,0.0338,0.0112,0.0408,-0.0655,0.0836
DorsAttnA,0.0632,0.028,12,0.0654,0.0375,0.0022,0.036,-0.0325,0.0854
LimbicB,0.0893,0.0553,6,0.0908,0.0725,0.0015,0.0373,-0.0404,0.0477
SomMotA,0.0425,0.0153,19,0.0395,0.0227,-0.0031,0.0245,-0.0357,0.0632
DorsAttnB,0.0576,0.0267,10,0.054,0.0501,-0.0036,0.0391,-0.0454,0.0709
ContB,0.0628,0.019,15,0.057,0.0472,-0.0058,0.0399,-0.0604,0.1007
