region_name,network,cv_error_rate,task_error_rate,error_increase
aGP-lh,Pallidum_ant,0.4911,0.76,0.2689
aGP-rh,Pallidum_ant,0.4821,0.735,0.2529
RH_SalVentAttnA_PrC_1,SalVentAttnA,0.1696,0.415,0.2454
RH_ContA_PFCl_1,ContA,0.0625,0.245,0.1825
THA-VP-rh,Thalamus_VP,0.1518,0.32,0.1682
LH_ContA_Cingm_1,ContA,0.0804,0.24,0.1596
pHIP-rh,Hippocampus_post,0.1652,0.32,0.1548
pPUT-lh,Putamen_post,0.0759,0.22,0.1441
RH_ContA_Cingm_1,ContA,0.0625,0.205,0.1425
lAMY-rh,Amygdala_lat,0.2232,0.365,0.1418
NAc-shell-lh,Accumbens_shell,0.125,0.26,0.135
LH_SomMotB_Aud_3,SomMotB,0.058,0.19,0.132
pHIP-lh,Hippocampus_post,0.1875,0.315,0.1275
RH_ContC_pCun_2,ContC,0.0179,0.145,0.1271
RH_LimbicA_TempPole_2,LimbicA,0.1786,0.305,0.1264
LH_DefaultB_Temp_3,DefaultB,0.067,0.19,0.123
RH_SomMotB_S2_1,SomMotB,0.067,0.185,0.118
NAc-shell-rh,Accumbens_shell,0.192,0.31,0.118
LH_SomMotB_S2_1,SomMotB,0.0759,0.19,0.1141
RH_SomMotB_S2_3,SomMotB,0.0312,0.145,0.1138
