region_idx,region_name,network,hemisphere
0,RH_VisCent_ExStr_1,VisCent,right
1,RH_VisCent_ExStr_2,VisCent,right
2,RH_VisCent_Striate_1,VisCent,right
3,RH_VisCent_ExStr_3,VisCent,right
4,RH_VisCent_ExStr_4,VisCent,right
5,RH_VisCent_ExStr_5,VisCent,right
6,RH_VisPeri_ExStrInf_1,VisPeri,right
7,RH_VisPeri_ExStrInf_2,VisPeri,right
8,RH_VisPeri_StriCal_1,VisPeri,right
9,RH_VisPeri_ExStrSup_1,VisPeri,right
10,RH_VisPeri_ExStrSup_2,VisPeri,right
11,RH_VisPeri_ExStrSup_3,VisPeri,right
12,RH_SomMotA_1,SomMotA,right
13,RH_SomMotA_2,SomMotA,right
14,RH_SomMotA_3,SomMotA,right
15,RH_SomMotA_4,SomMotA,right
16,RH_SomMotA_5,SomMotA,right
17,RH_SomMotA_6,SomMotA,right
18,RH_SomMotA_7,SomMotA,right
19,RH_SomMotA_8,SomMotA,right
20,RH_SomMotA_9,SomMotA,right
21,RH_SomMotA_10,SomMotA,right
22,RH_SomMotA_11,SomMotA,right
23,RH_SomMotB_Aud_1,SomMotB,right
24,RH_SomMotB_Aud_2,SomMotB,right
25,RH_SomMotB_S2_1,SomMotB,right
26,RH_SomMotB_S2_2,SomMotB,right
27,RH_SomMotB_S2_3,SomMotB,right
28,RH_SomMotB_S2_4,SomMotB,right
29,RH_SomMotB_Cent_1,SomMotB,right
30,RH_DorsAttnA_TempOcc_1,DorsAttnA,right
31,RH_DorsAttnA_ParOcc_1,DorsAttnA,right
32,RH_DorsAttnA_SPL_1,DorsAttnA,right
33,RH_DorsAttnA_SPL_2,DorsAttnA,right
34,RH_DorsAttnA_SPL_3,DorsAttnA,right
35,RH_DorsAttnA_SPL_4,DorsAttnA,right
36,RH_DorsAttnB_PostC_1,DorsAttnB,right
37,RH_DorsAttnB_PostC_2,DorsAttnB,right
38,RH_DorsAttnB_PostC_3,DorsAttnB,right
39,RH_DorsAttnB_PostC_4,DorsAttnB,right
40,RH_DorsAttnB_FEF_1,DorsAttnB,right
41,RH_SalVentAttnA_ParOper_1,SalVentAttnA,right
42,RH_SalVentAttnA_PrC_1,SalVentAttnA,right
43,RH_SalVentAttnA_Ins_1,SalVentAttnA,right
44,RH_SalVentAttnA_Ins_2,SalVentAttnA,right
45,RH_SalVentAttnA_FrOper_1,SalVentAttnA,right
46,RH_SalVentAttnA_FrMed_1,SalVentAttnA,right
