network,accuracy,n_regions,n_samples,Analysis,Strategy,Phase
ContC,0.9866071428571428,6,1344,Full Connectivity,MULTINOMIAL,CV
VisCent,0.9706101190476192,12,2688,Full Connectivity,MULTINOMIAL,CV
VisPeri,0.9676339285714286,12,2688,Full Connectivity,MULTINOMIAL,CV
DefaultC,0.9620535714285714,6,1344,Full Connectivity,MULTINOMIAL,CV
Putamen_ant,0.9598214285714286,2,448,Full Connectivity,MULTINOMIAL,CV
SomMotB,0.9577380952380952,15,3360,Full Connectivity,MULTINOMIAL,CV
SomMotA,0.9574718045112782,19,4256,Full Connectivity,MULTINOMIAL,CV
Caudate_ant,0.9553571428571428,2,448,Full Connectivity,MULTINOMIAL,CV
DorsAttnB,0.9424107142857144,10,2240,Full Connectivity,MULTINOMIAL,CV
DefaultA,0.9397321428571428,14,3136,Full Connectivity,MULTINOMIAL,CV
ContB,0.937202380952381,15,3360,Full Connectivity,MULTINOMIAL,CV
DorsAttnA,0.9367559523809524,12,2688,Full Connectivity,MULTINOMIAL,CV
DefaultB,0.9359243697478992,17,3808,Full Connectivity,MULTINOMIAL,CV
ContA,0.9319196428571428,16,3584,Full Connectivity,MULTINOMIAL,CV
SalVentAttnB,0.9316964285714284,10,2240,Full Connectivity,MULTINOMIAL,CV
SalVentAttnA,0.931640625,16,3584,Full Connectivity,MULTINOMIAL,CV
Caudate_post,0.9308035714285714,2,448,Full Connectivity,MULTINOMIAL,CV
Thalamus_VA,0.9263392857142856,2,448,Full Connectivity,MULTINOMIAL,CV
Putamen_post,0.921875,2,448,Full Connectivity,MULTINOMIAL,CV
Hippocampus_ant,0.9196428571428572,2,448,Full Connectivity,MULTINOMIAL,CV
LimbicB,0.9107142857142856,6,1344,Full Connectivity,MULTINOMIAL,CV
Thalamus_DA,0.8950892857142857,2,448,Full Connectivity,MULTINOMIAL,CV
TempPar,0.8928571428571429,6,1344,Full Connectivity,MULTINOMIAL,CV
Accumbens_core,0.8839285714285714,2,448,Full Connectivity,MULTINOMIAL,CV
Amygdala_med,0.859375,2,448,Full Connectivity,MULTINOMIAL,CV
Accumbens_shell,0.8415178571428571,2,448,Full Connectivity,MULTINOMIAL,CV
Thalamus_VP,0.8303571428571429,2,448,Full Connectivity,MULTINOMIAL,CV
Hippocampus_post,0.8236607142857143,2,448,Full Connectivity,MULTINOMIAL,CV
LimbicA,0.8203125,8,1792,Full Connectivity,MULTINOMIAL,CV
Amygdala_lat,0.7745535714285714,2,448,Full Connectivity,MULTINOMIAL,CV
Thalamus_DP,0.7611607142857143,2,448,Full Connectivity,MULTINOMIAL,CV
Pallidum_ant,0.5133928571428571,2,448,Full Connectivity,MULTINOMIAL,CV
Pallidum_post,0.4933035714285714,2,448,Full Connectivity,MULTINOMIAL,CV
ContC,0.9427083333333334,6,1344,Full Connectivity,OVO,CV
VisCent,0.9386160714285714,12,2688,Full Connectivity,OVO,CV
VisPeri,0.9378720238095238,12,2688,Full Connectivity,OVO,CV
Putamen_ant,0.9330357142857144,2,448,Full Connectivity,OVO,CV
DefaultC,0.921875,6,1344,Full Connectivity,OVO,CV
Caudate_ant,0.9084821428571428,2,448,Full Connectivity,OVO,CV
SomMotA,0.90671992481203,19,4256,Full Connectivity,OVO,CV
SomMotB,0.905654761904762,15,3360,Full Connectivity,OVO,CV
DorsAttnB,0.8870535714285714,10,2240,Full Connectivity,OVO,CV
DorsAttnA,0.8861607142857143,12,2688,Full Connectivity,OVO,CV
DefaultA,0.8810586734693877,14,3136,Full Connectivity,OVO,CV
Caudate_post,0.8772321428571429,2,448,Full Connectivity,OVO,CV
Putamen_post,0.8772321428571429,2,448,Full Connectivity,OVO,CV
ContA,0.8758370535714286,16,3584,Full Connectivity,OVO,CV
ContB,0.8726190476190476,15,3360,Full Connectivity,OVO,CV
DefaultB,0.8707983193277311,17,3808,Full Connectivity,OVO,CV
SalVentAttnB,0.86875,10,2240,Full Connectivity,OVO,CV
Thalamus_VA,0.8683035714285714,2,448,Full Connectivity,OVO,CV
Hippocampus_ant,0.8638392857142857,2,448,Full Connectivity,OVO,CV
SalVentAttnA,0.8624441964285714,16,3584,Full Connectivity,OVO,CV
LimbicB,0.8392857142857143,6,1344,Full Connectivity,OVO,CV
Thalamus_DA,0.8348214285714286,2,448,Full Connectivity,OVO,CV
TempPar,0.8333333333333334,6,1344,Full Connectivity,OVO,CV
