region_idx,region_name,network,hemisphere,accuracy,n_samples,Analysis,Strategy,Phase
0,LH_VisCent_ExStr_2,VisCent,left,0.9419642857142856,224,Full Connectivity,MULTINOMIAL,CV
1,LH_VisCent_ExStr_1,VisCent,left,0.9776785714285714,224,Full Connectivity,MULTINOMIAL,CV
2,LH_VisCent_Striate_1,VisCent,left,0.9955357142857144,224,Full Connectivity,MULTINOMIAL,CV
3,LH_VisCent_ExStr_3,VisCent,left,0.96875,224,Full Connectivity,MULTINOMIAL,CV
4,LH_VisCent_ExStr_4,VisCent,left,0.9821428571428572,224,Full Connectivity,MULTINOMIAL,CV
5,LH_VisCent_ExStr_5,VisCent,left,0.9866071428571428,224,Full Connectivity,MULTINOMIAL,CV
6,LH_VisPeri_ExStrInf_1,VisPeri,left,0.96875,224,Full Connectivity,MULTINOMIAL,CV
7,LH_VisPeri_ExStrInf_2,VisPeri,left,0.9598214285714286,224,Full Connectivity,MULTINOMIAL,CV
8,LH_VisPeri_ExStrInf_3,VisPeri,left,0.8482142857142857,224,Full Connectivity,MULTINOMIAL,CV
9,LH_VisPeri_StriCal_1,VisPeri,left,1.0,224,Full Connectivity,MULTINOMIAL,CV
10,LH_VisPeri_ExStrSup_1,VisPeri,left,0.9642857142857144,224,Full Connectivity,MULTINOMIAL,CV
11,LH_VisPeri_ExStrSup_2,VisPeri,left,0.9955357142857144,224,Full Connectivity,MULTINOMIAL,CV
12,LH_SomMotA_1,SomMotA,left,0.9375,224,Full Connectivity,MULTINOMIAL,CV
13,LH_SomMotA_2,SomMotA,left,0.9464285714285714,224,Full Connectivity,MULTINOMIAL,CV
14,LH_SomMotA_3,SomMotA,left,0.9732142857142856,224,Full Connectivity,MULTINOMIAL,CV
15,LH_SomMotA_4,SomMotA,left,0.9598214285714286,224,Full Connectivity,MULTINOMIAL,CV
16,LH_SomMotA_5,SomMotA,left,0.9821428571428572,224,Full Connectivity,MULTINOMIAL,CV
17,LH_SomMotA_6,SomMotA,left,0.9598214285714286,224,Full Connectivity,MULTINOMIAL,CV
18,LH_SomMotA_7,SomMotA,left,0.9821428571428572,224,Full Connectivity,MULTINOMIAL,CV
19,LH_SomMotA_8,SomMotA,left,0.9642857142857144,224,Full Connectivity,MULTINOMIAL,CV
20,LH_SomMotB_Aud_1,SomMotB,left,0.9375,224,Full Connectivity,MULTINOMIAL,CV
21,LH_SomMotB_Aud_2,SomMotB,left,0.9821428571428572,224,Full Connectivity,MULTINOMIAL,CV
