Network_1,Network_2,Confusion_Count,N1_to_N2,N2_to_N1
SalVentAttnB,LimbicB,3,1,2
LimbicB,Putamen_post,2,1,1
LimbicB,ContA,2,0,2
LimbicB,Pallidum_post,2,1,1
Pallidum_ant,Putamen_post,2,2,0
DefaultA,Amygdala_lat,2,1,1
VisPeri,LimbicB,1,1,0
VisCent,Pallidum_ant,1,0,1
VisCent,Pallidum_post,1,1,0
VisCent,VisPeri,1,0,1
VisCent,Putamen_post,1,0,1
VisPeri,Pallidum_post,1,1,0
SomMotB,SalVentAttnB,1,0,1
SalVentAttnA,Caudate_ant,1,0,1
SalVentAttnA,Putamen_post,1,1,0
DorsAttnB,LimbicB,1,1,0
DorsAttnA,Caudate_ant,1,0,1
LimbicB,Thalamus_DP,1,0,1
LimbicB,DefaultC,1,1,0
SomMotB,Pallidum_ant,1,1,0
SomMotB,Putamen_ant,1,0,1
ContC,TempPar,1,0,1
LimbicB,Pallidum_ant,1,1,0
ContC,Pallidum_post,1,1,0
ContC,Thalamus_VP,1,1,0
DefaultA,Amygdala_med,1,1,0
DefaultA,Thalamus_DA,1,1,0
DefaultA,Putamen_post,1,1,0
DefaultA,TempPar,1,0,1
DefaultC,Pallidum_post,1,1,0
Hippocampus_ant,Amygdala_lat,1,1,0
Amygdala_med,Thalamus_DA,1,0,1
Amygdala_med,Thalamus_VP,1,0,1
Amygdala_med,Accumbens_shell,1,1,0
Thalamus_VP,Thalamus_DA,1,1,0
Thalamus_VP,Putamen_post,1,1,0
Pallidum_ant,Caudate_post,1,0,1
