Network_1,Network_2,Confusion_Count,N1_to_N2,N2_to_N1
LimbicB,ContA,4,1,3
VisCent,Putamen_post,3,2,1
Amygdala_med,Thalamus_VP,3,2,1
Amygdala_med,Thalamus_DA,3,1,2
LimbicB,LimbicA,2,0,2
DefaultB,Hippocampus_ant,2,2,0
DefaultB,Pallidum_post,2,2,0
Thalamus_VP,Thalamus_DA,2,2,0
SomMotA,SalVentAttnA,1,1,0
VisCent,DorsAttnA,1,0,1
VisCent,LimbicB,1,1,0
VisCent,Thalamus_DA,1,1,0
DorsAttnB,Caudate_ant,1,1,0
DorsAttnB,Putamen_ant,1,0,1
DorsAttnB,SalVentAttnB,1,1,0
SomMotB,Caudate_ant,1,1,0
SomMotB,LimbicB,1,1,0
SomMotB,SalVentAttnA,1,1,0
SomMotA,LimbicB,1,0,1
SalVentAttnA,ContB,1,0,1
SalVentAttnB,LimbicB,1,1,0
LimbicB,DefaultB,1,0,1
LimbicB,Pallidum_ant,1,1,0
LimbicB,Thalamus_VA,1,0,1
SalVentAttnA,Caudate_ant,1,0,1
SalVentAttnA,Putamen_post,1,1,0
SalVentAttnB,DefaultA,1,0,1
SalVentAttnA,Pallidum_post,1,0,1
DefaultB,TempPar,1,1,0
DefaultA,Hippocampus_ant,1,1,0
LimbicB,Caudate_post,1,0,1
LimbicB,Putamen_post,1,1,0
TempPar,Amygdala_lat,1,1,0
DefaultB,Caudate_ant,1,1,0
Hippocampus_ant,Pallidum_post,1,1,0
DefaultB,Thalamus_DA,1,1,0
TempPar,Amygdala_med,1,0,1
Amygdala_med,Accumbens_shell,1,0,1
Amygdala_med,Accumbens_core,1,0,1
Amygdala_med,Putamen_post,1,0,1
Thalamus_VA,Thalamus_DA,1,1,0
Pallidum_post,Putamen_post,1,1,0
Pallidum_ant,Putamen_post,1,1,0
Pallidum_ant,Caudate_post,1,0,1
