Network,Total,Correct,Incorrect,Accuracy,Error_Rate
VisCent,224,211,13,0.9419642857142857,0.05803571428571429
VisPeri,224,219,5,0.9776785714285714,0.022321428571428572
SomMotA,224,223,1,0.9955357142857143,0.004464285714285714
SomMotB,224,217,7,0.96875,0.03125
DorsAttnA,224,220,4,0.9821428571428571,0.017857142857142856
DorsAttnB,224,221,3,0.9866071428571429,0.013392857142857142
SalVentAttnA,224,217,7,0.96875,0.03125
SalVentAttnB,224,215,9,0.9598214285714286,0.04017857142857143
LimbicB,224,190,34,0.8482142857142857,0.15178571428571427
LimbicA,224,224,0,1.0,0.0
ContA,224,216,8,0.9642857142857143,0.03571428571428571
ContB,224,223,1,0.9955357142857143,0.004464285714285714
ContC,224,210,14,0.9375,0.0625
DefaultA,224,212,12,0.9464285714285714,0.05357142857142857
DefaultB,224,218,6,0.9732142857142857,0.026785714285714284
DefaultC,224,215,9,0.9598214285714286,0.04017857142857143
TempPar,224,220,4,0.9821428571428571,0.017857142857142856
Hippocampus_ant,224,215,9,0.9598214285714286,0.04017857142857143
Hippocampus_post,224,220,4,0.9821428571428571,0.017857142857142856
Amygdala_lat,224,216,8,0.9642857142857143,0.03571428571428571
Amygdala_med,224,210,14,0.9375,0.0625
Thalamus_DP,224,220,4,0.9821428571428571,0.017857142857142856
Thalamus_VP,224,207,17,0.9241071428571429,0.07589285714285714
Thalamus_VA,224,222,2,0.9910714285714286,0.008928571428571428
Thalamus_DA,224,211,13,0.9419642857142857,0.05803571428571429
Accumbens_shell,224,217,7,0.96875,0.03125
Accumbens_core,224,222,2,0.9910714285714286,0.008928571428571428
Pallidum_post,224,213,11,0.9508928571428571,0.049107142857142856
Pallidum_ant,224,212,12,0.9464285714285714,0.05357142857142857
Putamen_ant,224,213,11,0.9508928571428571,0.049107142857142856
Putamen_post,224,198,26,0.8839285714285714,0.11607142857142858
Caudate_ant,224,210,14,0.9375,0.0625
Caudate_post,224,214,10,0.9553571428571429,0.044642857142857144
