Network,Total,Correct,Incorrect,Accuracy,Error_Rate
VisCent,200,179,21,0.895,0.105
VisPeri,200,195,5,0.975,0.025
SomMotA,200,196,4,0.98,0.02
SomMotB,200,188,12,0.94,0.06
DorsAttnA,200,196,4,0.98,0.02
DorsAttnB,200,198,2,0.99,0.01
SalVentAttnA,200,189,11,0.945,0.055
SalVentAttnB,200,186,14,0.93,0.07
LimbicB,200,155,45,0.775,0.225
LimbicA,200,197,3,0.985,0.015
ContA,200,190,10,0.95,0.05
ContB,200,198,2,0.99,0.01
ContC,200,187,13,0.935,0.065
DefaultA,200,191,9,0.955,0.045
DefaultB,200,182,18,0.91,0.09
DefaultC,200,198,2,0.99,0.01
TempPar,200,193,7,0.965,0.035
Hippocampus_ant,200,193,7,0.965,0.035
Hippocampus_post,200,198,2,0.99,0.01
Amygdala_lat,200,191,9,0.955,0.045
Amygdala_med,200,170,30,0.85,0.15
Thalamus_DP,200,186,14,0.93,0.07
Thalamus_VP,200,162,38,0.81,0.19
Thalamus_VA,200,187,13,0.935,0.065
Thalamus_DA,200,162,38,0.81,0.19
Accumbens_shell,200,185,15,0.925,0.075
Accumbens_core,200,193,7,0.965,0.035
Pallidum_post,200,178,22,0.89,0.11
Pallidum_ant,200,193,7,0.965,0.035
Putamen_ant,200,190,10,0.95,0.05
Putamen_post,200,180,20,0.9,0.1
Caudate_ant,200,194,6,0.97,0.03
Caudate_post,200,192,8,0.96,0.04
