network,accuracy_cv,n_regions,accuracy_task,accuracy_drop
Pallidum_ant,0.5133928571428571,2,0.2525,0.2608928571428571
Hippocampus_post,0.8236607142857143,2,0.6825,0.1411607142857143
Thalamus_VP,0.8303571428571429,2,0.7025,0.1278571428571429
Accumbens_shell,0.8415178571428571,2,0.715,0.12651785714285713
Putamen_post,0.921875,2,0.7975,0.12437500000000001
Thalamus_VA,0.9263392857142856,2,0.835,0.09133928571428562
Hippocampus_ant,0.9196428571428572,2,0.84,0.07964285714285724
Amygdala_lat,0.7745535714285714,2,0.7025,0.07205357142857138
Accumbens_core,0.8839285714285714,2,0.8125,0.0714285714285714
SomMotB,0.9577380952380952,15,0.8883333333333333,0.06940476190476186
Putamen_ant,0.9598214285714286,2,0.8975,0.06232142857142864
Thalamus_DA,0.8950892857142857,2,0.8375,0.057589285714285676
ContC,0.9866071428571428,6,0.9308333333333332,0.055773809523809614
Pallidum_post,0.4933035714285714,2,0.44,0.053303571428571395
TempPar,0.8928571428571429,6,0.845,0.04785714285714293
Amygdala_med,0.859375,2,0.8125,0.046875
Caudate_post,0.9308035714285714,2,0.885,0.04580357142857139
SalVentAttnA,0.931640625,16,0.8865625,0.04507812499999997
ContA,0.9319196428571428,16,0.8896875,0.04223214285714283
Thalamus_DP,0.7611607142857143,2,0.725,0.036160714285714324
VisPeri,0.9676339285714286,12,0.93375,0.033883928571428634
LimbicA,0.8203125,8,0.78875,0.03156250000000005
DefaultB,0.9359243697478992,17,0.9129411764705884,0.0229831932773108
Caudate_ant,0.9553571428571428,2,0.9375,0.017857142857142794
DefaultC,0.9620535714285714,6,0.9466666666666668,0.01538690476190463
VisCent,0.9706101190476192,12,0.9558333333333332,0.014776785714285978
DefaultA,0.9397321428571428,14,0.9264285714285714,0.013303571428571415
SalVentAttnB,0.9316964285714284,10,0.9205,0.01119642857142844
DorsAttnA,0.9367559523809524,12,0.9345833333333332,0.0021726190476192286
LimbicB,0.9107142857142856,6,0.9091666666666668,0.0015476190476187979
SomMotA,0.9574718045112782,19,0.9605263157894736,-0.0030545112781953376
DorsAttnB,0.9424107142857144,10,0.946,-0.0035892857142855172
ContB,0.937202380952381,15,0.943,-0.005797619047618996
