network,accuracy_mean,accuracy_std,accuracy_min,accuracy_max
ContC,0.9745,0.0277,0.9427,0.994
VisCent,0.9633,0.022,0.9386,0.9807
VisPeri,0.9586,0.018,0.9379,0.9702
Putamen_ant,0.9561,0.0214,0.933,0.9754
DefaultC,0.9509,0.0254,0.9219,0.9688
SomMotA,0.9449,0.0337,0.9067,0.9706
Caudate_ant,0.9435,0.0308,0.9085,0.9665
SomMotB,0.9426,0.0321,0.9057,0.9643
DorsAttnB,0.9308,0.0393,0.8871,0.9629
DorsAttnA,0.9266,0.0364,0.8862,0.9568
DefaultA,0.9232,0.0367,0.8811,0.9487
ContB,0.9194,0.0409,0.8726,0.9485
SalVentAttnB,0.919,0.0453,0.8688,0.9567
Caudate_post,0.9189,0.0372,0.8772,0.9487
DefaultB,0.9182,0.0414,0.8708,0.9477
ContA,0.9175,0.0367,0.8758,0.9448
Putamen_post,0.9167,0.0371,0.8772,0.9509
Thalamus_VA,0.9144,0.0415,0.8683,0.9487
SalVentAttnA,0.9114,0.0426,0.8624,0.94
Hippocampus_ant,0.8996,0.031,0.8638,0.9196
LimbicB,0.8906,0.0448,0.8393,0.9219
Thalamus_DA,0.8802,0.0401,0.8348,0.9107
TempPar,0.8738,0.035,0.8333,0.8951
Accumbens_core,0.8601,0.0356,0.8192,0.8839
Amygdala_med,0.8281,0.0431,0.779,0.8594
Accumbens_shell,0.8229,0.0249,0.7946,0.8415
Hippocampus_post,0.7991,0.0351,0.7589,0.8237
Thalamus_VP,0.7984,0.0497,0.7411,0.8304
LimbicA,0.7904,0.0391,0.7461,0.8203
Amygdala_lat,0.7396,0.0319,0.7121,0.7746
Thalamus_DP,0.7336,0.0319,0.6987,0.7612
Pallidum_post,0.4754,0.022,0.4509,0.4933
Pallidum_ant,0.4554,0.057,0.3996,0.5134
