network,accuracy,n_regions,n_samples
ContC,0.9866071428571428,6,1344
VisCent,0.9706101190476192,12,2688
VisPeri,0.9676339285714286,12,2688
DefaultC,0.9620535714285714,6,1344
Putamen_ant,0.9598214285714286,2,448
SomMotB,0.9577380952380952,15,3360
SomMotA,0.9574718045112782,19,4256
Caudate_ant,0.9553571428571428,2,448
DorsAttnB,0.9424107142857144,10,2240
DefaultA,0.9397321428571428,14,3136
ContB,0.937202380952381,15,3360
DorsAttnA,0.9367559523809524,12,2688
DefaultB,0.9359243697478992,17,3808
ContA,0.9319196428571428,16,3584
SalVentAttnB,0.9316964285714284,10,2240
SalVentAttnA,0.931640625,16,3584
Caudate_post,0.9308035714285714,2,448
Thalamus_VA,0.9263392857142856,2,448
Putamen_post,0.921875,2,448
Hippocampus_ant,0.9196428571428572,2,448
LimbicB,0.9107142857142856,6,1344
Thalamus_DA,0.8950892857142857,2,448
TempPar,0.8928571428571429,6,1344
Accumbens_core,0.8839285714285714,2,448
Amygdala_med,0.859375,2,448
Accumbens_shell,0.8415178571428571,2,448
Thalamus_VP,0.8303571428571429,2,448
Hippocampus_post,0.8236607142857143,2,448
LimbicA,0.8203125,8,1792
Amygdala_lat,0.7745535714285714,2,448
Thalamus_DP,0.7611607142857143,2,448
Pallidum_ant,0.5133928571428571,2,448
Pallidum_post,0.4933035714285714,2,448
