region_name,accuracy_mean,accuracy_std,accuracy_min,accuracy_max
LH_VisPeri_StriCal_1,0.9955,0.0077,0.9866,1.0
RH_DefaultC_Rsp_1,0.9896,0.0103,0.9777,0.9955
LH_VisPeri_ExStrSup_2,0.9881,0.0129,0.9732,0.9955
RH_VisPeri_StriCal_1,0.9866,0.0195,0.9643,1.0
LH_ContC_pCun_1,0.9851,0.022,0.9598,1.0
RH_ContC_pCun_1,0.9851,0.0186,0.9643,1.0
RH_DefaultA_pCunPCC_1,0.9836,0.0284,0.9509,1.0
LH_VisCent_Striate_1,0.9836,0.0206,0.9598,0.9955
RH_VisPeri_ExStrInf_1,0.9836,0.0136,0.9688,0.9955
LH_VisCent_ExStr_5,0.9821,0.0161,0.9643,0.9955
RH_VisPeri_ExStrSup_2,0.9821,0.0118,0.9688,0.9911
RH_SomMotB_Cent_1,0.9807,0.0201,0.9598,1.0
LH_VisCent_ExStr_1,0.9807,0.018,0.9643,1.0
LH_DefaultC_Rsp_1,0.9807,0.018,0.9598,0.9911
RH_ContC_Cingp_1,0.9792,0.0169,0.9598,0.9911
RH_VisCent_Striate_1,0.9792,0.0246,0.9509,0.9955
RH_VisCent_ExStr_5,0.9792,0.0169,0.9598,0.9911
LH_SomMotB_Cent_1,0.9792,0.0287,0.9464,1.0
LH_SomMotA_7,0.9777,0.0161,0.9598,0.9911
LH_ContC_Cingp_1,0.9762,0.022,0.9509,0.9911
RH_VisCent_ExStr_1,0.9762,0.0273,0.9464,1.0
LH_DefaultA_pCunPCC_1,0.9732,0.0313,0.9375,0.9955
LH_VisCent_ExStr_4,0.9717,0.022,0.9464,0.9866
LH_DefaultB_PFCd_1,0.9717,0.0297,0.9375,0.9911
RH_VisCent_ExStr_4,0.9717,0.0157,0.9554,0.9866
LH_SomMotB_S2_2,0.9717,0.0262,0.942,0.9911
LH_SomMotB_Aud_2,0.9688,0.0232,0.942,0.9821
RH_VisPeri_ExStrSup_1,0.9688,0.0268,0.942,0.9955
RH_ContA_IPS_2,0.9673,0.0317,0.933,0.9955
RH_DorsAttnB_PostC_3,0.9673,0.0273,0.9375,0.9911
LH_DefaultA_PFCm_3,0.9673,0.0422,0.9196,1.0
RH_DefaultA_PFCm_1,0.9658,0.04,0.9196,0.9911
LH_DefaultA_pCunPCC_3,0.9658,0.0341,0.9286,0.9955
RH_SalVentAttnA_ParOper_1,0.9643,0.0309,0.9286,0.9821
RH_VisPeri_ExStrInf_2,0.9643,0.0161,0.9464,0.9777
aPUT-rh,0.9643,0.0249,0.9375,0.9866
RH_ContA_IPS_1,0.9643,0.0134,0.9509,0.9777
RH_LimbicB_OFC_3,0.9643,0.0354,0.9241,0.9911
RH_SalVentAttnA_FrOper_1,0.9643,0.0272,0.933,0.9821
LH_SalVentAttnA_FrMed_1,0.9628,0.0415,0.9152,0.9911
RH_SomMotB_S2_3,0.9628,0.0361,0.9241,0.9955
RH_SomMotA_10,0.9628,0.0304,0.9286,0.9866
RH_DorsAttnB_PostC_4,0.9628,0.0262,0.933,0.9821
LH_SomMotA_5,0.9613,0.0254,0.933,0.9821
RH_ContC_pCun_2,0.9613,0.0482,0.9062,0.9955
