region_idx,region_name,network,hemisphere,accuracy
9,LH_VisPeri_StriCal_1,VisPeri,left,1.0
71,LH_ContC_pCun_1,ContC,left,1.0
185,RH_DefaultA_pCunPCC_1,DefaultA,right,1.0
11,LH_VisPeri_ExStrSup_2,VisPeri,left,0.9955357142857144
108,RH_VisPeri_StriCal_1,VisPeri,right,0.9955357142857144
194,RH_DefaultC_Rsp_1,DefaultC,right,0.9955357142857144
2,LH_VisCent_Striate_1,VisCent,left,0.9955357142857144
26,LH_SomMotB_Cent_1,SomMotB,left,0.9910714285714286
96,LH_DefaultC_Rsp_1,DefaultC,left,0.9910714285714286
102,RH_VisCent_Striate_1,VisCent,right,0.9910714285714286
44,LH_SalVentAttnA_FrMed_1,SalVentAttnA,left,0.9910714285714286
23,LH_SomMotB_S2_2,SomMotB,left,0.9910714285714286
180,RH_ContC_pCun_1,ContC,right,0.9910714285714286
87,LH_DefaultB_PFCd_1,DefaultB,left,0.9866071428571428
73,LH_ContC_Cingp_1,ContC,left,0.9866071428571428
76,LH_DefaultA_pCunPCC_1,DefaultA,left,0.9866071428571428
106,RH_VisPeri_ExStrInf_1,VisPeri,right,0.9866071428571428
110,RH_VisPeri_ExStrSup_2,VisPeri,right,0.9866071428571428
105,RH_VisCent_ExStr_5,VisCent,right,0.9866071428571428
182,RH_ContC_Cingp_1,ContC,right,0.9866071428571428
5,LH_VisCent_ExStr_5,VisCent,left,0.9866071428571428
186,RH_DefaultA_PFCm_1,DefaultA,right,0.9866071428571428
100,RH_VisCent_ExStr_1,VisCent,right,0.9821428571428572
16,LH_SomMotA_5,SomMotA,left,0.9821428571428572
88,LH_DefaultB_PFCd_2,DefaultB,left,0.9821428571428572
21,LH_SomMotB_Aud_2,SomMotB,left,0.9821428571428572
4,LH_VisCent_ExStr_4,VisCent,left,0.9821428571428572
145,RH_SalVentAttnA_FrOper_1,SalVentAttnA,right,0.9821428571428572
141,RH_SalVentAttnA_ParOper_1,SalVentAttnA,right,0.9821428571428572
181,RH_ContC_pCun_2,ContC,right,0.9821428571428572
