region_idx,region_name,network,hemisphere,accuracy_cv,accuracy_task,accuracy_drop
227,aGP-lh,Pallidum_ant,left,0.5089285714285714,0.24,0.2689285714285714
211,aGP-rh,Pallidum_ant,right,0.5178571428571429,0.265,0.2528571428571429
142,RH_SalVentAttnA_PrC_1,SalVentAttnA,right,0.8303571428571429,0.585,0.24535714285714294
167,RH_ContA_PFCl_1,ContA,right,0.9375,0.755,0.1825
205,THA-VP-rh,Thalamus_VP,right,0.8482142857142857,0.68,0.16821428571428565
65,LH_ContA_Cingm_1,ContA,left,0.9196428571428572,0.76,0.1596428571428572
201,pHIP-rh,Hippocampus_post,right,0.8348214285714286,0.68,0.15482142857142855
229,pPUT-lh,Putamen_post,left,0.9241071428571428,0.78,0.14410714285714277
169,RH_ContA_Cingm_1,ContA,right,0.9375,0.795,0.14249999999999996
202,lAMY-rh,Amygdala_lat,right,0.7767857142857143,0.635,0.1417857142857143
224,NAc-shell-lh,Accumbens_shell,left,0.875,0.74,0.135
24,LH_SomMotB_Aud_3,SomMotB,left,0.9419642857142856,0.81,0.13196428571428553
217,pHIP-lh,Hippocampus_post,left,0.8125,0.685,0.12749999999999995
181,RH_ContC_pCun_2,ContC,right,0.9821428571428572,0.855,0.12714285714285722
161,RH_LimbicA_TempPole_2,LimbicA,right,0.8214285714285714,0.695,0.12642857142857145
84,LH_DefaultB_Temp_3,DefaultB,left,0.9330357142857144,0.81,0.12303571428571436
125,RH_SomMotB_S2_1,SomMotB,right,0.9330357142857144,0.815,0.11803571428571447
208,NAc-shell-rh,Accumbens_shell,right,0.8080357142857143,0.69,0.11803571428571435
22,LH_SomMotB_S2_1,SomMotB,left,0.9241071428571428,0.81,0.11410714285714274
127,RH_SomMotB_S2_3,SomMotB,right,0.96875,0.855,0.11375000000000002
61,LH_ContA_PFClv_1,ContA,left,0.9375,0.825,0.11250000000000004
226,pGP-lh,Pallidum_post,left,0.5267857142857143,0.415,0.11178571428571432
206,THA-VA-rh,Thalamus_VA,right,0.9285714285714286,0.82,0.10857142857142865
225,NAc-core-lh,Accumbens_core,left,0.8883928571428571,0.78,0.10839285714285707
213,pPUT-rh,Putamen_post,right,0.9196428571428572,0.815,0.10464285714285726
109,RH_VisPeri_ExStrSup_1,VisPeri,right,0.96875,0.865,0.10375000000000001
190,RH_DefaultB_AntTemp_1,DefaultB,right,0.9375,0.835,0.10250000000000004
204,THA-DP-rh,Thalamus_DP,right,0.78125,0.68,0.10124999999999995
174,RH_ContB_PFCld_1,ContB,right,0.9107142857142856,0.81,0.10071428571428553
63,LH_ContA_PFCl_2,ContA,left,0.9196428571428572,0.82,0.09964285714285726
200,aHIP-rh,Hippocampus_ant,right,0.9285714285714286,0.84,0.08857142857142863
221,THA-VP-lh,Thalamus_VP,left,0.8125,0.725,0.08750000000000002
20,LH_SomMotB_Aud_1,SomMotB,left,0.9375,0.85,0.08750000000000002
98,LH_TempPar_1,TempPar,left,0.8973214285714286,0.81,0.08732142857142855
134,RH_DorsAttnA_SPL_3,DorsAttnA,right,0.9553571428571428,0.87,0.0853571428571428
47,LH_SalVentAttnB_PFCl_1,SalVentAttnB,left,0.9285714285714286,0.845,0.08357142857142863
126,RH_SomMotB_S2_2,SomMotB,right,0.9508928571428572,0.87,0.08089285714285721
143,RH_SalVentAttnA_Ins_1,SalVentAttnA,right,0.8348214285714286,0.755,0.0798214285714286
41,LH_SalVentAttnA_FrOper_1,SalVentAttnA,left,0.9375,0.86,0.07750000000000001
222,THA-VA-lh,Thalamus_VA,left,0.9241071428571428,0.85,0.07410714285714282
8,LH_VisPeri_ExStrInf_3,VisPeri,left,0.8482142857142857,0.775,0.07321428571428568
92,LH_DefaultB_PFCv_2,DefaultB,left,0.8526785714285714,0.78,0.07267857142857137
82,LH_DefaultB_Temp_1,DefaultB,left,0.9375,0.865,0.07250000000000001
223,THA-DA-lh,Thalamus_DA,left,0.9017857142857144,0.83,0.07178571428571445
136,RH_DorsAttnB_PostC_1,DorsAttnB,right,0.9508928571428572,0.88,0.0708928571428572
216,aHIP-lh,Hippocampus_ant,left,0.9107142857142856,0.84,0.07071428571428562
212,aPUT-rh,Putamen_ant,right,0.96875,0.9,0.06874999999999998
145,RH_SalVentAttnA_FrOper_1,SalVentAttnA,right,0.9821428571428572,0.915,0.06714285714285717
71,LH_ContC_pCun_1,ContC,left,1.0,0.935,0.06499999999999995
62,LH_ContA_PFCl_1,ContA,left,0.9642857142857144,0.9,0.06428571428571439
14,LH_SomMotA_3,SomMotA,left,0.9732142857142856,0.91,0.06321428571428556
42,LH_SalVentAttnA_FrOper_2,SalVentAttnA,left,0.9375,0.875,0.0625
215,pCAU-rh,Caudate_post,right,0.9375,0.875,0.0625
48,LH_SalVentAttnB_Ins_1,SalVentAttnB,left,0.9464285714285714,0.885,0.06142857142857139
27,LH_SomMotB_Cent_2,SomMotB,left,0.9508928571428572,0.89,0.06089285714285719
85,LH_DefaultB_Temp_4,DefaultB,left,0.9553571428571428,0.895,0.060357142857142776
107,RH_VisPeri_ExStrInf_2,VisPeri,right,0.96875,0.91,0.05874999999999997
197,RH_TempPar_2,TempPar,right,0.8928571428571429,0.835,0.05785714285714294
203,mAMY-rh,Amygdala_med,right,0.8571428571428571,0.8,0.05714285714285705
186,RH_DefaultA_PFCm_1,DefaultA,right,0.9866071428571428,0.93,0.056607142857142745
182,RH_ContC_Cingp_1,ContC,right,0.9866071428571428,0.93,0.056607142857142745
40,LH_SalVentAttnA_Ins_1,SalVentAttnA,left,0.90625,0.85,0.05625000000000002
23,LH_SomMotB_S2_2,SomMotB,left,0.9910714285714286,0.935,0.05607142857142855
