True,Predicted,Count,True_Total,Proportion
Pallidum_ant,Putamen_post,2,224,0.008928571428571428
LimbicB,SalVentAttnB,2,224,0.008928571428571428
ContA,LimbicB,2,224,0.008928571428571428
VisCent,Pallidum_post,1,224,0.004464285714285714
Pallidum_ant,VisCent,1,224,0.004464285714285714
DorsAttnB,LimbicB,1,224,0.004464285714285714
Thalamus_VP,Putamen_post,1,224,0.004464285714285714
VisPeri,VisCent,1,224,0.004464285714285714
Putamen_ant,SomMotB,1,224,0.004464285714285714
Putamen_post,VisCent,1,224,0.004464285714285714
DefaultC,Pallidum_post,1,224,0.004464285714285714
DefaultA,Putamen_post,1,224,0.004464285714285714
Hippocampus_ant,Amygdala_lat,1,224,0.004464285714285714
SalVentAttnA,Putamen_post,1,224,0.004464285714285714
SomMotB,Pallidum_ant,1,224,0.004464285714285714
