region_idx,region_name,network,hemisphere,tp,fp,fn,bias_index,is_overpredicted,is_underpredicted
0,LH_VisCent_ExStr_2,VisCent,left,211,12,13,-0.039999999999840004,False,False
1,LH_VisCent_ExStr_1,VisCent,left,219,1,5,-0.6666666666555555,False,True
2,LH_VisCent_Striate_1,VisCent,left,223,1,1,0.0,False,False
3,LH_VisCent_ExStr_3,VisCent,left,217,7,7,0.0,False,False
4,LH_VisCent_ExStr_4,VisCent,left,220,3,4,-0.14285714285510204,False,False
5,LH_VisCent_ExStr_5,VisCent,left,221,0,3,-0.9999999999666667,False,True
6,LH_VisPeri_ExStrInf_1,VisPeri,left,217,2,7,-0.5555555555493827,False,True
7,LH_VisPeri_ExStrInf_2,VisPeri,left,215,5,9,-0.2857142857122449,False,True
8,LH_VisPeri_ExStrInf_3,VisPeri,left,190,37,34,0.04225352112670105,False,False
9,LH_VisPeri_StriCal_1,VisPeri,left,224,1,0,0.9999999999,True,False
10,LH_VisPeri_ExStrSup_1,VisPeri,left,216,6,8,-0.14285714285612244,False,False
11,LH_VisPeri_ExStrSup_2,VisPeri,left,223,0,1,-0.9999999999,False,True
12,LH_SomMotA_1,SomMotA,left,210,7,14,-0.3333333333317461,False,True
13,LH_SomMotA_2,SomMotA,left,212,11,12,-0.04347826086937619,False,False
14,LH_SomMotA_3,SomMotA,left,218,6,6,0.0,False,False
15,LH_SomMotA_4,SomMotA,left,215,4,9,-0.38461538461242606,False,True
16,LH_SomMotA_5,SomMotA,left,220,4,4,0.0,False,False
17,LH_SomMotA_6,SomMotA,left,215,8,9,-0.05882352941141869,False,False
18,LH_SomMotA_7,SomMotA,left,220,1,4,-0.599999999988,False,True
19,LH_SomMotA_8,SomMotA,left,216,5,8,-0.23076923076745562,False,True
20,LH_SomMotB_Aud_1,SomMotB,left,210,16,14,0.06666666666644445,False,False
21,LH_SomMotB_Aud_2,SomMotB,left,220,2,4,-0.33333333332777776,False,True
22,LH_SomMotB_S2_1,SomMotB,left,207,23,17,0.149999999999625,False,False
23,LH_SomMotB_S2_2,SomMotB,left,222,1,2,-0.3333333333222222,False,True
24,LH_SomMotB_Aud_3,SomMotB,left,211,15,13,0.07142857142831634,False,False
25,LH_SomMotB_S2_3,SomMotB,left,217,7,7,0.0,False,False
26,LH_SomMotB_Cent_1,SomMotB,left,222,0,2,-0.99999999995,False,True
27,LH_SomMotB_Cent_2,SomMotB,left,213,15,11,0.15384615384556213,False,False
28,LH_DorsAttnA_TempOcc_1,DorsAttnA,left,212,11,12,-0.04347826086937619,False,False
29,LH_DorsAttnA_TempOcc_2,DorsAttnA,left,213,6,11,-0.2941176470570935,False,True
30,LH_DorsAttnA_ParOcc_1,DorsAttnA,left,198,29,26,0.05454545454535537,False,False
31,LH_DorsAttnA_SPL_1,DorsAttnA,left,210,13,14,-0.03703703703689987,False,False
32,LH_DorsAttnA_SPL_2,DorsAttnA,left,214,4,10,-0.42857142856836733,False,True
33,LH_DorsAttnA_SPL_3,DorsAttnA,left,206,20,18,0.05263157894722992,False,False
34,LH_DorsAttnB_PostC_1,DorsAttnB,left,217,11,7,0.22222222222098767,True,False
35,LH_DorsAttnB_PostC_2,DorsAttnB,left,213,9,11,-0.0999999999995,False,False
36,LH_DorsAttnB_PostC_3,DorsAttnB,left,207,7,17,-0.4166666666649306,False,True
37,LH_DorsAttnB_PostC_4,DorsAttnB,left,213,5,11,-0.3749999999976563,False,True
38,LH_DorsAttnB_FEF_1,DorsAttnB,left,201,16,23,-0.17948717948671924,False,False
39,LH_SalVentAttnA_ParOper_1,SalVentAttnA,left,219,1,5,-0.6666666666555555,False,True
40,LH_SalVentAttnA_Ins_1,SalVentAttnA,left,203,19,21,-0.049999999999875,False,False
41,LH_SalVentAttnA_FrOper_1,SalVentAttnA,left,210,10,14,-0.16666666666597224,False,False
42,LH_SalVentAttnA_FrOper_2,SalVentAttnA,left,210,9,14,-0.21739130434688092,False,True
43,LH_SalVentAttnA_ParMed_1,SalVentAttnA,left,215,4,9,-0.38461538461242606,False,True
44,LH_SalVentAttnA_FrMed_1,SalVentAttnA,left,222,2,2,0.0,False,False
45,LH_SalVentAttnA_FrMed_2,SalVentAttnA,left,215,9,9,0.0,False,False
46,LH_SalVentAttnB_IPL_1,SalVentAttnB,left,204,20,20,0.0,False,False
47,LH_SalVentAttnB_PFCl_1,SalVentAttnB,left,208,18,16,0.05882352941159169,False,False
48,LH_SalVentAttnB_Ins_1,SalVentAttnB,left,212,10,12,-0.09090909090867769,False,False
49,LH_SalVentAttnB_PFCmp_1,SalVentAttnB,left,216,2,8,-0.599999999994,False,True
50,LH_LimbicB_OFC_1,LimbicB,left,182,55,42,0.13402061855656286,False,False
51,LH_LimbicB_OFC_2,LimbicB,left,211,11,13,-0.08333333333298612,False,False
52,LH_LimbicA_TempPole_1,LimbicA,left,197,31,27,0.0689655172412604,False,False
53,LH_LimbicA_TempPole_2,LimbicA,left,181,38,43,-0.06172839506165219,False,False
54,LH_LimbicA_TempPole_3,LimbicA,left,182,56,42,0.14285714285699708,False,False
55,LH_LimbicA_TempPole_4,LimbicA,left,155,102,69,0.19298245614023804,False,False
56,LH_ContA_Temp_1,ContA,left,195,42,29,0.18309859154903788,False,False
57,LH_ContA_IPS_1,ContA,left,214,5,10,-0.3333333333311111,False,True
58,LH_ContA_IPS_2,ContA,left,212,8,12,-0.199999999999,False,False
59,LH_ContA_IPS_3,ContA,left,210,14,14,0.0,False,False
60,LH_ContA_PFCd_1,ContA,left,207,12,17,-0.17241379310285376,False,False
61,LH_ContA_PFClv_1,ContA,left,210,10,14,-0.16666666666597224,False,False
62,LH_ContA_PFCl_1,ContA,left,216,10,8,0.11111111111049383,False,False
63,LH_ContA_PFCl_2,ContA,left,206,33,18,0.29411764705824683,True,False
64,LH_ContA_PFCl_3,ContA,left,196,30,28,0.0344827586206302,False,False
65,LH_ContA_Cingm_1,ContA,left,206,8,18,-0.3846153846139054,False,True
