region_idx,region_name,network,hemisphere,tp,fp,fn,bias_index,is_overpredicted,is_underpredicted
0,LH_VisCent_ExStr_2,VisCent,left,179,28,21,0.1428571428568513,False,False
1,LH_VisCent_ExStr_1,VisCent,left,195,1,5,-0.6666666666555555,False,True
2,LH_VisCent_Striate_1,VisCent,left,196,1,4,-0.599999999988,False,True
3,LH_VisCent_ExStr_3,VisCent,left,188,5,12,-0.41176470587993086,False,True
4,LH_VisCent_ExStr_4,VisCent,left,196,2,4,-0.33333333332777776,False,True
5,LH_VisCent_ExStr_5,VisCent,left,198,3,2,0.199999999996,False,False
6,LH_VisPeri_ExStrInf_1,VisPeri,left,189,8,11,-0.15789473684127425,False,False
7,LH_VisPeri_ExStrInf_2,VisPeri,left,186,6,14,-0.399999999998,False,True
8,LH_VisPeri_ExStrInf_3,VisPeri,left,155,73,45,0.23728813559301926,True,False
9,LH_VisPeri_StriCal_1,VisPeri,left,197,0,3,-0.9999999999666667,False,True
10,LH_VisPeri_ExStrSup_1,VisPeri,left,190,3,10,-0.5384615384573964,False,True
11,LH_VisPeri_ExStrSup_2,VisPeri,left,198,1,2,-0.3333333333222222,False,True
12,LH_SomMotA_1,SomMotA,left,187,7,13,-0.2999999999985,False,True
13,LH_SomMotA_2,SomMotA,left,191,7,9,-0.12499999999921876,False,False
14,LH_SomMotA_3,SomMotA,left,182,4,18,-0.6363636363607439,False,True
15,LH_SomMotA_4,SomMotA,left,198,2,2,0.0,False,False
16,LH_SomMotA_5,SomMotA,left,193,7,7,0.0,False,False
17,LH_SomMotA_6,SomMotA,left,193,6,7,-0.0769230769224852,False,False
18,LH_SomMotA_7,SomMotA,left,198,0,2,-0.99999999995,False,True
19,LH_SomMotA_8,SomMotA,left,191,4,9,-0.38461538461242606,False,True
20,LH_SomMotB_Aud_1,SomMotB,left,170,15,30,-0.3333333333325926,False,True
21,LH_SomMotB_Aud_2,SomMotB,left,186,1,14,-0.8666666666608889,False,True
22,LH_SomMotB_S2_1,SomMotB,left,162,27,38,-0.16923076923050887,False,False
23,LH_SomMotB_S2_2,SomMotB,left,187,4,13,-0.5294117647027682,False,True
