region_i_idx,region_j_idx,region_i,region_j,network_i,network_j,hemisphere_i,hemisphere_j,asymmetry,i_to_j_rate,j_to_i_rate,asymmetry_ratio
187,227,RH_DefaultA_PFCm_2,aGP-lh,DefaultA,Pallidum_ant,right,left,0.026785714285714288,0.04017857142857143,0.013392857142857142,3.0000000000000004
210,221,pGP-rh,THA-VP-lh,Pallidum_post,Thalamus_VP,right,left,-0.026785714285714284,0.0,0.026785714285714284,0.0
220,226,THA-DP-lh,pGP-lh,Thalamus_DP,Pallidum_post,left,left,0.022321428571428572,0.03125,0.008928571428571428,3.5
204,226,THA-DP-rh,pGP-lh,Thalamus_DP,Pallidum_post,right,left,0.022321428571428572,0.022321428571428572,0.0,inf
70,153,LH_ContB_PFClv_2,RH_SalVentAttnB_Ins_1,ContB,SalVentAttnB,left,right,-0.017857142857142856,0.0,0.017857142857142856,0.0
211,213,aGP-rh,pPUT-rh,Pallidum_ant,Putamen_post,right,right,-0.017857142857142856,0.004464285714285714,0.022321428571428572,0.19999999999999998
226,231,pGP-lh,pCAU-lh,Pallidum_post,Caudate_post,left,left,-0.017857142857142856,0.0,0.017857142857142856,0.0
222,226,THA-VA-lh,pGP-lh,Thalamus_VA,Pallidum_post,left,left,0.017857142857142856,0.017857142857142856,0.0,inf
153,187,RH_SalVentAttnB_Ins_1,RH_DefaultA_PFCm_2,SalVentAttnB,DefaultA,right,right,0.017857142857142856,0.017857142857142856,0.0,inf
155,187,RH_SalVentAttnB_PFCmp_1,RH_DefaultA_PFCm_2,SalVentAttnB,DefaultA,right,right,0.017857142857142856,0.017857142857142856,0.0,inf
187,220,RH_DefaultA_PFCm_2,THA-DP-lh,DefaultA,Thalamus_DP,right,left,0.017857142857142856,0.017857142857142856,0.0,inf
221,226,THA-VP-lh,pGP-lh,Thalamus_VP,Pallidum_post,left,left,-0.017857142857142856,0.0,0.017857142857142856,0.0
80,187,LH_DefaultA_PFCm_2,RH_DefaultA_PFCm_2,DefaultA,DefaultA,left,right,0.017857142857142856,0.017857142857142856,0.0,inf
55,226,LH_LimbicA_TempPole_4,pGP-lh,LimbicA,Pallidum_post,left,left,-0.017857142857142856,0.004464285714285714,0.022321428571428572,0.19999999999999998
55,144,LH_LimbicA_TempPole_4,RH_SalVentAttnA_Ins_2,LimbicA,SalVentAttnA,left,right,-0.017857142857142856,0.004464285714285714,0.022321428571428572,0.19999999999999998
55,220,LH_LimbicA_TempPole_4,THA-DP-lh,LimbicA,Thalamus_DP,left,left,-0.017857142857142856,0.0,0.017857142857142856,0.0
210,227,pGP-rh,aGP-lh,Pallidum_post,Pallidum_ant,right,left,-0.01339285714285715,0.11607142857142858,0.12946428571428573,0.8965517241379309
187,201,RH_DefaultA_PFCm_2,pHIP-rh,DefaultA,Hippocampus_post,right,right,-0.013392857142857144,0.008928571428571428,0.022321428571428572,0.39999999999999997
54,161,LH_LimbicA_TempPole_3,RH_LimbicA_TempPole_2,LimbicA,LimbicA,left,right,-0.013392857142857144,0.017857142857142856,0.03125,0.5714285714285714
208,211,NAc-shell-rh,aGP-rh,Accumbens_shell,Pallidum_ant,right,right,-0.013392857142857144,0.008928571428571428,0.022321428571428572,0.39999999999999997
211,227,aGP-rh,aGP-lh,Pallidum_ant,Pallidum_ant,right,left,-0.013392857142857144,0.03125,0.044642857142857144,0.7
211,221,aGP-rh,THA-VP-lh,Pallidum_ant,Thalamus_VP,right,left,-0.013392857142857144,0.017857142857142856,0.03125,0.5714285714285714
227,231,aGP-lh,pCAU-lh,Pallidum_ant,Caudate_post,left,left,-0.013392857142857142,0.004464285714285714,0.017857142857142856,0.25
227,229,aGP-lh,pPUT-lh,Pallidum_ant,Putamen_post,left,left,-0.013392857142857142,0.004464285714285714,0.017857142857142856,0.25
40,55,LH_SalVentAttnA_Ins_1,LH_LimbicA_TempPole_4,SalVentAttnA,LimbicA,left,left,0.013392857142857142,0.017857142857142856,0.004464285714285714,4.0
200,218,aHIP-rh,lAMY-lh,Hippocampus_ant,Amygdala_lat,right,left,0.013392857142857142,0.013392857142857142,0.0,inf
204,217,THA-DP-rh,pHIP-lh,Thalamus_DP,Hippocampus_post,right,left,0.013392857142857142,0.017857142857142856,0.004464285714285714,4.0
205,223,THA-VP-rh,THA-DA-lh,Thalamus_VP,Thalamus_DA,right,left,-0.013392857142857142,0.004464285714285714,0.017857142857142856,0.25
202,216,lAMY-rh,aHIP-lh,Amygdala_lat,Hippocampus_ant,right,left,-0.013392857142857142,0.004464285714285714,0.017857142857142856,0.25
204,211,THA-DP-rh,aGP-rh,Thalamus_DP,Pallidum_ant,right,right,-0.013392857142857142,0.0,0.013392857142857142,0.0
38,142,LH_DorsAttnB_FEF_1,RH_SalVentAttnA_PrC_1,DorsAttnB,SalVentAttnA,left,right,0.013392857142857142,0.013392857142857142,0.0,inf
207,211,THA-DA-rh,aGP-rh,Thalamus_DA,Pallidum_ant,right,right,0.013392857142857142,0.017857142857142856,0.004464285714285714,4.0
208,224,NAc-shell-rh,NAc-shell-lh,Accumbens_shell,Accumbens_shell,right,left,0.013392857142857142,0.013392857142857142,0.0,inf
210,229,pGP-rh,pPUT-lh,Pallidum_post,Putamen_post,right,left,-0.013392857142857142,0.004464285714285714,0.017857142857142856,0.25
208,230,NAc-shell-rh,aCAU-lh,Accumbens_shell,Caudate_ant,right,left,-0.013392857142857142,0.0,0.013392857142857142,0.0
209,211,NAc-core-rh,aGP-rh,Accumbens_core,Pallidum_ant,right,right,-0.013392857142857142,0.004464285714285714,0.017857142857142856,0.25
147,226,RH_SalVentAttnA_ParMed_1,pGP-lh,SalVentAttnA,Pallidum_post,right,left,0.013392857142857142,0.013392857142857142,0.0,inf
152,184,RH_SalVentAttnB_PFCl_1,RH_DefaultA_PFCd_1,SalVentAttnB,DefaultA,right,right,-0.013392857142857142,0.004464285714285714,0.017857142857142856,0.25
161,210,RH_LimbicA_TempPole_2,pGP-rh,LimbicA,Pallidum_post,right,right,-0.013392857142857142,0.0,0.013392857142857142,0.0
157,161,RH_LimbicB_OFC_2,RH_LimbicA_TempPole_2,LimbicB,LimbicA,right,right,-0.013392857142857142,0.0,0.013392857142857142,0.0
162,219,RH_LimbicA_TempPole_3,mAMY-lh,LimbicA,Amygdala_med,right,left,0.013392857142857142,0.017857142857142856,0.004464285714285714,4.0
184,191,RH_DefaultA_PFCd_1,RH_DefaultB_PFCd_1,DefaultA,DefaultB,right,right,-0.013392857142857142,0.004464285714285714,0.017857142857142856,0.25
187,224,RH_DefaultA_PFCm_2,NAc-shell-lh,DefaultA,Accumbens_shell,right,left,0.013392857142857142,0.013392857142857142,0.0,inf
