true_idx,pred_idx,error_rate,error_type,true_region,pred_region,true_network,pred_network,true_hemisphere,pred_hemisphere
0,27,0.004464285714285714,cross_network_same_hemi,LH_VisCent_ExStr_2,LH_SomMotB_Cent_2,VisCent,SomMotB,left,left
0,47,0.004464285714285714,cross_network_same_hemi,LH_VisCent_ExStr_2,LH_SalVentAttnB_PFCl_1,VisCent,SalVentAttnB,left,left
0,50,0.004464285714285714,cross_network_same_hemi,LH_VisCent_ExStr_2,LH_LimbicB_OFC_1,VisCent,LimbicB,left,left
0,136,0.004464285714285714,cross_hemi_diff_network,LH_VisCent_ExStr_2,RH_DorsAttnB_PostC_1,VisCent,DorsAttnB,left,right
0,144,0.004464285714285714,cross_hemi_diff_network,LH_VisCent_ExStr_2,RH_SalVentAttnA_Ins_2,VisCent,SalVentAttnA,left,right
0,171,0.004464285714285714,cross_hemi_diff_network,LH_VisCent_ExStr_2,RH_ContB_Temp_2,VisCent,ContB,left,right
0,187,0.004464285714285714,cross_hemi_diff_network,LH_VisCent_ExStr_2,RH_DefaultA_PFCm_2,VisCent,DefaultA,left,right
0,210,0.004464285714285714,cross_hemi_diff_network,LH_VisCent_ExStr_2,pGP-rh,VisCent,Pallidum_post,left,right
0,211,0.008928571428571428,cross_hemi_diff_network,LH_VisCent_ExStr_2,aGP-rh,VisCent,Pallidum_ant,left,right
0,220,0.004464285714285714,cross_network_same_hemi,LH_VisCent_ExStr_2,THA-DP-lh,VisCent,Thalamus_DP,left,left
0,227,0.008928571428571428,cross_network_same_hemi,LH_VisCent_ExStr_2,aGP-lh,VisCent,Pallidum_ant,left,left
1,0,0.004464285714285714,within_network,LH_VisCent_ExStr_1,LH_VisCent_ExStr_2,VisCent,VisCent,left,left
1,8,0.004464285714285714,cross_network_same_hemi,LH_VisCent_ExStr_1,LH_VisPeri_ExStrInf_3,VisCent,VisPeri,left,left
1,27,0.004464285714285714,cross_network_same_hemi,LH_VisCent_ExStr_1,LH_SomMotB_Cent_2,VisCent,SomMotB,left,left
1,59,0.004464285714285714,cross_network_same_hemi,LH_VisCent_ExStr_1,LH_ContA_IPS_3,VisCent,ContA,left,left
1,163,0.004464285714285714,cross_hemi_diff_network,LH_VisCent_ExStr_1,RH_LimbicA_TempPole_4,VisCent,LimbicA,left,right
2,227,0.004464285714285714,cross_network_same_hemi,LH_VisCent_Striate_1,aGP-lh,VisCent,Pallidum_ant,left,left
3,28,0.004464285714285714,cross_network_same_hemi,LH_VisCent_ExStr_3,LH_DorsAttnA_TempOcc_1,VisCent,DorsAttnA,left,left
3,111,0.004464285714285714,cross_hemi_diff_network,LH_VisCent_ExStr_3,RH_VisPeri_ExStrSup_3,VisCent,VisPeri,left,right
