true_idx,pred_idx,error_rate,error_type,true_region,pred_region,true_network,pred_network,true_hemisphere,pred_hemisphere
0,8,0.005,cross_network_same_hemi,LH_VisCent_ExStr_2,LH_VisPeri_ExStrInf_3,VisCent,VisPeri,left,left
0,24,0.005,cross_network_same_hemi,LH_VisCent_ExStr_2,LH_SomMotB_Aud_3,VisCent,SomMotB,left,left
0,30,0.01,cross_network_same_hemi,LH_VisCent_ExStr_2,LH_DorsAttnA_ParOcc_1,VisCent,DorsAttnA,left,left
0,99,0.005,cross_network_same_hemi,LH_VisCent_ExStr_2,LH_TempPar_2,VisCent,TempPar,left,left
0,111,0.005,cross_hemi_diff_network,LH_VisCent_ExStr_2,RH_VisPeri_ExStrSup_3,VisCent,VisPeri,left,right
0,118,0.005,cross_hemi_diff_network,LH_VisCent_ExStr_2,RH_SomMotA_7,VisCent,SomMotA,left,right
0,131,0.005,cross_hemi_diff_network,LH_VisCent_ExStr_2,RH_DorsAttnA_ParOcc_1,VisCent,DorsAttnA,left,right
0,142,0.005,cross_hemi_diff_network,LH_VisCent_ExStr_2,RH_SalVentAttnA_PrC_1,VisCent,SalVentAttnA,left,right
0,195,0.005,cross_hemi_diff_network,LH_VisCent_ExStr_2,RH_DefaultC_PHC_1,VisCent,DefaultC,left,right
0,202,0.005,cross_hemi_diff_network,LH_VisCent_ExStr_2,lAMY-rh,VisCent,Amygdala_lat,left,right
0,209,0.005,cross_hemi_diff_network,LH_VisCent_ExStr_2,NAc-core-rh,VisCent,Accumbens_core,left,right
0,210,0.015,cross_hemi_diff_network,LH_VisCent_ExStr_2,pGP-rh,VisCent,Pallidum_post,left,right
0,211,0.015,cross_hemi_diff_network,LH_VisCent_ExStr_2,aGP-rh,VisCent,Pallidum_ant,left,right
0,224,0.005,cross_network_same_hemi,LH_VisCent_ExStr_2,NAc-shell-lh,VisCent,Accumbens_shell,left,left
0,226,0.005,cross_network_same_hemi,LH_VisCent_ExStr_2,pGP-lh,VisCent,Pallidum_post,left,left
0,227,0.005,cross_network_same_hemi,LH_VisCent_ExStr_2,aGP-lh,VisCent,Pallidum_ant,left,left
