region_idx,region_name,network,hemisphere,accuracy,error_rate,precision,recall,f1_score,fnr,fpr,n_samples,n_correct,n_errors,n_false_positives
0,LH_VisCent_ExStr_2,VisCent,left,0.9419642857142857,0.0580357142857143,0.9461883408071748,0.9419642857142857,0.9440715883668904,0.05803571428571429,0.00023191094619666049,224,211,13,12
1,LH_VisCent_ExStr_1,VisCent,left,0.9776785714285714,0.022321428571428603,0.9954545454545455,0.9776785714285714,0.9864864864864865,0.022321428571428572,1.932591218305504e-05,224,219,5,1
2,LH_VisCent_Striate_1,VisCent,left,0.9955357142857143,0.004464285714285698,0.9955357142857143,0.9955357142857143,0.9955357142857143,0.004464285714285714,1.932591218305504e-05,224,223,1,1
3,LH_VisCent_ExStr_3,VisCent,left,0.96875,0.03125,0.96875,0.96875,0.96875,0.03125,0.00013528138528138528,224,217,7,7
4,LH_VisCent_ExStr_4,VisCent,left,0.9821428571428571,0.017857142857142905,0.9865470852017937,0.9821428571428571,0.9843400447427293,0.017857142857142856,5.797773654916512e-05,224,220,4,3
5,LH_VisCent_ExStr_5,VisCent,left,0.9866071428571429,0.013392857142857095,1.0,0.9866071428571429,0.9932584269662922,0.013392857142857142,0.0,224,221,3,0
6,LH_VisPeri_ExStrInf_1,VisPeri,left,0.96875,0.03125,0.9908675799086758,0.96875,0.9796839729119637,0.03125,3.865182436611008e-05,224,217,7,2
7,LH_VisPeri_ExStrInf_2,VisPeri,left,0.9598214285714286,0.0401785714285714,0.9772727272727273,0.9598214285714286,0.9684684684684685,0.04017857142857143,9.66295609152752e-05,224,215,9,5
8,LH_VisPeri_ExStrInf_3,VisPeri,left,0.8482142857142857,0.1517857142857143,0.8370044052863436,0.8482142857142857,0.8425720620842572,0.15178571428571427,0.0007150587507730365,224,190,34,37
9,LH_VisPeri_StriCal_1,VisPeri,left,1.0,0.0,0.9955555555555555,1.0,0.9977728285077951,0.0,1.932591218305504e-05,224,224,0,1
10,LH_VisPeri_ExStrSup_1,VisPeri,left,0.9642857142857143,0.0357142857142857,0.972972972972973,0.9642857142857143,0.968609865470852,0.03571428571428571,0.00011595547309833024,224,216,8,6
11,LH_VisPeri_ExStrSup_2,VisPeri,left,0.9955357142857143,0.004464285714285698,1.0,0.9955357142857143,0.9977628635346756,0.004464285714285714,0.0,224,223,1,0
12,LH_SomMotA_1,SomMotA,left,0.9375,0.0625,0.967741935483871,0.9375,0.9523809523809523,0.0625,0.00013528138528138528,224,210,14,7
13,LH_SomMotA_2,SomMotA,left,0.9464285714285714,0.0535714285714286,0.9506726457399103,0.9464285714285714,0.9485458612975392,0.05357142857142857,0.00021258503401360543,224,212,12,11
14,LH_SomMotA_3,SomMotA,left,0.9732142857142857,0.0267857142857143,0.9732142857142857,0.9732142857142857,0.9732142857142857,0.026785714285714284,0.00011595547309833024,224,218,6,6
15,LH_SomMotA_4,SomMotA,left,0.9598214285714286,0.0401785714285714,0.9817351598173516,0.9598214285714286,0.9706546275395034,0.04017857142857143,7.730364873222017e-05,224,215,9,4
16,LH_SomMotA_5,SomMotA,left,0.9821428571428571,0.017857142857142905,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.017857142857142856,7.730364873222017e-05,224,220,4,4
17,LH_SomMotA_6,SomMotA,left,0.9598214285714286,0.0401785714285714,0.9641255605381166,0.9598214285714286,0.9619686800894854,0.04017857142857143,0.00015460729746444033,224,215,9,8
