region_idx,region_name,network,hemisphere,accuracy,error_rate,precision,recall,f1_score,fnr,fpr,n_samples,n_correct,n_errors,n_false_positives
0,LH_VisCent_ExStr_2,VisCent,left,0.895,0.10499999999999998,0.8647342995169082,0.895,0.8796068796068797,0.105,0.0006060606060606061,200,179,21,28
1,LH_VisCent_ExStr_1,VisCent,left,0.975,0.025000000000000022,0.9948979591836735,0.975,0.984848484848485,0.025,2.1645021645021645e-05,200,195,5,1
2,LH_VisCent_Striate_1,VisCent,left,0.98,0.020000000000000018,0.9949238578680203,0.98,0.9874055415617129,0.02,2.1645021645021645e-05,200,196,4,1
3,LH_VisCent_ExStr_3,VisCent,left,0.94,0.06000000000000005,0.9740932642487047,0.94,0.9567430025445293,0.06,0.00010822510822510823,200,188,12,5
4,LH_VisCent_ExStr_4,VisCent,left,0.98,0.020000000000000018,0.98989898989899,0.98,0.9849246231155778,0.02,4.329004329004329e-05,200,196,4,2
5,LH_VisCent_ExStr_5,VisCent,left,0.99,0.010000000000000009,0.9850746268656716,0.99,0.9875311720698254,0.01,6.493506493506494e-05,200,198,2,3
6,LH_VisPeri_ExStrInf_1,VisPeri,left,0.945,0.05500000000000005,0.9593908629441624,0.945,0.9521410579345088,0.055,0.00017316017316017316,200,189,11,8
7,LH_VisPeri_ExStrInf_2,VisPeri,left,0.93,0.06999999999999995,0.96875,0.93,0.9489795918367346,0.07,0.00012987012987012987,200,186,14,6
8,LH_VisPeri_ExStrInf_3,VisPeri,left,0.775,0.22499999999999998,0.6798245614035088,0.775,0.7242990654205607,0.225,0.0015800865800865802,200,155,45,73
9,LH_VisPeri_StriCal_1,VisPeri,left,0.985,0.015000000000000013,1.0,0.985,0.9924433249370278,0.015,0.0,200,197,3,0
10,LH_VisPeri_ExStrSup_1,VisPeri,left,0.95,0.050000000000000044,0.9844559585492227,0.95,0.9669211195928753,0.05,6.493506493506494e-05,200,190,10,3
11,LH_VisPeri_ExStrSup_2,VisPeri,left,0.99,0.010000000000000009,0.9949748743718593,0.99,0.9924812030075189,0.01,2.1645021645021645e-05,200,198,2,1
12,LH_SomMotA_1,SomMotA,left,0.935,0.06499999999999995,0.9639175257731959,0.935,0.949238578680203,0.065,0.00015151515151515152,200,187,13,7
13,LH_SomMotA_2,SomMotA,left,0.955,0.04500000000000004,0.9646464646464646,0.955,0.9597989949748743,0.045,0.00015151515151515152,200,191,9,7
14,LH_SomMotA_3,SomMotA,left,0.91,0.08999999999999997,0.978494623655914,0.91,0.9430051813471503,0.09,8.658008658008658e-05,200,182,18,4
15,LH_SomMotA_4,SomMotA,left,0.99,0.010000000000000009,0.99,0.99,0.99,0.01,4.329004329004329e-05,200,198,2,2
16,LH_SomMotA_5,SomMotA,left,0.965,0.03500000000000003,0.965,0.965,0.965,0.035,0.00015151515151515152,200,193,7,7
17,LH_SomMotA_6,SomMotA,left,0.965,0.03500000000000003,0.9698492462311558,0.965,0.9674185463659147,0.035,0.00012987012987012987,200,193,7,6
18,LH_SomMotA_7,SomMotA,left,0.99,0.010000000000000009,1.0,0.99,0.9949748743718593,0.01,0.0,200,198,2,0
19,LH_SomMotA_8,SomMotA,left,0.955,0.04500000000000004,0.9794871794871794,0.955,0.9670886075949366,0.045,8.658008658008658e-05,200,191,9,4
20,LH_SomMotB_Aud_1,SomMotB,left,0.85,0.15000000000000002,0.918918918918919,0.85,0.8831168831168831,0.15,0.0003246753246753247,200,170,30,15
21,LH_SomMotB_Aud_2,SomMotB,left,0.93,0.06999999999999995,0.9946524064171123,0.93,0.9612403100775193,0.07,2.1645021645021645e-05,200,186,14,1
22,LH_SomMotB_S2_1,SomMotB,left,0.81,0.18999999999999995,0.8571428571428571,0.81,0.832904884318766,0.19,0.0005844155844155844,200,162,38,27
23,LH_SomMotB_S2_2,SomMotB,left,0.935,0.06499999999999995,0.9790575916230366,0.935,0.9565217391304348,0.065,8.658008658008658e-05,200,187,13,4
24,LH_SomMotB_Aud_3,SomMotB,left,0.81,0.18999999999999995,0.8617021276595744,0.81,0.8350515463917526,0.19,0.0005627705627705628,200,162,38,26
25,LH_SomMotB_S2_3,SomMotB,left,0.925,0.07499999999999996,0.9635416666666666,0.925,0.943877551020408,0.075,0.00015151515151515152,200,185,15,7
