true_idx,pred_idx,cv_error_rate,task_error_rate,transition,error_change
0,210,0.004464285714285714,0.015,new,0.010535714285714285
0,211,0.008928571428571428,0.015,new,0.006071428571428571
6,204,0.0,0.015,new,0.015
7,210,0.0,0.015,new,0.015
7,211,0.0,0.015,new,0.015
8,162,0.004464285714285714,0.015,new,0.010535714285714285
8,201,0.013392857142857142,0.02,persistent,0.006607142857142858
8,204,0.004464285714285714,0.02,new,0.015535714285714286
8,210,0.004464285714285714,0.025,new,0.02053571428571429
10,8,0.008928571428571428,0.015,new,0.006071428571428571
12,210,0.0,0.015,new,0.015
20,210,0.0,0.02,new,0.02
22,205,0.008928571428571428,0.02,new,0.011071428571428572
22,211,0.0,0.015,new,0.015
22,220,0.0,0.025,new,0.025
22,221,0.013392857142857142,0.0,resolved,-0.013392857142857142
23,210,0.0,0.015,new,0.015
24,99,0.004464285714285714,0.025,new,0.02053571428571429
24,143,0.004464285714285714,0.015,new,0.010535714285714285
24,147,0.004464285714285714,0.015,new,0.010535714285714285
27,210,0.0,0.025,new,0.025
29,131,0.0,0.02,new,0.02
29,163,0.013392857142857142,0.0,resolved,-0.013392857142857142
33,64,0.0,0.02,new,0.02
34,59,0.013392857142857142,0.0,resolved,-0.013392857142857142
38,142,0.013392857142857142,0.0,resolved,-0.013392857142857142
38,227,0.004464285714285714,0.015,new,0.010535714285714285
40,55,0.017857142857142856,0.01,resolved,-0.007857142857142856
40,143,0.004464285714285714,0.015,new,0.010535714285714285
40,227,0.013392857142857142,0.02,persistent,0.006607142857142858
41,205,0.004464285714285714,0.015,new,0.010535714285714285
41,210,0.004464285714285714,0.025,new,0.02053571428571429
42,55,0.0,0.015,new,0.015
42,64,0.004464285714285714,0.02,new,0.015535714285714286
42,227,0.013392857142857142,0.0,resolved,-0.013392857142857142
46,143,0.004464285714285714,0.015,new,0.010535714285714285
47,187,0.013392857142857142,0.02,persistent,0.006607142857142858
47,227,0.0,0.025,new,0.025
50,53,0.004464285714285714,0.015,new,0.010535714285714285
50,54,0.0,0.015,new,0.015
50,55,0.017857142857142856,0.015,persistent,-0.0028571428571428567
50,92,0.013392857142857142,0.0,resolved,-0.013392857142857142
50,161,0.004464285714285714,0.015,new,0.010535714285714285
50,187,0.017857142857142856,0.005,resolved,-0.012857142857142855
50,201,0.013392857142857142,0.0,resolved,-0.013392857142857142
50,202,0.013392857142857142,0.02,persistent,0.006607142857142858
50,217,0.004464285714285714,0.015,new,0.010535714285714285
50,226,0.013392857142857142,0.01,resolved,-0.003392857142857142
52,161,0.0,0.015,new,0.015
52,202,0.004464285714285714,0.03,new,0.025535714285714287
52,218,0.017857142857142856,0.02,persistent,0.0021428571428571443
53,54,0.013392857142857142,0.035,persistent,0.02160714285714286
53,160,0.026785714285714284,0.025,persistent,-0.0017857142857142828
53,162,0.013392857142857142,0.005,resolved,-0.008392857142857143
54,53,0.004464285714285714,0.02,new,0.015535714285714286
54,161,0.017857142857142856,0.01,resolved,-0.007857142857142856
54,162,0.017857142857142856,0.03,persistent,0.012142857142857143
54,202,0.008928571428571428,0.025,new,0.016071428571428573
54,218,0.008928571428571428,0.02,new,0.011071428571428572
54,220,0.008928571428571428,0.015,new,0.006071428571428571
54,226,0.0,0.02,new,0.02
54,227,0.004464285714285714,0.015,new,0.010535714285714285
55,50,0.022321428571428572,0.015,persistent,-0.0073214285714285725
55,92,0.017857142857142856,0.005,resolved,-0.012857142857142855
55,153,0.013392857142857142,0.0,resolved,-0.013392857142857142
55,160,0.013392857142857142,0.02,persistent,0.006607142857142858
55,161,0.013392857142857142,0.005,resolved,-0.008392857142857143
55,201,0.008928571428571428,0.015,new,0.006071428571428571
55,202,0.022321428571428572,0.05,persistent,0.02767857142857143
55,203,0.013392857142857142,0.0,resolved,-0.013392857142857142
55,208,0.0,0.015,new,0.015
55,210,0.013392857142857142,0.015,persistent,0.0016071428571428573
55,218,0.013392857142857142,0.01,resolved,-0.003392857142857142
55,219,0.017857142857142856,0.025,persistent,0.007142857142857145
56,99,0.008928571428571428,0.015,new,0.006071428571428571
56,210,0.013392857142857142,0.005,resolved,-0.008392857142857143
57,64,0.0,0.015,new,0.015
59,38,0.0,0.015,new,0.015
60,64,0.0,0.02,new,0.02
61,53,0.0,0.015,new,0.015
61,56,0.004464285714285714,0.02,new,0.015535714285714286
61,64,0.0,0.015,new,0.015
61,227,0.004464285714285714,0.015,new,0.010535714285714285
63,227,0.004464285714285714,0.015,new,0.010535714285714285
65,187,0.004464285714285714,0.02,new,0.015535714285714286
65,202,0.0,0.015,new,0.015
65,204,0.0,0.015,new,0.015
65,227,0.008928571428571428,0.02,new,0.011071428571428572
69,64,0.013392857142857142,0.0,resolved,-0.013392857142857142
70,227,0.004464285714285714,0.02,new,0.015535714285714286
79,187,0.008928571428571428,0.015,new,0.006071428571428571
80,187,0.017857142857142856,0.01,resolved,-0.007857142857142856
81,187,0.013392857142857142,0.005,resolved,-0.008392857142857143
82,160,0.0,0.03,new,0.03
83,187,0.013392857142857142,0.01,resolved,-0.003392857142857142
84,99,0.004464285714285714,0.015,new,0.010535714285714285
84,187,0.004464285714285714,0.015,new,0.010535714285714285
84,218,0.0,0.015,new,0.015
85,171,0.0,0.015,new,0.015
86,53,0.004464285714285714,0.015,new,0.010535714285714285
86,187,0.017857142857142856,0.005,resolved,-0.012857142857142855
86,211,0.013392857142857142,0.0,resolved,-0.013392857142857142
