network,cv_error_rate,task_error_rate,error_increase,relative_increase_pct
Putamen_post,0.48660714285714285,0.7475,0.2608928571428572,53.61
SalVentAttnA,0.1763392857142857,0.31749999999999995,0.14116071428571425,80.05
Thalamus_DP,0.16964285714285715,0.2975,0.12785714285714284,75.37
VisCent,0.15848214285714285,0.28500000000000003,0.12651785714285718,79.83
Thalamus_DA,0.078125,0.2025,0.12437500000000001,159.2
Amygdala_lat,0.07366071428571425,0.16500000000000004,0.09133928571428579,124.0
SalVentAttnB,0.08035714285714285,0.16000000000000003,0.07964285714285718,99.11
VisPeri,0.22544642857142855,0.2975,0.07205357142857144,31.96
ContC,0.1160714285714286,0.1875,0.0714285714285714,61.54
Accumbens_shell,0.042261904761904764,0.11166666666666665,0.06940476190476189,164.23
LimbicB,0.04017857142857145,0.10249999999999998,0.06232142857142853,155.11
Hippocampus_post,0.1049107142857143,0.16250000000000003,0.05758928571428573,54.89
DorsAttnB,0.013392857142857132,0.06916666666666667,0.05577380952380954,416.44
Hippocampus_ant,0.5066964285714286,0.5599999999999999,0.05330357142857134,10.52
Thalamus_VP,0.10714285714285714,0.155,0.04785714285714286,44.67
DefaultC,0.140625,0.1875,0.046875,33.33
SomMotB,0.06919642857142855,0.11499999999999999,0.045803571428571443,66.19
TempPar,0.068359375,0.11343750000000002,0.045078125000000024,65.94
SomMotA,0.06808035714285715,0.11031250000000001,0.04223214285714286,62.03
LimbicA,0.2388392857142857,0.27499999999999997,0.03616071428571427,15.14
Pallidum_post,0.03236607142857142,0.06625000000000002,0.0338839285714286,104.69
Caudate_post,0.1796875,0.21125,0.03156249999999999,17.57
ContB,0.06407563025210083,0.08705882352941176,0.022983193277310923,35.87
Putamen_ant,0.04464285714285715,0.0625,0.01785714285714285,40.0
DorsAttnA,0.03794642857142857,0.053333333333333365,0.015386904761904796,40.55
Pallidum_ant,0.02938988095238095,0.04416666666666668,0.014776785714285732,50.28
DefaultA,0.06026785714285714,0.0735714285714286,0.013303571428571456,22.07
Accumbens_core,0.06830357142857144,0.07949999999999999,0.011196428571428552,16.39
DefaultB,0.06324404761904763,0.06541666666666668,0.0021726190476190482,3.44
Thalamus_VA,0.0892857142857143,0.09083333333333332,0.00154761904761902,1.73
Amygdala_med,0.042528195488721804,0.039473684210526334,-0.0030545112781954695,-7.18
ContA,0.05758928571428573,0.05400000000000001,-0.0035892857142857185,-6.23
Caudate_ant,0.06279761904761906,0.057,-0.005797619047619058,-9.23
