error_rate_mean,error_rate_std,error_rate_min,error_rate_max,precision_mean,recall_mean,region_idx_count
0.0134,0.0089,0.0,0.0268,0.9918,0.9866,6
0.0294,0.0231,0.0045,0.0714,0.9845,0.9706,12
0.0324,0.0401,0.0,0.1518,0.9759,0.9676,12
0.0379,0.0254,0.0045,0.067,0.9746,0.9621,6
0.0402,0.0126,0.0312,0.0491,0.9795,0.9598,2
0.0423,0.0222,0.0089,0.0759,0.9667,0.9577,15
0.0425,0.0153,0.0179,0.0714,0.9692,0.9575,19
0.0446,0.0063,0.0402,0.0491,0.971,0.9554,2
0.0576,0.0267,0.0268,0.1027,0.9526,0.9424,10
0.0603,0.0863,0.0,0.3438,0.9448,0.9397,14
0.0628,0.019,0.0357,0.0893,0.9465,0.9372,15
0.0632,0.028,0.0402,0.1205,0.9472,0.9368,12
0.0641,0.038,0.0134,0.1473,0.9516,0.9359,17
0.0681,0.0287,0.0268,0.1295,0.9362,0.9319,16
0.0683,0.0253,0.0357,0.1205,0.94,0.9317,10
0.0684,0.0519,0.0089,0.1696,0.9365,0.9316,16
0.0692,0.0095,0.0625,0.0759,0.9522,0.9308,2
0.0737,0.0032,0.0714,0.0759,0.9499,0.9263,2
0.0781,0.0032,0.0759,0.0804,0.9473,0.9219,2
0.0804,0.0126,0.0714,0.0893,0.9304,0.9196,2
0.0893,0.0553,0.0223,0.1875,0.9201,0.9107,6
0.1049,0.0095,0.0982,0.1116,0.9243,0.8951,2
0.1071,0.0238,0.0848,0.1518,0.8979,0.8929,6
0.1161,0.0063,0.1116,0.1205,0.8708,0.8839,2
0.1406,0.0032,0.1384,0.1429,0.8463,0.8594,2
0.1585,0.0474,0.125,0.192,0.784,0.8415,2
0.1696,0.0253,0.1518,0.1875,0.7833,0.8304,2
0.1763,0.0158,0.1652,0.1875,0.7657,0.8237,2
0.1797,0.0649,0.0938,0.308,0.7862,0.8203,8
0.2254,0.0032,0.2232,0.2277,0.7199,0.7746,2
0.2388,0.0284,0.2188,0.2589,0.7254,0.7612,2
0.4866,0.0063,0.4821,0.4911,0.4244,0.5134,2
0.5067,0.0474,0.4732,0.5402,0.4182,0.4933,2
