Network,Rest_Error_Rate,Task_Error_Rate,N_Regions,Model,Error_Increase,Percent_Increase
Control,0.057070463320463304,0.08202702702702704,37,Full Connectivity,0.024956563706563732,43.729386892177644
Default,0.06519933554817277,0.08744186046511629,43,Full Connectivity,0.02224252491694352,34.11464968152866
Dorsal Attention,0.06067370129870132,0.060227272727272754,22,Full Connectivity,-0.0004464285714285629,-0.7357859531772432
Limbic,0.14094387755102042,0.15964285714285717,14,Full Connectivity,0.01869897959183675,13.266968325791867
Salience/Ventral Attention,0.0683379120879121,0.10038461538461539,26,Full Connectivity,0.0320467032967033,46.89447236180904
Somatomotor,0.04241071428571428,0.07132352941176473,34,Full Connectivity,0.02891281512605045,68.17337461300316
Subcortical,0.1693638392857143,0.2578125,32,Full Connectivity,0.0884486607142857,52.22405271828664
Visual,0.03087797619047618,0.05520833333333334,24,Full Connectivity,0.024330357142857157,78.79518072289163
Control,0.07490079365079365,0.11500000000000002,18,Left Hemisphere,0.04009920634920637,53.53642384105963
Default,0.06026785714285716,0.0996153846153846,26,Left Hemisphere,0.03934752747252745,65.28774928774924
Dorsal Attention,0.04951298701298701,0.057272727272727295,11,Left Hemisphere,0.007759740259740286,15.672131147541037
Limbic,0.19717261904761907,0.21333333333333337,6,Left Hemisphere,0.016160714285714306,8.19622641509435
Salience/Ventral Attention,0.04870129870129868,0.10181818181818185,11,Left Hemisphere,0.053116883116883166,109.0666666666668
Somatomotor,0.0493861607142857,0.095625,16,Left Hemisphere,0.0462388392857143,93.62711864406786
Subcortical,0.18861607142857142,0.3175,16,Left Hemisphere,0.12888392857142858,68.33136094674556
Visual,0.042038690476190466,0.07166666666666668,12,Left Hemisphere,0.02962797619047622,70.47787610619477
Control,0.0820018796992481,0.10921052631578948,19,Right Hemisphere,0.027208646616541377,33.18051575931236
Default,0.07116596638655462,0.11294117647058821,17,Right Hemisphere,0.04177521008403359,58.701107011070086
Dorsal Attention,0.0523538961038961,0.08000000000000002,11,Right Hemisphere,0.02764610389610392,52.80620155038764
Limbic,0.14285714285714285,0.17624999999999996,8,Right Hemisphere,0.03339285714285711,23.37499999999998
Salience/Ventral Attention,0.0818452380952381,0.13266666666666665,15,Right Hemisphere,0.05082142857142856,62.09454545454543
Somatomotor,0.048611111111111105,0.07472222222222222,18,Right Hemisphere,0.026111111111111113,53.71428571428572
Subcortical,0.19140625,0.34562499999999996,16,Right Hemisphere,0.15421874999999996,80.57142857142856
Visual,0.03125000000000001,0.06125,12,Right Hemisphere,0.029999999999999992,95.99999999999996
