region_idx,region_name,network,hemisphere,prediction_frequency,precision,is_sink,is_ghost
0,LH_VisCent_ExStr_2,VisCent,left,223,0.9461883408071748,False,False
1,LH_VisCent_ExStr_1,VisCent,left,220,0.9954545454545455,False,False
2,LH_VisCent_Striate_1,VisCent,left,224,0.9955357142857143,False,False
3,LH_VisCent_ExStr_3,VisCent,left,224,0.96875,False,False
4,LH_VisCent_ExStr_4,VisCent,left,223,0.9865470852017937,False,False
5,LH_VisCent_ExStr_5,VisCent,left,221,1.0,False,False
6,LH_VisPeri_ExStrInf_1,VisPeri,left,219,0.9908675799086758,False,False
7,LH_VisPeri_ExStrInf_2,VisPeri,left,220,0.9772727272727273,False,False
8,LH_VisPeri_ExStrInf_3,VisPeri,left,227,0.8370044052863436,False,False
9,LH_VisPeri_StriCal_1,VisPeri,left,225,0.9955555555555555,False,False
10,LH_VisPeri_ExStrSup_1,VisPeri,left,222,0.972972972972973,False,False
11,LH_VisPeri_ExStrSup_2,VisPeri,left,223,1.0,False,False
12,LH_SomMotA_1,SomMotA,left,217,0.967741935483871,False,False
13,LH_SomMotA_2,SomMotA,left,223,0.9506726457399103,False,False
14,LH_SomMotA_3,SomMotA,left,224,0.9732142857142857,False,False
15,LH_SomMotA_4,SomMotA,left,219,0.9817351598173516,False,False
16,LH_SomMotA_5,SomMotA,left,224,0.9821428571428571,False,False
17,LH_SomMotA_6,SomMotA,left,223,0.9641255605381166,False,False
18,LH_SomMotA_7,SomMotA,left,221,0.995475113122172,False,False
19,LH_SomMotA_8,SomMotA,left,221,0.9773755656108597,False,False
20,LH_SomMotB_Aud_1,SomMotB,left,226,0.9292035398230089,False,False
21,LH_SomMotB_Aud_2,SomMotB,left,222,0.990990990990991,False,False
22,LH_SomMotB_S2_1,SomMotB,left,230,0.9,False,False
23,LH_SomMotB_S2_2,SomMotB,left,223,0.9955156950672646,False,False
24,LH_SomMotB_Aud_3,SomMotB,left,226,0.9336283185840708,False,False
25,LH_SomMotB_S2_3,SomMotB,left,224,0.96875,False,False
26,LH_SomMotB_Cent_1,SomMotB,left,222,1.0,False,False
27,LH_SomMotB_Cent_2,SomMotB,left,228,0.9342105263157895,False,False
28,LH_DorsAttnA_TempOcc_1,DorsAttnA,left,223,0.9506726457399103,False,False
29,LH_DorsAttnA_TempOcc_2,DorsAttnA,left,219,0.9726027397260274,False,False
30,LH_DorsAttnA_ParOcc_1,DorsAttnA,left,227,0.8722466960352423,False,False
31,LH_DorsAttnA_SPL_1,DorsAttnA,left,223,0.9417040358744395,False,False
32,LH_DorsAttnA_SPL_2,DorsAttnA,left,218,0.981651376146789,False,False
33,LH_DorsAttnA_SPL_3,DorsAttnA,left,226,0.911504424778761,False,False
34,LH_DorsAttnB_PostC_1,DorsAttnB,left,228,0.9517543859649122,False,False
35,LH_DorsAttnB_PostC_2,DorsAttnB,left,222,0.9594594594594594,False,False
36,LH_DorsAttnB_PostC_3,DorsAttnB,left,214,0.9672897196261683,False,True
37,LH_DorsAttnB_PostC_4,DorsAttnB,left,218,0.9770642201834863,False,False
38,LH_DorsAttnB_FEF_1,DorsAttnB,left,217,0.9262672811059908,False,False
39,LH_SalVentAttnA_ParOper_1,SalVentAttnA,left,220,0.9954545454545455,False,False
40,LH_SalVentAttnA_Ins_1,SalVentAttnA,left,222,0.9144144144144144,False,False
41,LH_SalVentAttnA_FrOper_1,SalVentAttnA,left,220,0.9545454545454546,False,False
42,LH_SalVentAttnA_FrOper_2,SalVentAttnA,left,219,0.958904109589041,False,False
43,LH_SalVentAttnA_ParMed_1,SalVentAttnA,left,219,0.9817351598173516,False,False
44,LH_SalVentAttnA_FrMed_1,SalVentAttnA,left,224,0.9910714285714286,False,False
45,LH_SalVentAttnA_FrMed_2,SalVentAttnA,left,224,0.9598214285714286,False,False
46,LH_SalVentAttnB_IPL_1,SalVentAttnB,left,224,0.9107142857142857,False,False
47,LH_SalVentAttnB_PFCl_1,SalVentAttnB,left,226,0.9203539823008849,False,False
48,LH_SalVentAttnB_Ins_1,SalVentAttnB,left,222,0.954954954954955,False,False
49,LH_SalVentAttnB_PFCmp_1,SalVentAttnB,left,218,0.9908256880733946,False,False
50,LH_LimbicB_OFC_1,LimbicB,left,237,0.7679324894514767,True,False
51,LH_LimbicB_OFC_2,LimbicB,left,222,0.9504504504504504,False,False
52,LH_LimbicA_TempPole_1,LimbicA,left,228,0.8640350877192983,False,False
53,LH_LimbicA_TempPole_2,LimbicA,left,219,0.8264840182648402,False,False
54,LH_LimbicA_TempPole_3,LimbicA,left,238,0.7647058823529411,True,False
55,LH_LimbicA_TempPole_4,LimbicA,left,257,0.603112840466926,True,False
56,LH_ContA_Temp_1,ContA,left,237,0.8227848101265823,False,False
57,LH_ContA_IPS_1,ContA,left,219,0.9771689497716894,False,False
58,LH_ContA_IPS_2,ContA,left,220,0.9636363636363636,False,False
59,LH_ContA_IPS_3,ContA,left,224,0.9375,False,False
60,LH_ContA_PFCd_1,ContA,left,219,0.9452054794520548,False,False
61,LH_ContA_PFClv_1,ContA,left,220,0.9545454545454546,False,False
62,LH_ContA_PFCl_1,ContA,left,226,0.9557522123893806,False,False
63,LH_ContA_PFCl_2,ContA,left,239,0.8619246861924686,False,False
64,LH_ContA_PFCl_3,ContA,left,226,0.8672566371681416,False,False
65,LH_ContA_Cingm_1,ContA,left,214,0.9626168224299065,False,True
66,LH_ContB_Temp_1,ContB,left,222,0.9279279279279279,False,False
67,LH_ContB_IPL_1,ContB,left,218,0.9724770642201835,False,False
68,LH_ContB_PFCl_1,ContB,left,224,0.9642857142857143,False,False
69,LH_ContB_PFClv_1,ContB,left,217,0.9493087557603687,False,False
70,LH_ContB_PFClv_2,ContB,left,225,0.9066666666666666,False,False
71,LH_ContC_pCun_1,ContC,left,225,0.9955555555555555,False,False
72,LH_ContC_pCun_2,ContC,left,221,0.9864253393665159,False,False
73,LH_ContC_Cingp_1,ContC,left,221,1.0,False,False
74,LH_DefaultA_IPL_1,DefaultA,left,216,1.0,False,True
75,LH_DefaultA_PFCd_1,DefaultA,left,222,0.9684684684684685,False,False
76,LH_DefaultA_pCunPCC_1,DefaultA,left,223,0.9910313901345291,False,False
77,LH_DefaultA_pCunPCC_2,DefaultA,left,224,0.96875,False,False
78,LH_DefaultA_pCunPCC_3,DefaultA,left,220,0.990909090909091,False,False
79,LH_DefaultA_PFCm_1,DefaultA,left,213,0.9859154929577465,False,True
80,LH_DefaultA_PFCm_2,DefaultA,left,217,0.9815668202764977,False,False
81,LH_DefaultA_PFCm_3,DefaultA,left,222,0.990990990990991,False,False
82,LH_DefaultB_Temp_1,DefaultB,left,217,0.967741935483871,False,False
83,LH_DefaultB_Temp_2,DefaultB,left,216,0.9074074074074074,False,True
84,LH_DefaultB_Temp_3,DefaultB,left,219,0.954337899543379,False,False
85,LH_DefaultB_Temp_4,DefaultB,left,219,0.9771689497716894,False,False
86,LH_DefaultB_IPL_1,DefaultB,left,222,0.8783783783783784,False,False
87,LH_DefaultB_PFCd_1,DefaultB,left,221,1.0,False,False
88,LH_DefaultB_PFCd_2,DefaultB,left,223,0.9865470852017937,False,False
89,LH_DefaultB_PFCd_3,DefaultB,left,221,0.9592760180995475,False,False
90,LH_DefaultB_PFCd_4,DefaultB,left,221,0.9683257918552036,False,False
91,LH_DefaultB_PFCv_1,DefaultB,left,220,0.9409090909090909,False,False
92,LH_DefaultB_PFCv_2,DefaultB,left,226,0.8451327433628318,False,False
93,LH_DefaultB_PFCv_3,DefaultB,left,223,0.9596412556053812,False,False
94,LH_DefaultB_PFCv_4,DefaultB,left,221,0.9728506787330317,False,False
95,LH_DefaultC_IPL_1,DefaultC,left,227,0.9427312775330396,False,False
96,LH_DefaultC_Rsp_1,DefaultC,left,223,0.9955156950672646,False,False
97,LH_DefaultC_PHC_1,DefaultC,left,217,0.9815668202764977,False,False
98,LH_TempPar_1,TempPar,left,217,0.9262672811059908,False,False
99,LH_TempPar_2,TempPar,left,240,0.7916666666666666,True,False
100,RH_VisCent_ExStr_1,VisCent,right,221,0.995475113122172,False,False
101,RH_VisCent_ExStr_2,VisCent,right,213,0.9765258215962441,False,True
102,RH_VisCent_Striate_1,VisCent,right,223,0.9955156950672646,False,False
103,RH_VisCent_ExStr_3,VisCent,right,217,0.9631336405529954,False,False
104,RH_VisCent_ExStr_4,VisCent,right,218,1.0,False,False
105,RH_VisCent_ExStr_5,VisCent,right,223,0.9910313901345291,False,False
106,RH_VisPeri_ExStrInf_1,VisPeri,right,223,0.9910313901345291,False,False
107,RH_VisPeri_ExStrInf_2,VisPeri,right,221,0.9819004524886877,False,False
108,RH_VisPeri_StriCal_1,VisPeri,right,223,1.0,False,False
109,RH_VisPeri_ExStrSup_1,VisPeri,right,220,0.9863636363636363,False,False
110,RH_VisPeri_ExStrSup_2,VisPeri,right,221,1.0,False,False
111,RH_VisPeri_ExStrSup_3,VisPeri,right,222,0.9774774774774775,False,False
112,RH_SomMotA_1,SomMotA,right,218,0.9770642201834863,False,False
113,RH_SomMotA_2,SomMotA,right,220,0.9772727272727273,False,False
114,RH_SomMotA_3,SomMotA,right,218,0.9541284403669725,False,False
115,RH_SomMotA_4,SomMotA,right,219,0.9817351598173516,False,False
