region_idx,region_name,network,hemisphere,cv_error_rate,task_error_rate,error_increase,relative_increase_pct
227,aGP-lh,Pallidum_ant,left,0.4910714285714286,0.76,0.2689285714285714,54.76363635248449
211,aGP-rh,Pallidum_ant,right,0.4821428571428571,0.735,0.2528571428571429,52.44444443356709
142,RH_SalVentAttnA_PrC_1,SalVentAttnA,right,0.1696428571428571,0.41500000000000004,0.24535714285714294,144.631578862112
167,RH_ContA_PFCl_1,ContA,right,0.0625,0.245,0.1825,291.9999995328
205,THA-VP-rh,Thalamus_VP,right,0.1517857142857143,0.31999999999999995,0.16821428571428565,110.8235293387515
65,LH_ContA_Cingm_1,ContA,left,0.0803571428571429,0.24,0.1596428571428571,198.66666641943686
201,pHIP-rh,Hippocampus_post,right,0.1651785714285714,0.31999999999999995,0.15482142857142855,93.72972967298526
229,pPUT-lh,Putamen_post,left,0.0758928571428571,0.21999999999999997,0.14410714285714288,189.8823526909787
169,RH_ContA_Cingm_1,ContA,right,0.0625,0.20499999999999996,0.14249999999999996,227.99999963519997
202,lAMY-rh,Amygdala_lat,right,0.2232142857142857,0.365,0.1417857142857143,63.51999997154305
224,NAc-shell-lh,Accumbens_shell,left,0.125,0.26,0.135,107.9999999136
24,LH_SomMotB_Aud_3,SomMotB,left,0.0580357142857143,0.18999999999999995,0.13196428571428565,227.384614992814
217,pHIP-lh,Hippocampus_post,left,0.1875,0.31499999999999995,0.12749999999999995,67.9999999637333
181,RH_ContC_pCun_2,ContC,right,0.017857142857142905,0.14500000000000002,0.1271428571428571,711.9999960127979
161,RH_LimbicA_TempPole_2,LimbicA,right,0.1785714285714286,0.30500000000000005,0.12642857142857145,70.79999996035198
84,LH_DefaultB_Temp_3,DefaultB,left,0.0669642857142857,0.18999999999999995,0.12303571428571425,183.73333305895824
208,NAc-shell-rh,Accumbens_shell,right,0.1919642857142857,0.31000000000000005,0.11803571428571435,61.48837206099215
125,RH_SomMotB_S2_1,SomMotB,right,0.0669642857142857,0.18500000000000005,0.11803571428571435,176.26666640344192
22,LH_SomMotB_S2_1,SomMotB,left,0.0758928571428571,0.18999999999999995,0.11410714285714285,150.3529409783586
127,RH_SomMotB_S2_3,SomMotB,right,0.03125,0.14500000000000002,0.11375000000000002,363.9999988352001
61,LH_ContA_PFClv_1,ContA,left,0.0625,0.17500000000000004,0.11250000000000004,179.9999997120001
226,pGP-lh,Pallidum_post,left,0.4732142857142857,0.585,0.11178571428571427,23.622641504442004
206,THA-VA-rh,Thalamus_VA,right,0.0714285714285714,0.18000000000000005,0.10857142857142865,151.9999997872002
225,NAc-core-lh,Accumbens_core,left,0.1116071428571429,0.21999999999999997,0.10839285714285707,97.11999991298038
213,pPUT-rh,Putamen_post,right,0.0803571428571429,0.18500000000000005,0.10464285714285715,130.22222206016784
109,RH_VisPeri_ExStrSup_1,VisPeri,right,0.03125,0.135,0.10375000000000001,331.9999989376
190,RH_DefaultB_AntTemp_1,DefaultB,right,0.0625,0.16500000000000004,0.10250000000000004,163.99999973760006
204,THA-DP-rh,Thalamus_DP,right,0.21875,0.31999999999999995,0.10124999999999995,46.285714264555075
174,RH_ContB_PFCld_1,ContB,right,0.0892857142857143,0.18999999999999995,0.10071428571428565,112.79999987366392
63,LH_ContA_PFCl_2,ContA,left,0.0803571428571429,0.18000000000000005,0.09964285714285714,123.99999984568883
200,aHIP-rh,Hippocampus_ant,right,0.0714285714285714,0.16000000000000003,0.08857142857142863,123.99999982640016
20,LH_SomMotB_Aud_1,SomMotB,left,0.0625,0.15000000000000002,0.08750000000000002,139.99999977600004
221,THA-VP-lh,Thalamus_VP,left,0.1875,0.275,0.08750000000000002,46.66666664177779
98,LH_TempPar_1,TempPar,left,0.1026785714285714,0.18999999999999995,0.08732142857142855,85.04347817804462
134,RH_DorsAttnA_SPL_3,DorsAttnA,right,0.044642857142857095,0.13,0.08535714285714291,191.1999995717123
47,LH_SalVentAttnB_PFCl_1,SalVentAttnB,left,0.0714285714285714,0.15500000000000003,0.08357142857142863,116.99999983620015
126,RH_SomMotB_S2_2,SomMotB,right,0.049107142857142905,0.13,0.0808928571428571,164.72727239182785
143,RH_SalVentAttnA_Ins_1,SalVentAttnA,right,0.1651785714285714,0.245,0.0798214285714286,48.324324295068536
41,LH_SalVentAttnA_FrOper_1,SalVentAttnA,left,0.0625,0.14,0.07750000000000001,123.99999980160004
222,THA-VA-lh,Thalamus_VA,left,0.0758928571428571,0.15000000000000002,0.07410714285714293,97.64705869486521
8,LH_VisPeri_ExStrInf_3,VisPeri,left,0.1517857142857143,0.22499999999999998,0.07321428571428568,48.23529408586848
92,LH_DefaultB_PFCv_2,DefaultB,left,0.1473214285714286,0.21999999999999997,0.07267857142857137,49.33333329984641
82,LH_DefaultB_Temp_1,DefaultB,left,0.0625,0.135,0.07250000000000001,115.99999981440004
223,THA-DA-lh,Thalamus_DA,left,0.0982142857142857,0.17000000000000004,0.07178571428571434,73.09090901648932
136,RH_DorsAttnB_PostC_1,DorsAttnB,right,0.049107142857142905,0.12,0.07089285714285709,144.36363606965926
216,aHIP-lh,Hippocampus_ant,left,0.0892857142857143,0.16000000000000003,0.07071428571428573,79.199999911296
212,aPUT-rh,Putamen_ant,right,0.03125,0.09999999999999998,0.06874999999999998,219.9999992959999
145,RH_SalVentAttnA_FrOper_1,SalVentAttnA,right,0.017857142857142905,0.08499999999999996,0.06714285714285706,375.9999978943985
71,LH_ContC_pCun_1,ContC,left,0.0,0.06499999999999995,0.06499999999999995,64999999999.99994
62,LH_ContA_PFCl_1,ContA,left,0.0357142857142857,0.09999999999999998,0.06428571428571428,179.99999949600004
14,LH_SomMotA_3,SomMotA,left,0.0267857142857143,0.08999999999999997,0.06321428571428567,235.99999911893298
42,LH_SalVentAttnA_FrOper_2,SalVentAttnA,left,0.0625,0.125,0.0625,99.99999984000002
215,pCAU-rh,Caudate_post,right,0.0625,0.125,0.0625,99.99999984000002
48,LH_SalVentAttnB_Ins_1,SalVentAttnB,left,0.0535714285714286,0.11499999999999999,0.06142857142857139,114.66666645262207
27,LH_SomMotB_Cent_2,SomMotB,left,0.049107142857142905,0.10999999999999999,0.06089285714285708,123.99999974749065
85,LH_DefaultB_Temp_4,DefaultB,left,0.044642857142857095,0.10499999999999998,0.06035714285714289,135.1999996971522
107,RH_VisPeri_ExStrInf_2,VisPeri,right,0.03125,0.08999999999999997,0.05874999999999997,187.9999993983999
197,RH_TempPar_2,TempPar,right,0.1071428571428571,0.16500000000000004,0.05785714285714294,53.99999994960011
