region_idx,region_name,network,hemisphere,major_network,Rest_Error,Task_Error,Reorganization
167,RH_ContA_PFCl_1,ContA,right,Control,0.0625,0.245,0.1825
65,LH_ContA_Cingm_1,ContA,left,Control,0.0803571428571429,0.24,0.1596428571428571
169,RH_ContA_Cingm_1,ContA,right,Control,0.0625,0.20499999999999996,0.14249999999999996
181,RH_ContC_pCun_2,ContC,right,Control,0.017857142857142905,0.14500000000000002,0.1271428571428571
61,LH_ContA_PFClv_1,ContA,left,Control,0.0625,0.17500000000000004,0.11250000000000004
174,RH_ContB_PFCld_1,ContB,right,Control,0.0892857142857143,0.18999999999999995,0.10071428571428565
63,LH_ContA_PFCl_2,ContA,left,Control,0.0803571428571429,0.18000000000000005,0.09964285714285714
71,LH_ContC_pCun_1,ContC,left,Control,0.0,0.06499999999999995,0.06499999999999995
62,LH_ContA_PFCl_1,ContA,left,Control,0.0357142857142857,0.09999999999999998,0.06428571428571428
182,RH_ContC_Cingp_1,ContC,right,Control,0.013392857142857095,0.06999999999999995,0.056607142857142856
180,RH_ContC_pCun_1,ContC,right,Control,0.008928571428571397,0.05500000000000005,0.04607142857142865
73,LH_ContC_Cingp_1,ContC,left,Control,0.013392857142857095,0.050000000000000044,0.03660714285714295
170,RH_ContB_Temp_1,ContB,right,Control,0.049107142857142905,0.08499999999999996,0.03589285714285706
179,RH_ContB_PFCld_3,ContB,right,Control,0.0401785714285714,0.06999999999999995,0.029821428571428554
70,LH_ContB_PFClv_2,ContB,left,Control,0.0892857142857143,0.11499999999999999,0.02571428571428569
166,RH_ContA_PFCd_1,ContA,right,Control,0.0848214285714286,0.10499999999999998,0.02017857142857138
165,RH_ContA_IPS_2,ContA,right,Control,0.0267857142857143,0.040000000000000036,0.013214285714285734
56,LH_ContA_Temp_1,ContA,left,Control,0.1294642857142857,0.14,0.010535714285714315
60,LH_ContA_PFCd_1,ContA,left,Control,0.0758928571428571,0.07999999999999996,0.004107142857142865
72,LH_ContC_pCun_2,ContC,left,Control,0.0267857142857143,0.030000000000000027,0.003214285714285725
68,LH_ContB_PFCl_1,ContB,left,Control,0.0357142857142857,0.030000000000000027,-0.005714285714285672
172,RH_ContB_IPL_1,ContB,right,Control,0.044642857142857095,0.03500000000000003,-0.009642857142857064
171,RH_ContB_Temp_2,ContB,right,Control,0.0803571428571429,0.06999999999999995,-0.010357142857142954
177,RH_ContB_PFClv_2,ContB,right,Control,0.0803571428571429,0.06999999999999995,-0.010357142857142954
57,LH_ContA_IPS_1,ContA,left,Control,0.044642857142857095,0.030000000000000027,-0.014642857142857069
164,RH_ContA_IPS_1,ContA,right,Control,0.0357142857142857,0.020000000000000018,-0.01571428571428568
168,RH_ContA_PFCl_2,ContA,right,Control,0.0669642857142857,0.050000000000000044,-0.016964285714285654
59,LH_ContA_IPS_3,ContA,left,Control,0.0625,0.04500000000000004,-0.01749999999999996
173,RH_ContB_IPL_2,ContB,right,Control,0.049107142857142905,0.025000000000000022,-0.024107142857142883
66,LH_ContB_Temp_1,ContB,left,Control,0.0803571428571429,0.05500000000000005,-0.025357142857142856
175,RH_ContB_PFCld_2,ContB,right,Control,0.0580357142857143,0.030000000000000027,-0.028035714285714275
58,LH_ContA_IPS_2,ContA,left,Control,0.0535714285714286,0.025000000000000022,-0.02857142857142858
178,RH_ContB_PFCmp_1,ContB,right,Control,0.044642857142857095,0.015000000000000013,-0.029642857142857082
176,RH_ContB_PFClv_1,ContB,right,Control,0.0669642857142857,0.03500000000000003,-0.03196428571428567
64,LH_ContA_PFCl_3,ContA,left,Control,0.125,0.08499999999999996,-0.040000000000000036
67,LH_ContB_IPL_1,ContB,left,Control,0.0535714285714286,0.010000000000000009,-0.043571428571428594
69,LH_ContB_PFClv_1,ContB,left,Control,0.0803571428571429,0.020000000000000018,-0.06035714285714289
