Network,N_Regions,Rest_Error_Rate_Mean,Rest_Error_Rate_Std,Task_Error_Rate_Mean,Task_Error_Rate_Std,Reorganization_Mean,Reorganization_Std,Reorganization_Sum,Rest_Within_Network_Errors,Task_Within_Network_Errors,Rest_Between_Network_Errors,Task_Between_Network_Errors,Within_Network_Change,Between_Network_Change,Total_Error_Change,Model,Demand_Level
Visual,24,0.03087797619047618,0.03135390534842626,0.05520833333333334,0.048508572409649627,0.024330357142857164,0.024603642128654398,0.5839285714285719,31,66,135,199,35,64,99,Full,Moderate Demand
Somatomotor,34,0.04241071428571428,0.01812593138311524,0.07132352941176473,0.05212130680285529,0.02891281512605042,0.04642849805357522,0.9830357142857143,87,114,236,371,27,135,162,Full,Low Demand
Dorsal Attention,22,0.06067370129870132,0.02633065464011856,0.060227272727272754,0.041981523877861276,-0.00044642857142856984,0.03580547408877177,-0.009821428571428537,64,57,235,208,-7,-27,-34,Full,Moderate Demand
Salience/Ventral Attention,26,0.0683379120879121,0.042129985265069475,0.10038461538461539,0.08149944639881677,0.032046703296703304,0.05578996495149226,0.8332142857142859,85,108,313,414,23,101,124,Full,Moderate Demand
Limbic,14,0.14094387755102042,0.07211710329651386,0.15964285714285717,0.0955709214165489,0.018698979591836713,0.04008057371881447,0.26178571428571396,120,132,322,315,12,-7,5,Full,Low Demand
Control,37,0.057070463320463304,0.029249154935306602,0.08202702702702704,0.06419416765899923,0.024956563706563704,0.060804220317627444,0.9233928571428571,136,169,337,438,33,101,134,Full,High Demand
Default,43,0.06519933554817277,0.057349957055863036,0.08744186046511629,0.05967325852159558,0.022242524916943538,0.040070226794371507,0.9564285714285722,202,189,426,563,-13,137,124,Full,Low Demand
Subcortical,32,0.1693638392857143,0.13727196519919002,0.2578125,0.1719190284516231,0.08844866071428571,0.06583525050203347,2.830357142857143,735,1049,479,601,314,122,436,Full,Subcortical (Control)
Visual,12,0.042038690476190466,0.04181752822875473,0.07166666666666668,0.06643710475998249,0.02962797619047622,0.026807576230483316,0.3555357142857146,29,51,84,121,22,37,59,Left,Moderate Demand
Somatomotor,16,0.0493861607142857,0.022179725997775887,0.095625,0.07114850226814334,0.0462388392857143,0.06423260047737762,0.7398214285714289,36,62,141,244,26,103,129,Left,Low Demand
Dorsal Attention,11,0.04951298701298701,0.024485557027594734,0.057272727272727295,0.039621139695165265,0.007759740259740285,0.022432175091569754,0.08535714285714313,19,26,103,100,7,-3,4,Left,Moderate Demand
Salience/Ventral Attention,11,0.04870129870129868,0.018303526434707278,0.10181818181818185,0.052495572422509525,0.05311688311688316,0.04349813958369219,0.5842857142857147,9,8,111,216,-1,105,104,Left,Moderate Demand
Limbic,6,0.19717261904761907,0.06315645194318752,0.21333333333333337,0.10278078073691059,0.016160714285714306,0.056467149824953454,0.09696428571428584,63,70,202,186,7,-16,-9,Left,Low Demand
Control,18,0.07490079365079365,0.05285473712290668,0.11500000000000002,0.08759122228980608,0.040099206349206364,0.060684522998616895,0.7217857142857146,93,113,209,301,20,92,112,Left,High Demand
Default,26,0.06026785714285716,0.04086430243742106,0.0996153846153846,0.06062055815485301,0.039347527472527455,0.03682493316063656,1.0230357142857138,101,126,250,392,25,142,167,Left,Low Demand
Subcortical,16,0.18861607142857142,0.10615593637872485,0.3175,0.14410282786954598,0.1288839285714286,0.07260382201579348,2.0621428571428577,349,540,327,476,191,149,340,Left,Subcortical (Control)
Visual,12,0.03125000000000001,0.025967155307463005,0.06125,0.029589201295968294,0.02999999999999999,0.03299249102880402,0.3599999999999999,11,18,73,129,7,56,63,Right,Moderate Demand
Somatomotor,18,0.048611111111111105,0.014419089140623637,0.07472222222222222,0.04788505398411626,0.026111111111111123,0.0458189740785791,0.4700000000000002,47,58,149,211,11,62,73,Right,Low Demand
Dorsal Attention,11,0.0523538961038961,0.027393728945919172,0.08000000000000002,0.05134553180524704,0.02764610389610391,0.052475357443368044,0.304107142857143,15,22,114,154,7,40,47,Right,Moderate Demand
Salience/Ventral Attention,15,0.0818452380952381,0.050393505389956045,0.13266666666666665,0.1014538756720949,0.05082142857142856,0.07010517487473865,0.7623214285714284,58,74,217,324,16,107,123,Right,Moderate Demand
Limbic,8,0.14285714285714285,0.07267330623258797,0.17624999999999996,0.08451146371942685,0.03339285714285713,0.04024954049680669,0.267142857142857,60,62,196,220,2,24,26,Right,Low Demand
Control,19,0.0820018796992481,0.07340159377018125,0.10921052631578948,0.09326339550878607,0.027208646616541366,0.05892669769538492,0.516964285714286,88,110,261,305,22,44,66,Right,High Demand
Default,17,0.07116596638655462,0.0664011791146181,0.11294117647058821,0.07019005341653413,0.0417752100840336,0.04830284702497534,0.7101785714285712,48,50,223,334,2,111,113,Right,Low Demand
Subcortical,16,0.19140625,0.11314647154656438,0.34562499999999996,0.16380128013846534,0.15421875000000002,0.07250714346734838,2.4675000000000002,360,555,326,551,195,225,420,Right,Subcortical (Control)
