true_idx,pred_idx,true_region,pred_region,true_network,pred_network,true_hemisphere,pred_hemisphere,count,proportion,same_network,same_hemisphere
227,210,aGP-lh,pGP-rh,Pallidum_ant,Pallidum_post,left,right,29,0.12946428571428573,False,False
210,227,pGP-rh,aGP-lh,Pallidum_post,Pallidum_ant,right,left,26,0.11607142857142858,False,False
211,226,aGP-rh,pGP-lh,Pallidum_ant,Pallidum_post,right,left,24,0.10714285714285714,False,False
226,211,pGP-lh,aGP-rh,Pallidum_post,Pallidum_ant,left,right,23,0.10267857142857142,False,False
227,211,aGP-lh,aGP-rh,Pallidum_ant,Pallidum_ant,left,right,10,0.044642857142857144,True,False
205,220,THA-VP-rh,THA-DP-lh,Thalamus_VP,Thalamus_DP,right,left,9,0.04017857142857143,False,False
187,227,RH_DefaultA_PFCm_2,aGP-lh,DefaultA,Pallidum_ant,right,left,9,0.04017857142857143,False,False
226,210,pGP-lh,pGP-rh,Pallidum_post,Pallidum_post,left,right,9,0.04017857142857143,True,False
210,226,pGP-rh,pGP-lh,Pallidum_post,Pallidum_post,right,left,8,0.03571428571428571,True,False
161,54,RH_LimbicA_TempPole_2,LH_LimbicA_TempPole_3,LimbicA,LimbicA,right,left,7,0.03125,True,False
220,205,THA-DP-lh,THA-VP-rh,Thalamus_DP,Thalamus_VP,left,right,7,0.03125,False,False
211,227,aGP-rh,aGP-lh,Pallidum_ant,Pallidum_ant,right,left,7,0.03125,True,False
220,226,THA-DP-lh,pGP-lh,Thalamus_DP,Pallidum_post,left,left,7,0.03125,False,True
221,211,THA-VP-lh,aGP-rh,Thalamus_VP,Pallidum_ant,left,right,7,0.03125,False,False
221,204,THA-VP-lh,THA-DP-rh,Thalamus_VP,Thalamus_DP,left,right,7,0.03125,False,False
210,220,pGP-rh,THA-DP-lh,Pallidum_post,Thalamus_DP,right,left,6,0.026785714285714284,False,False
219,202,mAMY-lh,lAMY-rh,Amygdala_med,Amygdala_lat,left,right,6,0.026785714285714284,False,False
204,221,THA-DP-rh,THA-VP-lh,Thalamus_DP,Thalamus_VP,right,left,6,0.026785714285714284,False,False
53,160,LH_LimbicA_TempPole_2,RH_LimbicA_TempPole_1,LimbicA,LimbicA,left,right,6,0.026785714285714284,True,False
208,227,NAc-shell-rh,aGP-lh,Accumbens_shell,Pallidum_ant,right,left,6,0.026785714285714284,False,False
221,210,THA-VP-lh,pGP-rh,Thalamus_VP,Pallidum_post,left,right,6,0.026785714285714284,False,False
218,210,lAMY-lh,pGP-rh,Amygdala_lat,Pallidum_post,left,right,5,0.022321428571428572,False,False
187,211,RH_DefaultA_PFCm_2,aGP-rh,DefaultA,Pallidum_ant,right,right,5,0.022321428571428572,False,True
226,55,pGP-lh,LH_LimbicA_TempPole_4,Pallidum_post,LimbicA,left,left,5,0.022321428571428572,False,True
217,162,pHIP-lh,RH_LimbicA_TempPole_3,Hippocampus_post,LimbicA,left,right,5,0.022321428571428572,False,False
55,50,LH_LimbicA_TempPole_4,LH_LimbicB_OFC_1,LimbicA,LimbicB,left,left,5,0.022321428571428572,False,True
227,208,aGP-lh,NAc-shell-rh,Pallidum_ant,Accumbens_shell,left,right,5,0.022321428571428572,False,False
162,201,RH_LimbicA_TempPole_3,pHIP-rh,LimbicA,Hippocampus_post,right,right,5,0.022321428571428572,False,True
213,211,pPUT-rh,aGP-rh,Putamen_post,Pallidum_ant,right,right,5,0.022321428571428572,False,True
162,218,RH_LimbicA_TempPole_3,lAMY-lh,LimbicA,Amygdala_lat,right,left,5,0.022321428571428572,False,False
225,208,NAc-core-lh,NAc-shell-rh,Accumbens_core,Accumbens_shell,left,right,5,0.022321428571428572,False,False
210,218,pGP-rh,lAMY-lh,Pallidum_post,Amygdala_lat,right,left,5,0.022321428571428572,False,False
211,208,aGP-rh,NAc-shell-rh,Pallidum_ant,Accumbens_shell,right,right,5,0.022321428571428572,False,True
210,204,pGP-rh,THA-DP-rh,Pallidum_post,Thalamus_DP,right,right,5,0.022321428571428572,False,True
211,187,aGP-rh,RH_DefaultA_PFCm_2,Pallidum_ant,DefaultA,right,right,5,0.022321428571428572,False,True
201,187,pHIP-rh,RH_DefaultA_PFCm_2,Hippocampus_post,DefaultA,right,right,5,0.022321428571428572,False,True
201,162,pHIP-rh,RH_LimbicA_TempPole_3,Hippocampus_post,LimbicA,right,right,5,0.022321428571428572,False,True
208,225,NAc-shell-rh,NAc-core-lh,Accumbens_shell,Accumbens_core,right,left,5,0.022321428571428572,False,False
204,226,THA-DP-rh,pGP-lh,Thalamus_DP,Pallidum_post,right,left,5,0.022321428571428572,False,False
55,202,LH_LimbicA_TempPole_4,lAMY-rh,LimbicA,Amygdala_lat,left,right,5,0.022321428571428572,False,False
144,55,RH_SalVentAttnA_Ins_2,LH_LimbicA_TempPole_4,SalVentAttnA,LimbicA,right,left,5,0.022321428571428572,False,False
211,221,aGP-rh,THA-VP-lh,Pallidum_ant,Thalamus_VP,right,left,4,0.017857142857142856,False,False
86,187,LH_DefaultB_IPL_1,RH_DefaultA_PFCm_2,DefaultB,DefaultA,left,right,4,0.017857142857142856,False,False
220,218,THA-DP-lh,lAMY-lh,Thalamus_DP,Amygdala_lat,left,left,4,0.017857142857142856,False,True
155,187,RH_SalVentAttnB_PFCmp_1,RH_DefaultA_PFCm_2,SalVentAttnB,DefaultA,right,right,4,0.017857142857142856,False,True
40,55,LH_SalVentAttnA_Ins_1,LH_LimbicA_TempPole_4,SalVentAttnA,LimbicA,left,left,4,0.017857142857142856,False,True
190,54,RH_DefaultB_AntTemp_1,LH_LimbicA_TempPole_3,DefaultB,LimbicA,right,left,4,0.017857142857142856,False,False
227,220,aGP-lh,THA-DP-lh,Pallidum_ant,Thalamus_DP,left,left,4,0.017857142857142856,False,True
221,227,THA-VP-lh,aGP-lh,Thalamus_VP,Pallidum_ant,left,left,4,0.017857142857142856,False,True
202,55,lAMY-rh,LH_LimbicA_TempPole_4,Amygdala_lat,LimbicA,right,left,4,0.017857142857142856,False,False
