region_idx,region_name,network,hemisphere,recall_rest,recall_task,drop
0,LH_VisCent_ExStr_2,VisCent,left,0.78125,0.74,0.04125000000000001
1,LH_VisCent_ExStr_1,VisCent,left,0.8660714285714286,0.8,0.06607142857142856
2,LH_VisCent_Striate_1,VisCent,left,0.90625,0.875,0.03125
3,LH_VisCent_ExStr_3,VisCent,left,0.7857142857142857,0.73,0.055714285714285716
4,LH_VisCent_ExStr_4,VisCent,left,0.8571428571428571,0.86,-0.0028571428571428914
5,LH_VisCent_ExStr_5,VisCent,left,0.8660714285714286,0.85,0.016071428571428625
6,LH_VisPeri_ExStrInf_1,VisPeri,left,0.7544642857142857,0.725,0.02946428571428572
7,LH_VisPeri_ExStrInf_2,VisPeri,left,0.84375,0.73,0.11375000000000002
8,LH_VisPeri_ExStrInf_3,VisPeri,left,0.6205357142857143,0.6,0.020535714285714324
9,LH_VisPeri_StriCal_1,VisPeri,left,0.9107142857142857,0.9,0.010714285714285676
10,LH_VisPeri_ExStrSup_1,VisPeri,left,0.8973214285714286,0.82,0.07732142857142865
11,LH_VisPeri_ExStrSup_2,VisPeri,left,0.8839285714285714,0.9,-0.016071428571428625
12,LH_SomMotA_1,SomMotA,left,0.8080357142857143,0.765,0.04303571428571429
13,LH_SomMotA_2,SomMotA,left,0.7946428571428571,0.815,-0.02035714285714285
14,LH_SomMotA_3,SomMotA,left,0.8258928571428571,0.825,0.0008928571428571397
15,LH_SomMotA_4,SomMotA,left,0.7678571428571429,0.855,-0.08714285714285708
16,LH_SomMotA_5,SomMotA,left,0.8080357142857143,0.8,0.008035714285714257
17,LH_SomMotA_6,SomMotA,left,0.8169642857142857,0.805,0.01196428571428565
18,LH_SomMotA_7,SomMotA,left,0.9017857142857143,0.825,0.07678571428571435
19,LH_SomMotA_8,SomMotA,left,0.8660714285714286,0.815,0.051071428571428656
20,LH_SomMotB_Aud_1,SomMotB,left,0.7410714285714286,0.7,0.04107142857142865
21,LH_SomMotB_Aud_2,SomMotB,left,0.8125,0.705,0.10750000000000004
22,LH_SomMotB_S2_1,SomMotB,left,0.7678571428571429,0.65,0.11785714285714288
23,LH_SomMotB_S2_2,SomMotB,left,0.8392857142857143,0.82,0.01928571428571435
24,LH_SomMotB_Aud_3,SomMotB,left,0.7232142857142857,0.635,0.08821428571428569
25,LH_SomMotB_S2_3,SomMotB,left,0.7544642857142857,0.755,-0.000535714285714306
26,LH_SomMotB_Cent_1,SomMotB,left,0.9642857142857143,0.93,0.03428571428571425
27,LH_SomMotB_Cent_2,SomMotB,left,0.7857142857142857,0.72,0.06571428571428573
28,LH_DorsAttnA_TempOcc_1,DorsAttnA,left,0.7366071428571429,0.78,-0.04339285714285712
29,LH_DorsAttnA_TempOcc_2,DorsAttnA,left,0.7767857142857143,0.745,0.031785714285714306
30,LH_DorsAttnA_ParOcc_1,DorsAttnA,left,0.6875,0.705,-0.01749999999999996
31,LH_DorsAttnA_SPL_1,DorsAttnA,left,0.7589285714285714,0.82,-0.061071428571428554
32,LH_DorsAttnA_SPL_2,DorsAttnA,left,0.7946428571428571,0.8,-0.005357142857142949
33,LH_DorsAttnA_SPL_3,DorsAttnA,left,0.7053571428571429,0.68,0.025357142857142856
34,LH_DorsAttnB_PostC_1,DorsAttnB,left,0.7946428571428571,0.835,-0.04035714285714287
35,LH_DorsAttnB_PostC_2,DorsAttnB,left,0.8169642857142857,0.87,-0.0530357142857143
36,LH_DorsAttnB_PostC_3,DorsAttnB,left,0.7991071428571429,0.82,-0.020892857142857046
37,LH_DorsAttnB_PostC_4,DorsAttnB,left,0.8080357142857143,0.78,0.028035714285714275
38,LH_DorsAttnB_FEF_1,DorsAttnB,left,0.7232142857142857,0.75,-0.0267857142857143
39,LH_SalVentAttnA_ParOper_1,SalVentAttnA,left,0.8482142857142857,0.905,-0.05678571428571433
40,LH_SalVentAttnA_Ins_1,SalVentAttnA,left,0.6785714285714286,0.7,-0.021428571428571352
41,LH_SalVentAttnA_FrOper_1,SalVentAttnA,left,0.7098214285714286,0.745,-0.03517857142857139
42,LH_SalVentAttnA_FrOper_2,SalVentAttnA,left,0.7857142857142857,0.64,0.14571428571428569
43,LH_SalVentAttnA_ParMed_1,SalVentAttnA,left,0.8392857142857143,0.875,-0.0357142857142857
44,LH_SalVentAttnA_FrMed_1,SalVentAttnA,left,0.8705357142857143,0.82,0.05053571428571435
45,LH_SalVentAttnA_FrMed_2,SalVentAttnA,left,0.8035714285714286,0.765,0.03857142857142859
46,LH_SalVentAttnB_IPL_1,SalVentAttnB,left,0.8169642857142857,0.775,0.041964285714285676
47,LH_SalVentAttnB_PFCl_1,SalVentAttnB,left,0.7633928571428571,0.685,0.07839285714285704
48,LH_SalVentAttnB_Ins_1,SalVentAttnB,left,0.7678571428571429,0.735,0.03285714285714292
49,LH_SalVentAttnB_PFCmp_1,SalVentAttnB,left,0.8482142857142857,0.84,0.00821428571428573
50,LH_LimbicB_OFC_1,LimbicB,left,0.5758928571428571,0.525,0.05089285714285707
51,LH_LimbicB_OFC_2,LimbicB,left,0.7410714285714286,0.815,-0.07392857142857134
52,LH_LimbicA_TempPole_1,LimbicA,left,0.7053571428571429,0.625,0.0803571428571429
53,LH_LimbicA_TempPole_2,LimbicA,left,0.625,0.58,0.04500000000000004
54,LH_LimbicA_TempPole_3,LimbicA,left,0.5133928571428571,0.61,-0.09660714285714289
55,LH_LimbicA_TempPole_4,LimbicA,left,0.5133928571428571,0.515,-0.001607142857142918
56,LH_ContA_Temp_1,ContA,left,0.6785714285714286,0.7,-0.021428571428571352
57,LH_ContA_IPS_1,ContA,left,0.8214285714285714,0.85,-0.02857142857142858
58,LH_ContA_IPS_2,ContA,left,0.8303571428571429,0.825,0.005357142857142949
59,LH_ContA_IPS_3,ContA,left,0.6830357142857143,0.79,-0.10696428571428573
60,LH_ContA_PFCd_1,ContA,left,0.7633928571428571,0.76,0.0033928571428570864
61,LH_ContA_PFClv_1,ContA,left,0.7678571428571429,0.685,0.08285714285714285
62,LH_ContA_PFCl_1,ContA,left,0.7410714285714286,0.72,0.02107142857142863
63,LH_ContA_PFCl_2,ContA,left,0.7410714285714286,0.645,0.09607142857142859
64,LH_ContA_PFCl_3,ContA,left,0.6964285714285714,0.705,-0.008571428571428563
65,LH_ContA_Cingm_1,ContA,left,0.7767857142857143,0.625,0.1517857142857143
66,LH_ContB_Temp_1,ContB,left,0.7589285714285714,0.78,-0.02107142857142863
67,LH_ContB_IPL_1,ContB,left,0.7589285714285714,0.785,-0.026071428571428634
68,LH_ContB_PFCl_1,ContB,left,0.7366071428571429,0.75,-0.013392857142857095
69,LH_ContB_PFClv_1,ContB,left,0.7455357142857143,0.825,-0.07946428571428565
70,LH_ContB_PFClv_2,ContB,left,0.6919642857142857,0.68,0.01196428571428565
71,LH_ContC_pCun_1,ContC,left,0.875,0.84,0.03500000000000003
72,LH_ContC_pCun_2,ContC,left,0.8214285714285714,0.855,-0.033571428571428585
73,LH_ContC_Cingp_1,ContC,left,0.8928571428571429,0.875,0.017857142857142905
74,LH_DefaultA_IPL_1,DefaultA,left,0.8035714285714286,0.825,-0.021428571428571352
75,LH_DefaultA_PFCd_1,DefaultA,left,0.8392857142857143,0.76,0.07928571428571429
76,LH_DefaultA_pCunPCC_1,DefaultA,left,0.8616071428571429,0.885,-0.023392857142857104
77,LH_DefaultA_pCunPCC_2,DefaultA,left,0.8258928571428571,0.785,0.040892857142857064
78,LH_DefaultA_pCunPCC_3,DefaultA,left,0.8571428571428571,0.81,0.04714285714285704
79,LH_DefaultA_PFCm_1,DefaultA,left,0.7946428571428571,0.76,0.034642857142857086
80,LH_DefaultA_PFCm_2,DefaultA,left,0.7857142857142857,0.805,-0.01928571428571435
81,LH_DefaultA_PFCm_3,DefaultA,left,0.8616071428571429,0.83,0.031607142857142945
82,LH_DefaultB_Temp_1,DefaultB,left,0.7410714285714286,0.76,-0.018928571428571406
83,LH_DefaultB_Temp_2,DefaultB,left,0.6651785714285714,0.65,0.015178571428571375
84,LH_DefaultB_Temp_3,DefaultB,left,0.7946428571428571,0.61,0.1846428571428571
85,LH_DefaultB_Temp_4,DefaultB,left,0.8214285714285714,0.78,0.04142857142857137
86,LH_DefaultB_IPL_1,DefaultB,left,0.6875,0.745,-0.057499999999999996
87,LH_DefaultB_PFCd_1,DefaultB,left,0.8616071428571429,0.9,-0.03839285714285712
88,LH_DefaultB_PFCd_2,DefaultB,left,0.8214285714285714,0.895,-0.07357142857142862
89,LH_DefaultB_PFCd_3,DefaultB,left,0.7678571428571429,0.8,-0.03214285714285714
90,LH_DefaultB_PFCd_4,DefaultB,left,0.7232142857142857,0.795,-0.07178571428571434
91,LH_DefaultB_PFCv_1,DefaultB,left,0.7767857142857143,0.745,0.031785714285714306
92,LH_DefaultB_PFCv_2,DefaultB,left,0.65625,0.615,0.04125000000000001
93,LH_DefaultB_PFCv_3,DefaultB,left,0.7723214285714286,0.755,0.0173214285714286
94,LH_DefaultB_PFCv_4,DefaultB,left,0.7544642857142857,0.69,0.06446428571428575
95,LH_DefaultC_IPL_1,DefaultC,left,0.7991071428571429,0.805,-0.005892857142857144
96,LH_DefaultC_Rsp_1,DefaultC,left,0.9107142857142857,0.945,-0.03428571428571425
97,LH_DefaultC_PHC_1,DefaultC,left,0.7857142857142857,0.785,0.0007142857142856673
98,LH_TempPar_1,TempPar,left,0.7544642857142857,0.675,0.07946428571428565
99,LH_TempPar_2,TempPar,left,0.6205357142857143,0.625,-0.004464285714285698
100,RH_VisCent_ExStr_1,VisCent,right,0.8392857142857143,0.81,0.02928571428571425
101,RH_VisCent_ExStr_2,VisCent,right,0.7767857142857143,0.69,0.08678571428571435
102,RH_VisCent_Striate_1,VisCent,right,0.8705357142857143,0.835,0.03553571428571434
103,RH_VisCent_ExStr_3,VisCent,right,0.7633928571428571,0.785,-0.021607142857142936
104,RH_VisCent_ExStr_4,VisCent,right,0.8080357142857143,0.805,0.0030357142857142527
105,RH_VisCent_ExStr_5,VisCent,right,0.90625,0.88,0.026249999999999996
106,RH_VisPeri_ExStrInf_1,VisPeri,right,0.8839285714285714,0.745,0.1389285714285714
107,RH_VisPeri_ExStrInf_2,VisPeri,right,0.7857142857142857,0.695,0.09071428571428575
108,RH_VisPeri_StriCal_1,VisPeri,right,0.9017857142857143,0.93,-0.028214285714285747
109,RH_VisPeri_ExStrSup_1,VisPeri,right,0.8571428571428571,0.71,0.14714285714285713
110,RH_VisPeri_ExStrSup_2,VisPeri,right,0.8839285714285714,0.855,0.028928571428571415
111,RH_VisPeri_ExStrSup_3,VisPeri,right,0.8258928571428571,0.795,0.030892857142857055
112,RH_SomMotA_1,SomMotA,right,0.7991071428571429,0.865,-0.06589285714285709
113,RH_SomMotA_2,SomMotA,right,0.7946428571428571,0.86,-0.06535714285714289
114,RH_SomMotA_3,SomMotA,right,0.7633928571428571,0.76,0.0033928571428570864
115,RH_SomMotA_4,SomMotA,right,0.8348214285714286,0.865,-0.030178571428571388
116,RH_SomMotA_5,SomMotA,right,0.78125,0.835,-0.053749999999999964
117,RH_SomMotA_6,SomMotA,right,0.8258928571428571,0.895,-0.06910714285714292
118,RH_SomMotA_7,SomMotA,right,0.7321428571428571,0.78,-0.04785714285714293
119,RH_SomMotA_8,SomMotA,right,0.7544642857142857,0.82,-0.06553571428571425
120,RH_SomMotA_9,SomMotA,right,0.7678571428571429,0.8,-0.03214285714285714
121,RH_SomMotA_10,SomMotA,right,0.8705357142857143,0.84,0.030535714285714333
122,RH_SomMotA_11,SomMotA,right,0.8839285714285714,0.85,0.03392857142857142
123,RH_SomMotB_Aud_1,SomMotB,right,0.8125,0.715,0.09750000000000003
124,RH_SomMotB_Aud_2,SomMotB,right,0.7901785714285714,0.7,0.09017857142857144
125,RH_SomMotB_S2_1,SomMotB,right,0.7678571428571429,0.655,0.11285714285714288
126,RH_SomMotB_S2_2,SomMotB,right,0.7767857142857143,0.62,0.1567857142857143
127,RH_SomMotB_S2_3,SomMotB,right,0.7991071428571429,0.76,0.039107142857142896
128,RH_SomMotB_S2_4,SomMotB,right,0.7901785714285714,0.715,0.07517857142857143
129,RH_SomMotB_Cent_1,SomMotB,right,0.9419642857142857,0.94,0.0019642857142857517
130,RH_DorsAttnA_TempOcc_1,DorsAttnA,right,0.7857142857142857,0.845,-0.059285714285714275
131,RH_DorsAttnA_ParOcc_1,DorsAttnA,right,0.6964285714285714,0.735,-0.03857142857142859
132,RH_DorsAttnA_SPL_1,DorsAttnA,right,0.7991071428571429,0.82,-0.020892857142857046
133,RH_DorsAttnA_SPL_2,DorsAttnA,right,0.78125,0.775,0.006249999999999978
134,RH_DorsAttnA_SPL_3,DorsAttnA,right,0.7633928571428571,0.645,0.11839285714285708
135,RH_DorsAttnA_SPL_4,DorsAttnA,right,0.8125,0.73,0.08250000000000002
136,RH_DorsAttnB_PostC_1,DorsAttnB,right,0.8080357142857143,0.75,0.0580357142857143
137,RH_DorsAttnB_PostC_2,DorsAttnB,right,0.7857142857142857,0.86,-0.07428571428571429
138,RH_DorsAttnB_PostC_3,DorsAttnB,right,0.8616071428571429,0.785,0.07660714285714287
139,RH_DorsAttnB_PostC_4,DorsAttnB,right,0.8526785714285714,0.86,-0.00732142857142859
140,RH_DorsAttnB_FEF_1,DorsAttnB,right,0.71875,0.635,0.08374999999999999
141,RH_SalVentAttnA_ParOper_1,SalVentAttnA,right,0.8616071428571429,0.875,-0.013392857142857095
142,RH_SalVentAttnA_PrC_1,SalVentAttnA,right,0.625,0.48,0.14500000000000002
143,RH_SalVentAttnA_Ins_1,SalVentAttnA,right,0.5982142857142857,0.57,0.028214285714285747
144,RH_SalVentAttnA_Ins_2,SalVentAttnA,right,0.7366071428571429,0.715,0.021607142857142936
145,RH_SalVentAttnA_FrOper_1,SalVentAttnA,right,0.8616071428571429,0.76,0.1016071428571429
146,RH_SalVentAttnA_FrMed_1,SalVentAttnA,right,0.8705357142857143,0.82,0.05053571428571435
147,RH_SalVentAttnA_ParMed_1,SalVentAttnA,right,0.7008928571428571,0.58,0.12089285714285714
148,RH_SalVentAttnA_ParMed_2,SalVentAttnA,right,0.7946428571428571,0.875,-0.0803571428571429
149,RH_SalVentAttnA_FrMed_2,SalVentAttnA,right,0.8348214285714286,0.78,0.054821428571428577
150,RH_SalVentAttnB_IPL_1,SalVentAttnB,right,0.7589285714285714,0.775,-0.016071428571428625
151,RH_SalVentAttnB_PFClv_1,SalVentAttnB,right,0.7991071428571429,0.72,0.07910714285714293
152,RH_SalVentAttnB_PFCl_1,SalVentAttnB,right,0.8035714285714286,0.8,0.0035714285714285587
153,RH_SalVentAttnB_Ins_1,SalVentAttnB,right,0.6696428571428571,0.75,-0.0803571428571429
154,RH_SalVentAttnB_Ins_2,SalVentAttnB,right,0.7991071428571429,0.78,0.019107142857142878
155,RH_SalVentAttnB_PFCmp_1,SalVentAttnB,right,0.8169642857142857,0.8,0.016964285714285654
156,RH_LimbicB_OFC_1,LimbicB,right,0.75,0.755,-0.0050000000000000044
157,RH_LimbicB_OFC_2,LimbicB,right,0.7678571428571429,0.735,0.03285714285714292
158,RH_LimbicB_OFC_3,LimbicB,right,0.8839285714285714,0.845,0.038928571428571423
159,RH_LimbicB_OFC_4,LimbicB,right,0.7544642857142857,0.665,0.08946428571428566
160,RH_LimbicA_TempPole_1,LimbicA,right,0.6339285714285714,0.67,-0.03607142857142864
161,RH_LimbicA_TempPole_2,LimbicA,right,0.5669642857142857,0.545,0.02196428571428566
162,RH_LimbicA_TempPole_3,LimbicA,right,0.5758928571428571,0.515,0.06089285714285708
163,RH_LimbicA_TempPole_4,LimbicA,right,0.6696428571428571,0.71,-0.04035714285714287
164,RH_ContA_IPS_1,ContA,right,0.8303571428571429,0.8,0.03035714285714286
165,RH_ContA_IPS_2,ContA,right,0.8348214285714286,0.78,0.054821428571428577
166,RH_ContA_PFCd_1,ContA,right,0.7589285714285714,0.665,0.09392857142857136
167,RH_ContA_PFCl_1,ContA,right,0.7991071428571429,0.595,0.20410714285714293
168,RH_ContA_PFCl_2,ContA,right,0.8258928571428571,0.815,0.010892857142857149
169,RH_ContA_Cingm_1,ContA,right,0.7991071428571429,0.655,0.14410714285714288
170,RH_ContB_Temp_1,ContB,right,0.7678571428571429,0.65,0.11785714285714288
171,RH_ContB_Temp_2,ContB,right,0.7053571428571429,0.76,-0.054642857142857104
172,RH_ContB_IPL_1,ContB,right,0.8080357142857143,0.81,-0.0019642857142857517
173,RH_ContB_IPL_2,ContB,right,0.7946428571428571,0.83,-0.035357142857142865
174,RH_ContB_PFCld_1,ContB,right,0.7232142857142857,0.56,0.16321428571428565
175,RH_ContB_PFCld_2,ContB,right,0.7589285714285714,0.785,-0.026071428571428634
176,RH_ContB_PFClv_1,ContB,right,0.75,0.815,-0.06499999999999995
177,RH_ContB_PFClv_2,ContB,right,0.7455357142857143,0.77,-0.024464285714285716
178,RH_ContB_PFCmp_1,ContB,right,0.7767857142857143,0.885,-0.10821428571428571
179,RH_ContB_PFCld_3,ContB,right,0.8035714285714286,0.72,0.08357142857142863
180,RH_ContC_pCun_1,ContC,right,0.90625,0.865,0.04125000000000001
181,RH_ContC_pCun_2,ContC,right,0.8794642857142857,0.72,0.15946428571428573
182,RH_ContC_Cingp_1,ContC,right,0.8794642857142857,0.85,0.02946428571428572
183,RH_DefaultA_IPL_1,DefaultA,right,0.78125,0.75,0.03125
184,RH_DefaultA_PFCd_1,DefaultA,right,0.7544642857142857,0.64,0.11446428571428569
185,RH_DefaultA_pCunPCC_1,DefaultA,right,0.9107142857142857,0.89,0.020714285714285685
186,RH_DefaultA_PFCm_1,DefaultA,right,0.8214285714285714,0.795,0.026428571428571357
187,RH_DefaultA_PFCm_2,DefaultA,right,0.3392857142857143,0.36,-0.020714285714285685
188,RH_DefaultA_PFCm_3,DefaultA,right,0.8571428571428571,0.825,0.03214285714285714
189,RH_DefaultB_Temp_1,DefaultB,right,0.6964285714285714,0.735,-0.03857142857142859
190,RH_DefaultB_AntTemp_1,DefaultB,right,0.7276785714285714,0.65,0.07767857142857137
191,RH_DefaultB_PFCd_1,DefaultB,right,0.8080357142857143,0.825,-0.016964285714285654
192,RH_DefaultB_PFCv_1,DefaultB,right,0.8080357142857143,0.81,-0.0019642857142857517
193,RH_DefaultC_IPL_1,DefaultC,right,0.7946428571428571,0.715,0.07964285714285713
194,RH_DefaultC_Rsp_1,DefaultC,right,0.9151785714285714,0.915,0.00017857142857136132
195,RH_DefaultC_PHC_1,DefaultC,right,0.8303571428571429,0.82,0.010357142857142954
196,RH_TempPar_1,TempPar,right,0.7232142857142857,0.635,0.08821428571428569
197,RH_TempPar_2,TempPar,right,0.7008928571428571,0.62,0.0808928571428571
198,RH_TempPar_3,TempPar,right,0.71875,0.78,-0.06125000000000003
199,RH_TempPar_4,TempPar,right,0.7098214285714286,0.765,-0.05517857142857141
200,aHIP-rh,Hippocampus_ant,right,0.7142857142857143,0.6,0.11428571428571432
201,pHIP-rh,Hippocampus_post,right,0.6607142857142857,0.525,0.13571428571428568
202,lAMY-rh,Amygdala_lat,right,0.5133928571428571,0.5,0.013392857142857095
203,mAMY-rh,Amygdala_med,right,0.6205357142857143,0.61,0.010535714285714315
204,THA-DP-rh,Thalamus_DP,right,0.5758928571428571,0.53,0.04589285714285707
205,THA-VP-rh,Thalamus_VP,right,0.7008928571428571,0.565,0.13589285714285715
206,THA-VA-rh,Thalamus_VA,right,0.8035714285714286,0.72,0.08357142857142863
207,THA-DA-rh,Thalamus_DA,right,0.7901785714285714,0.735,0.05517857142857141
208,NAc-shell-rh,Accumbens_shell,right,0.5803571428571429,0.495,0.08535714285714291
209,NAc-core-rh,Accumbens_core,right,0.6339285714285714,0.56,0.07392857142857134
210,pGP-rh,Pallidum_post,right,0.3125,0.28,0.03249999999999997
211,aGP-rh,Pallidum_ant,right,0.29017857142857145,0.155,0.13517857142857145
212,aPUT-rh,Putamen_ant,right,0.8303571428571429,0.79,0.04035714285714287
213,pPUT-rh,Putamen_post,right,0.8303571428571429,0.725,0.10535714285714293
214,aCAU-rh,Caudate_ant,right,0.7455357142857143,0.725,0.020535714285714324
215,pCAU-rh,Caudate_post,right,0.7321428571428571,0.76,-0.027857142857142914
216,aHIP-lh,Hippocampus_ant,left,0.6830357142857143,0.645,0.038035714285714284
217,pHIP-lh,Hippocampus_post,left,0.6607142857142857,0.505,0.1557142857142857
218,lAMY-lh,Amygdala_lat,left,0.5044642857142857,0.525,-0.020535714285714324
219,mAMY-lh,Amygdala_med,left,0.6205357142857143,0.58,0.04053571428571434
220,THA-DP-lh,Thalamus_DP,left,0.6071428571428571,0.575,0.03214285714285714
221,THA-VP-lh,Thalamus_VP,left,0.6607142857142857,0.595,0.06571428571428573
222,THA-VA-lh,Thalamus_VA,left,0.7366071428571429,0.695,0.041607142857142954
223,THA-DA-lh,Thalamus_DA,left,0.7455357142857143,0.76,-0.014464285714285707
224,NAc-shell-lh,Accumbens_shell,left,0.6428571428571429,0.57,0.07285714285714295
225,NAc-core-lh,Accumbens_core,left,0.6473214285714286,0.605,0.04232142857142862
226,pGP-lh,Pallidum_post,left,0.38839285714285715,0.325,0.06339285714285714
227,aGP-lh,Pallidum_ant,left,0.2544642857142857,0.105,0.14946428571428572
228,aPUT-lh,Putamen_ant,left,0.84375,0.68,0.16374999999999995
229,pPUT-lh,Putamen_post,left,0.75,0.725,0.025000000000000022
230,aCAU-lh,Caudate_ant,left,0.7410714285714286,0.755,-0.013928571428571401
231,pCAU-lh,Caudate_post,left,0.7455357142857143,0.71,0.03553571428571434
