network,accuracy,precision,recall,f1_score,n_positive_samples,n_total_samples
ContC,0.9978031352627258,0.9817045527385058,0.5,0.6598564978981052,1344,51968
Putamen_ant,0.9975561884236452,0.9851366229606646,0.43973214285714285,0.6079339220897997,448,51968
VisPeri,0.9975225138546798,0.980543681614769,0.4304315476190476,0.5818752466219803,2688,51968
VisCent,0.9974375256568145,0.9647463016197669,0.4166666666666667,0.577178677151978,2688,51968
DefaultC,0.9974375256568145,0.9870331342934082,0.4099702380952381,0.5687265930140658,1344,51968
DefaultA,0.997308783427164,0.9913078812477927,0.3788265306122449,0.5320490963440216,3136,51968
SomMotB,0.9971610734811166,0.978345741285832,0.34851190476190474,0.5014081089578721,3360,51968
SalVentAttnB,0.997138623768473,0.9906269747083212,0.3392857142857143,0.497126108091826,2240,51968
DorsAttnB,0.9971193811576354,0.9873612184587406,0.33482142857142855,0.4964438712885391,2240,51968
SomMotA,0.997097404070521,0.9797744173653299,0.33270676691729323,0.49125339997895384,4256,51968
Thalamus_VA,0.9969692887931034,0.941675503711559,0.3169642857142857,0.4736219857681412,448,51968
DefaultB,0.997037769849319,0.9738029392875454,0.319327731092437,0.472967999784136,3808,51968
DorsAttnA,0.997030223727422,0.9826287641471918,0.3165922619047619,0.47282780691949605,2688,51968
Caudate_ant,0.9969981527093597,0.979133545310016,0.31026785714285715,0.4710627930495541,448,51968
SalVentAttnA,0.9970570832050493,0.9779915357228038,0.3208705357142857,0.4700887908199504,3584,51968
ContB,0.9970109811165846,0.9791050046242609,0.3119047619047619,0.468600625820319,3360,51968
ContA,0.9969668834667488,0.9611962571954038,0.3071986607142857,0.4602259925386849,3584,51968
Putamen_post,0.9968634544334976,0.953853046594982,0.2857142857142857,0.43928368928368927,448,51968
Caudate_post,0.9967383774630543,0.8911691542288557,0.2767857142857143,0.4222856877496053,448,51968
Thalamus_DA,0.9966998922413793,0.8633333333333333,0.27901785714285715,0.42164357381748685,448,51968
LimbicB,0.9967063064449918,0.9253999069492028,0.25148809523809523,0.3833288583502042,1344,51968
TempPar,0.9965587797619048,0.9371483043594587,0.21577380952380953,0.34677233287605974,1344,51968
Hippocampus_ant,0.9965459513546798,0.9370015948963317,0.21205357142857142,0.34498326870983165,448,51968
Thalamus_VP,0.9962476908866995,0.8276485788113694,0.16294642857142855,0.27226654414324103,448,51968
Amygdala_med,0.9962092056650247,0.8603104212860311,0.14285714285714285,0.2446810072681888,448,51968
Accumbens_core,0.9962092056650246,0.9142857142857144,0.13392857142857145,0.23353773942009237,448,51968
LimbicA,0.9960889393472907,0.7940466371844741,0.12220982142857142,0.20978585727603322,1792,51968
Accumbens_shell,0.9959398091133005,0.7183257918552036,0.09598214285714285,0.1690232558139535,448,51968
Hippocampus_post,0.9959686730295567,0.8723684210526316,0.07589285714285714,0.13963097888416648,448,51968
Thalamus_DP,0.995853217364532,0.6754385964912281,0.07366071428571429,0.13223809986714624,448,51968
Amygdala_lat,0.9957377616995073,0.5992063492063493,0.03125,0.05927435351823132,448,51968
Pallidum_post,0.9956800338669951,0.5,0.002232142857142857,0.0044444444444444444,448,51968
Pallidum_ant,0.9956800338669951,0.0,0.0,0.0,448,51968
