region_idx,region_name,network,accuracy,precision,recall,f1_score,n_positive_samples,n_total_samples
0,LH_VisCent_ExStr_2,VisCent,0.9963246613300493,0.8,0.19642857142857142,0.3154121863799283,224,51968
1,LH_VisCent_ExStr_1,VisCent,0.9977293719211823,1.0,0.4732142857142857,0.6424242424242425,224,51968
2,LH_VisCent_Striate_1,VisCent,0.9977101293103449,0.972972972972973,0.48214285714285715,0.6447761194029851,224,51968
3,LH_VisCent_ExStr_3,VisCent,0.9969981527093597,0.8953488372093024,0.34375,0.4967741935483871,224,51968
4,LH_VisCent_ExStr_4,VisCent,0.9977293719211823,1.0,0.4732142857142857,0.6424242424242425,224,51968
5,LH_VisCent_ExStr_5,VisCent,0.9977486145320197,1.0,0.47767857142857145,0.6465256797583081,224,51968
6,LH_VisPeri_ExStrInf_1,VisPeri,0.9968249692118226,0.9538461538461539,0.2767857142857143,0.4290657439446367,224,51968
7,LH_VisPeri_ExStrInf_2,VisPeri,0.9970943657635468,0.974025974025974,0.33482142857142855,0.4983388704318937,224,51968
8,LH_VisPeri_ExStrInf_3,VisPeri,0.99609375,0.92,0.10267857142857142,0.18473895582329317,224,51968
9,LH_VisPeri_StriCal_1,VisPeri,0.9985760467980296,1.0,0.6696428571428571,0.8021390374331551,224,51968
10,LH_VisPeri_ExStrSup_1,VisPeri,0.9973252770935961,0.9885057471264368,0.38392857142857145,0.5530546623794212,224,51968
11,LH_VisPeri_ExStrSup_2,VisPeri,0.9979217980295566,1.0,0.5178571428571429,0.6823529411764706,224,51968
12,LH_SomMotA_1,SomMotA,0.9971520935960592,1.0,0.3392857142857143,0.5066666666666667,224,51968
13,LH_SomMotA_2,SomMotA,0.9967672413793104,0.9516129032258065,0.26339285714285715,0.4125874125874126,224,51968
14,LH_SomMotA_3,SomMotA,0.9973252770935961,0.9885057471264368,0.38392857142857145,0.5530546623794212,224,51968
15,LH_SomMotA_4,SomMotA,0.996882697044335,0.9696969696969697,0.2857142857142857,0.4413793103448276,224,51968
16,LH_SomMotA_5,SomMotA,0.9970558805418719,1.0,0.3169642857142857,0.48135593220338985,224,51968
17,LH_SomMotA_6,SomMotA,0.9970558805418719,0.9863013698630136,0.32142857142857145,0.48484848484848486,224,51968
18,LH_SomMotA_7,SomMotA,0.9978833128078818,0.9913793103448276,0.5133928571428571,0.6764705882352942,224,51968
19,LH_SomMotA_8,SomMotA,0.9971328509852216,0.9518072289156626,0.35267857142857145,0.5146579804560261,224,51968
20,LH_SomMotB_Aud_1,SomMotB,0.9968442118226601,0.9545454545454546,0.28125,0.43448275862068964,224,51968
21,LH_SomMotB_Aud_2,SomMotB,0.9974214901477833,0.9787234042553191,0.4107142857142857,0.5786163522012578,224,51968
22,LH_SomMotB_S2_1,SomMotB,0.9965363300492611,1.0,0.19642857142857142,0.3283582089552239,224,51968
23,LH_SomMotB_S2_2,SomMotB,0.9975561884236454,1.0,0.4330357142857143,0.6043613707165109,224,51968
24,LH_SomMotB_Aud_3,SomMotB,0.9966133004926109,0.98,0.21875,0.35766423357664234,224,51968
25,LH_SomMotB_S2_3,SomMotB,0.9969789100985221,1.0,0.29910714285714285,0.46048109965635736,224,51968
26,LH_SomMotB_Cent_1,SomMotB,0.998595289408867,0.9934640522875817,0.6785714285714286,0.8063660477453581,224,51968
27,LH_SomMotB_Cent_2,SomMotB,0.9966325431034483,0.9298245614035088,0.23660714285714285,0.37722419928825623,224,51968
28,LH_DorsAttnA_TempOcc_1,DorsAttnA,0.9970366379310345,1.0,0.3125,0.47619047619047616,224,51968
29,LH_DorsAttnA_TempOcc_2,DorsAttnA,0.9970366379310345,0.9605263157894737,0.32589285714285715,0.4866666666666667,224,51968
30,LH_DorsAttnA_ParOcc_1,DorsAttnA,0.9963439039408867,1.0,0.15178571428571427,0.26356589147286824,224,51968
31,LH_DorsAttnA_SPL_1,DorsAttnA,0.9971136083743842,0.9868421052631579,0.33482142857142855,0.5,224,51968
32,LH_DorsAttnA_SPL_2,DorsAttnA,0.9975946736453202,1.0,0.4419642857142857,0.6130030959752322,224,51968
