region_idx,region_name,network,hemisphere,recall,n_samples
0,LH_VisCent_ExStr_2,VisCent,left,0.78125,224
1,LH_VisCent_ExStr_1,VisCent,left,0.8660714285714286,224
2,LH_VisCent_Striate_1,VisCent,left,0.90625,224
3,LH_VisCent_ExStr_3,VisCent,left,0.7857142857142857,224
4,LH_VisCent_ExStr_4,VisCent,left,0.8571428571428571,224
5,LH_VisCent_ExStr_5,VisCent,left,0.8660714285714286,224
6,LH_VisPeri_ExStrInf_1,VisPeri,left,0.7544642857142857,224
7,LH_VisPeri_ExStrInf_2,VisPeri,left,0.84375,224
8,LH_VisPeri_ExStrInf_3,VisPeri,left,0.6205357142857143,224
9,LH_VisPeri_StriCal_1,VisPeri,left,0.9107142857142857,224
10,LH_VisPeri_ExStrSup_1,VisPeri,left,0.8973214285714286,224
11,LH_VisPeri_ExStrSup_2,VisPeri,left,0.8839285714285714,224
12,LH_SomMotA_1,SomMotA,left,0.8080357142857143,224
13,LH_SomMotA_2,SomMotA,left,0.7946428571428571,224
14,LH_SomMotA_3,SomMotA,left,0.8258928571428571,224
15,LH_SomMotA_4,SomMotA,left,0.7678571428571429,224
16,LH_SomMotA_5,SomMotA,left,0.8080357142857143,224
17,LH_SomMotA_6,SomMotA,left,0.8169642857142857,224
18,LH_SomMotA_7,SomMotA,left,0.9017857142857143,224
19,LH_SomMotA_8,SomMotA,left,0.8660714285714286,224
20,LH_SomMotB_Aud_1,SomMotB,left,0.7410714285714286,224
21,LH_SomMotB_Aud_2,SomMotB,left,0.8125,224
22,LH_SomMotB_S2_1,SomMotB,left,0.7678571428571429,224
23,LH_SomMotB_S2_2,SomMotB,left,0.8392857142857143,224
24,LH_SomMotB_Aud_3,SomMotB,left,0.7232142857142857,224
25,LH_SomMotB_S2_3,SomMotB,left,0.7544642857142857,224
26,LH_SomMotB_Cent_1,SomMotB,left,0.9642857142857143,224
27,LH_SomMotB_Cent_2,SomMotB,left,0.7857142857142857,224
28,LH_DorsAttnA_TempOcc_1,DorsAttnA,left,0.7366071428571429,224
29,LH_DorsAttnA_TempOcc_2,DorsAttnA,left,0.7767857142857143,224
30,LH_DorsAttnA_ParOcc_1,DorsAttnA,left,0.6875,224
