network,accuracy,n_regions,n_samples
ContC,0.9427083333333334,6,1344
VisCent,0.9386160714285714,12,2688
VisPeri,0.9378720238095238,12,2688
Putamen_ant,0.9330357142857143,2,448
DefaultC,0.921875,6,1344
Caudate_ant,0.9084821428571429,2,448
SomMotA,0.9067199248120301,19,4256
SomMotB,0.9056547619047619,15,3360
DorsAttnB,0.8870535714285714,10,2240
DorsAttnA,0.8861607142857143,12,2688
DefaultA,0.8810586734693877,14,3136
Caudate_post,0.8772321428571429,2,448
Putamen_post,0.8772321428571429,2,448
ContA,0.8758370535714286,16,3584
ContB,0.8726190476190476,15,3360
DefaultB,0.8707983193277311,17,3808
SalVentAttnB,0.86875,10,2240
Thalamus_VA,0.8683035714285714,2,448
Hippocampus_ant,0.8638392857142857,2,448
SalVentAttnA,0.8624441964285714,16,3584
LimbicB,0.8392857142857143,6,1344
Thalamus_DA,0.8348214285714286,2,448
TempPar,0.8333333333333334,6,1344
Accumbens_core,0.8191964285714286,2,448
Accumbens_shell,0.7946428571428571,2,448
Amygdala_med,0.7790178571428571,2,448
Hippocampus_post,0.7589285714285714,2,448
LimbicA,0.74609375,8,1792
Thalamus_VP,0.7410714285714286,2,448
Amygdala_lat,0.7120535714285714,2,448
Thalamus_DP,0.6986607142857143,2,448
Pallidum_post,0.48214285714285715,2,448
Pallidum_ant,0.453125,2,448
