region_idx,region_name,network,hemisphere
0,LH_VisCent_ExStr_2,VisCent,left
1,LH_VisCent_ExStr_1,VisCent,left
2,LH_VisCent_Striate_1,VisCent,left
3,LH_VisCent_ExStr_3,VisCent,left
4,LH_VisCent_ExStr_4,VisCent,left
5,LH_VisCent_ExStr_5,VisCent,left
6,LH_VisPeri_ExStrInf_1,VisPeri,left
7,LH_VisPeri_ExStrInf_2,VisPeri,left
8,LH_VisPeri_ExStrInf_3,VisPeri,left
9,LH_VisPeri_StriCal_1,VisPeri,left
10,LH_VisPeri_ExStrSup_1,VisPeri,left
11,LH_VisPeri_ExStrSup_2,VisPeri,left
12,LH_SomMotA_1,SomMotA,left
13,LH_SomMotA_2,SomMotA,left
14,LH_SomMotA_3,SomMotA,left
15,LH_SomMotA_4,SomMotA,left
16,LH_SomMotA_5,SomMotA,left
17,LH_SomMotA_6,SomMotA,left
18,LH_SomMotA_7,SomMotA,left
19,LH_SomMotA_8,SomMotA,left
20,LH_SomMotB_Aud_1,SomMotB,left
21,LH_SomMotB_Aud_2,SomMotB,left
22,LH_SomMotB_S2_1,SomMotB,left
23,LH_SomMotB_S2_2,SomMotB,left
24,LH_SomMotB_Aud_3,SomMotB,left
25,LH_SomMotB_S2_3,SomMotB,left
26,LH_SomMotB_Cent_1,SomMotB,left
27,LH_SomMotB_Cent_2,SomMotB,left
28,LH_DorsAttnA_TempOcc_1,DorsAttnA,left
29,LH_DorsAttnA_TempOcc_2,DorsAttnA,left
30,LH_DorsAttnA_ParOcc_1,DorsAttnA,left
31,LH_DorsAttnA_SPL_1,DorsAttnA,left
32,LH_DorsAttnA_SPL_2,DorsAttnA,left
33,LH_DorsAttnA_SPL_3,DorsAttnA,left
34,LH_DorsAttnB_PostC_1,DorsAttnB,left
35,LH_DorsAttnB_PostC_2,DorsAttnB,left
36,LH_DorsAttnB_PostC_3,DorsAttnB,left
37,LH_DorsAttnB_PostC_4,DorsAttnB,left
38,LH_DorsAttnB_FEF_1,DorsAttnB,left
39,LH_SalVentAttnA_ParOper_1,SalVentAttnA,left
40,LH_SalVentAttnA_Ins_1,SalVentAttnA,left
41,LH_SalVentAttnA_FrOper_1,SalVentAttnA,left
42,LH_SalVentAttnA_FrOper_2,SalVentAttnA,left
43,LH_SalVentAttnA_ParMed_1,SalVentAttnA,left
44,LH_SalVentAttnA_FrMed_1,SalVentAttnA,left
45,LH_SalVentAttnA_FrMed_2,SalVentAttnA,left
46,LH_SalVentAttnB_IPL_1,SalVentAttnB,left
47,LH_SalVentAttnB_PFCl_1,SalVentAttnB,left
48,LH_SalVentAttnB_Ins_1,SalVentAttnB,left
49,LH_SalVentAttnB_PFCmp_1,SalVentAttnB,left
50,LH_LimbicB_OFC_1,LimbicB,left
51,LH_LimbicB_OFC_2,LimbicB,left
52,LH_LimbicA_TempPole_1,LimbicA,left
53,LH_LimbicA_TempPole_2,LimbicA,left
54,LH_LimbicA_TempPole_3,LimbicA,left
55,LH_LimbicA_TempPole_4,LimbicA,left
56,LH_ContA_Temp_1,ContA,left
57,LH_ContA_IPS_1,ContA,left
58,LH_ContA_IPS_2,ContA,left
59,LH_ContA_IPS_3,ContA,left
60,LH_ContA_PFCd_1,ContA,left
61,LH_ContA_PFClv_1,ContA,left
62,LH_ContA_PFCl_1,ContA,left
63,LH_ContA_PFCl_2,ContA,left
64,LH_ContA_PFCl_3,ContA,left
65,LH_ContA_Cingm_1,ContA,left
66,LH_ContB_Temp_1,ContB,left
67,LH_ContB_IPL_1,ContB,left
68,LH_ContB_PFCl_1,ContB,left
69,LH_ContB_PFClv_1,ContB,left
70,LH_ContB_PFClv_2,ContB,left
71,LH_ContC_pCun_1,ContC,left
72,LH_ContC_pCun_2,ContC,left
73,LH_ContC_Cingp_1,ContC,left
74,LH_DefaultA_IPL_1,DefaultA,left
75,LH_DefaultA_PFCd_1,DefaultA,left
76,LH_DefaultA_pCunPCC_1,DefaultA,left
77,LH_DefaultA_pCunPCC_2,DefaultA,left
78,LH_DefaultA_pCunPCC_3,DefaultA,left
79,LH_DefaultA_PFCm_1,DefaultA,left
80,LH_DefaultA_PFCm_2,DefaultA,left
81,LH_DefaultA_PFCm_3,DefaultA,left
82,LH_DefaultB_Temp_1,DefaultB,left
