network,accuracy,n_regions,n_samples
ContC,0.9940476190476191,6,1344
VisCent,0.9806547619047619,12,2688
Putamen_ant,0.9754464285714286,2,448
SomMotA,0.9706296992481203,19,4256
VisPeri,0.9702380952380952,12,2688
DefaultC,0.96875,6,1344
Caudate_ant,0.9665178571428571,2,448
SomMotB,0.9642857142857143,15,3360
DorsAttnB,0.9629464285714285,10,2240
DorsAttnA,0.9568452380952381,12,2688
SalVentAttnB,0.9566964285714286,10,2240
Putamen_post,0.9508928571428571,2,448
DefaultA,0.9486607142857143,14,3136
Thalamus_VA,0.9486607142857143,2,448
Caudate_post,0.9486607142857143,2,448
ContB,0.9485119047619047,15,3360
DefaultB,0.9477415966386554,17,3808
ContA,0.9447544642857143,16,3584
SalVentAttnA,0.9400111607142857,16,3584
LimbicB,0.921875,6,1344
Hippocampus_ant,0.9151785714285714,2,448
Thalamus_DA,0.9107142857142857,2,448
TempPar,0.8950892857142857,6,1344
Accumbens_core,0.8772321428571429,2,448
Amygdala_med,0.8459821428571429,2,448
Accumbens_shell,0.8325892857142857,2,448
Thalamus_VP,0.8236607142857143,2,448
Hippocampus_post,0.8147321428571429,2,448
LimbicA,0.8046875,8,1792
Thalamus_DP,0.7410714285714286,2,448
Amygdala_lat,0.7321428571428571,2,448
Pallidum_post,0.45089285714285715,2,448
Pallidum_ant,0.39955357142857145,2,448
