feature,left_importance,right_importance,importance_diff
connection_to_RH_VisPeri_ExStrSup_1,0.0,0.017056352,0.017056352
connection_to_LH_VisPeri_StriCal_1,0.01409898,0.0,0.01409898
connection_to_LH_VisCent_ExStr_5,0.01353995,0.0,0.01353995
connection_to_RH_VisCent_ExStr_5,0.0,0.013171938,0.013171938
connection_to_LH_LimbicA_TempPole_4,0.0129605085,0.0,0.0129605085
connection_to_LH_DefaultB_Temp_3,0.01257728,0.0,0.01257728
connection_to_LH_DefaultA_pCunPCC_1,0.01253764,0.0,0.01253764
connection_to_LH_VisPeri_ExStrSup_2,0.012127931,0.0,0.012127931
connection_to_RH_VisPeri_StriCal_1,0.0,0.011657737,0.011657737
connection_to_LH_DefaultB_PFCd_1,0.011627022,0.0,0.011627022
connection_to_LH_ContA_IPS_3,0.0115188705,0.0,0.0115188705
connection_to_RH_ContA_Cingm_1,0.0,0.0113712065,0.0113712065
connection_to_pPUT-lh,0.011226217,0.0,0.011226217
connection_to_LH_VisCent_ExStr_2,0.0110997325,0.0,0.0110997325
connection_to_pPUT-rh,0.0,0.011011307,0.011011307
connection_to_RH_ContB_Temp_2,0.0,0.010990399,0.010990399
connection_to_THA-VA-rh,0.0,0.010782751,0.010782751
connection_to_RH_VisCent_ExStr_1,0.0,0.010766196,0.010766196
connection_to_aGP-rh,0.0,0.010755502,0.010755502
connection_to_RH_VisPeri_ExStrInf_1,0.0,0.010723881,0.010723881
connection_to_RH_SomMotB_Aud_2,0.0,0.010709216,0.010709216
connection_to_LH_ContB_PFCl_1,0.010691331,0.0,0.010691331
connection_to_pGP-rh,0.0,0.0106899105,0.0106899105
connection_to_aGP-lh,0.010641753,0.0,0.010641753
connection_to_LH_ContA_Cingm_1,0.010580969,0.0,0.010580969
connection_to_THA-VA-lh,0.010553449,0.0,0.010553449
connection_to_RH_SomMotA_4,0.0,0.010455228,0.010455228
connection_to_LH_ContC_Cingp_1,0.01037929,0.0,0.01037929
connection_to_RH_SomMotB_S2_1,0.0,0.01032665,0.01032665
connection_to_LH_VisCent_ExStr_4,0.010252973,0.0,0.010252973
connection_to_RH_SomMotA_6,0.0,0.010193967,0.010193967
connection_to_LH_DorsAttnB_PostC_2,0.010148835,0.0,0.010148835
connection_to_RH_DefaultA_PFCm_2,0.0,0.010145797,0.010145797
connection_to_RH_SalVentAttnA_ParMed_1,0.0,0.010066147,0.010066147
connection_to_RH_ContB_PFCld_2,0.0,0.010061815,0.010061815
