network,n_regions,n_samples,accuracy,precision,recall,f1_score
VisCent,6,60,0.9166666666666666,0.9848484848484849,0.9166666666666666,0.9451078677084869
DefaultA,8,80,0.8875,0.9666666666666667,0.8875000000000001,0.9213118022328548
VisPeri,6,60,0.85,1.0,0.8500000000000001,0.9093567251461988
DorsAttnA,6,60,0.8,0.9722222222222223,0.7999999999999999,0.873172514619883
DefaultB,13,130,0.7846153846153846,0.9510683760683762,0.7846153846153847,0.851327035537562
SalVentAttnA,7,70,0.7714285714285715,1.0,0.7714285714285715,0.8680647697675562
DefaultC,3,30,0.7666666666666667,1.0,0.7666666666666666,0.8648090815273477
ContC,3,30,0.7333333333333333,0.9629629629629629,0.7333333333333334,0.8045112781954886
SalVentAttnB,4,40,0.725,1.0,0.725,0.8316133470932231
DorsAttnB,5,50,0.7,1.0,0.7,0.8218954248366014
SomMotA,8,80,0.6875,0.8748511904761905,0.6875,0.7635448916408669
ContA,10,100,0.68,0.9222222222222222,0.6799999999999999,0.7779669762641899
SomMotB,8,80,0.6625,0.8589105339105338,0.6625,0.7380159958720329
LimbicA,4,40,0.625,0.9375,0.625,0.719551282051282
ContB,5,50,0.6,0.9492063492063492,0.6,0.7056759545923632
LimbicB,2,20,0.55,1.0,0.55,0.6752136752136753
Subcortical,16,160,0.4625,0.7232458513708513,0.4625,0.5463768336281881
TempPar,2,20,0.3,0.8333333333333333,0.30000000000000004,0.43956043956043955
