region_id,region_name,network,n_samples,accuracy,precision,recall,f1_score,support
1,LH_VisCent_ExStr_1,VisCent,10,1.0,0.9090909090909091,1.0,0.9523809523809523,10
6,LH_VisPeri_ExStrInf_1,VisPeri,10,1.0,0.7692307692307693,1.0,0.8695652173913043,10
5,LH_VisCent_ExStr_5,VisCent,10,1.0,0.9090909090909091,1.0,0.9523809523809523,10
4,LH_VisCent_ExStr_4,VisCent,10,1.0,1.0,1.0,1.0,10
31,LH_DorsAttnA_SPL_1,DorsAttnA,10,1.0,0.9090909090909091,1.0,0.9523809523809523,10
78,LH_DefaultA_pCunPCC_3,DefaultA,10,1.0,0.9090909090909091,1.0,0.9523809523809523,10
90,LH_DefaultB_PFCd_4,DefaultB,10,1.0,1.0,1.0,1.0,10
88,LH_DefaultB_PFCd_2,DefaultB,10,1.0,1.0,1.0,1.0,10
71,LH_ContC_pCun_1,ContC,10,1.0,0.9090909090909091,1.0,0.9523809523809523,10
52,LH_LimbicA_TempPole_1,LimbicA,10,1.0,0.6666666666666666,1.0,0.8,10
81,LH_DefaultA_PFCm_3,DefaultA,10,1.0,0.6666666666666666,1.0,0.8,10
9,LH_VisPeri_StriCal_1,VisPeri,10,0.9,0.9,0.9,0.9,10
23,LH_SomMotB_S2_2,SomMotB,10,0.9,1.0,0.9,0.9473684210526315,10
29,LH_DorsAttnA_TempOcc_2,DorsAttnA,10,0.9,1.0,0.9,0.9473684210526315,10
0,LH_VisCent_ExStr_2,VisCent,10,0.9,0.5625,0.9,0.6923076923076923,10
3,LH_VisCent_ExStr_3,VisCent,10,0.9,1.0,0.9,0.9473684210526315,10
11,LH_VisPeri_ExStrSup_2,VisPeri,10,0.9,1.0,0.9,0.9473684210526315,10
10,LH_VisPeri_ExStrSup_1,VisPeri,10,0.9,0.9,0.9,0.9,10
21,LH_SomMotB_Aud_2,SomMotB,10,0.9,0.75,0.9,0.8181818181818182,10
7,LH_VisPeri_ExStrInf_2,VisPeri,10,0.9,1.0,0.9,0.9473684210526315,10
62,LH_ContA_PFCl_1,ContA,10,0.9,0.6428571428571429,0.9,0.75,10
74,LH_DefaultA_IPL_1,DefaultA,10,0.9,0.9,0.9,0.9,10
76,LH_DefaultA_pCunPCC_1,DefaultA,10,0.9,1.0,0.9,0.9473684210526315,10
80,LH_DefaultA_PFCm_2,DefaultA,10,0.9,0.6923076923076923,0.9,0.782608695652174,10
96,LH_DefaultC_Rsp_1,DefaultC,10,0.9,1.0,0.9,0.9473684210526315,10
93,LH_DefaultB_PFCv_3,DefaultB,10,0.9,0.8181818181818182,0.9,0.8571428571428571,10
87,LH_DefaultB_PFCd_1,DefaultB,10,0.9,0.8181818181818182,0.9,0.8571428571428571,10
91,LH_DefaultB_PFCv_1,DefaultB,10,0.9,0.75,0.9,0.8181818181818182,10
49,LH_SalVentAttnB_PFCmp_1,SalVentAttnB,10,0.9,1.0,0.9,0.9473684210526315,10
45,LH_SalVentAttnA_FrMed_2,SalVentAttnA,10,0.9,0.9,0.9,0.9,10
40,LH_SalVentAttnA_Ins_1,SalVentAttnA,10,0.8,0.8,0.8,0.8,10
42,LH_SalVentAttnA_FrOper_2,SalVentAttnA,10,0.8,0.8888888888888888,0.8,0.8421052631578947,10
59,LH_ContA_IPS_3,ContA,10,0.8,0.6666666666666666,0.8,0.7272727272727273,10
