region_idx,region_name,network,hemisphere,recall_rest,recall_task,drop
0,LH_VisCent_ExStr_2,VisCent,L,0.9330357142857143,0.875,0.0580357142857143
1,LH_VisCent_ExStr_1,VisCent,L,0.9955357142857143,0.985,0.010535714285714315
2,LH_VisCent_Striate_1,VisCent,L,0.9821428571428571,0.975,0.0071428571428571175
3,LH_VisCent_ExStr_3,VisCent,L,0.9642857142857143,0.96,0.004285714285714337
4,LH_VisCent_ExStr_4,VisCent,L,0.9955357142857143,1.0,-0.004464285714285698
5,LH_VisCent_ExStr_5,VisCent,L,0.9866071428571429,0.99,-0.0033928571428570864
6,LH_VisPeri_ExStrInf_1,VisPeri,L,0.9732142857142857,0.935,0.038214285714285645
7,LH_VisPeri_ExStrInf_2,VisPeri,L,0.9642857142857143,0.92,0.04428571428571426
8,LH_VisPeri_ExStrInf_3,VisPeri,L,0.8125,0.745,0.0675
9,LH_VisPeri_StriCal_1,VisPeri,L,0.9955357142857143,0.97,0.025535714285714328
10,LH_VisPeri_ExStrSup_1,VisPeri,L,0.9821428571428571,0.955,0.027142857142857135
11,LH_VisPeri_ExStrSup_2,VisPeri,L,0.9955357142857143,0.995,0.000535714285714306
12,LH_SomMotA_1,SomMotA,L,0.9285714285714286,0.935,-0.00642857142857145
13,LH_SomMotA_2,SomMotA,L,0.9642857142857143,0.98,-0.01571428571428568
14,LH_SomMotA_3,SomMotA,L,0.9732142857142857,0.97,0.003214285714285725
15,LH_SomMotA_4,SomMotA,L,0.96875,1.0,-0.03125
16,LH_SomMotA_5,SomMotA,L,0.9821428571428571,0.99,-0.007857142857142896
17,LH_SomMotA_6,SomMotA,L,0.9598214285714286,0.975,-0.015178571428571375
18,LH_SomMotA_7,SomMotA,L,0.9285714285714286,0.94,-0.011428571428571344
19,LH_SomMotA_8,SomMotA,L,0.96875,0.975,-0.006249999999999978
20,LH_SomMotB_Aud_1,SomMotB,L,0.9553571428571429,0.87,0.08535714285714291
21,LH_SomMotB_Aud_2,SomMotB,L,0.9776785714285714,0.945,0.032678571428571446
22,LH_SomMotB_S2_1,SomMotB,L,0.9464285714285714,0.815,0.13142857142857145
23,LH_SomMotB_S2_2,SomMotB,L,1.0,0.96,0.040000000000000036
24,LH_SomMotB_Aud_3,SomMotB,L,0.9419642857142857,0.865,0.07696428571428571
25,LH_SomMotB_S2_3,SomMotB,L,0.9776785714285714,0.945,0.032678571428571446
26,LH_SomMotB_Cent_1,SomMotB,L,0.8928571428571429,0.76,0.1328571428571429
27,LH_SomMotB_Cent_2,SomMotB,L,0.9598214285714286,0.865,0.09482142857142861
28,LH_DorsAttnA_TempOcc_1,DorsAttnA,L,0.9776785714285714,0.95,0.02767857142857144
29,LH_DorsAttnA_TempOcc_2,DorsAttnA,L,0.9821428571428571,0.97,0.012142857142857122
30,LH_DorsAttnA_ParOcc_1,DorsAttnA,L,0.9151785714285714,0.895,0.02017857142857138
31,LH_DorsAttnA_SPL_1,DorsAttnA,L,0.9598214285714286,0.965,-0.005178571428571366
32,LH_DorsAttnA_SPL_2,DorsAttnA,L,0.9732142857142857,0.965,0.00821428571428573
