network,accuracy,precision,recall,f1_score,n_positive_samples,n_total_samples
DefaultA,0.9982296798029556,0.9953409831320076,0.7979910714285714,0.88359290849958,1792,25984
ContC,0.9979859400656815,0.9823069403714565,0.7797619047619048,0.867256730299823,672,25984
SalVentAttnA,0.9976578993666433,0.9936446528315918,0.732780612244898,0.841069005672089,1568,25984
DefaultC,0.9976010878489326,0.9872685185185185,0.7306547619047619,0.8367083507107358,672,25984
VisCent,0.9975497742200329,0.9566470347629412,0.7433035714285715,0.8316908262202034,1344,25984
DorsAttnB,0.9972829433497538,0.9809751740090862,0.6973214285714285,0.812827052669417,1120,25984
SomMotA,0.9972050107758621,0.9894360160282876,0.6830357142857143,0.8072566908117416,1792,25984
VisPeri,0.9972932060755336,0.9663337924793671,0.7023809523809524,0.8011167931643844,1344,25984
DorsAttnA,0.9970622947454845,0.9810526917201271,0.6703869047619048,0.7933170019160123,1344,25984
DefaultB,0.9969774298976884,0.9621809723426367,0.6706730769230769,0.7830790329296194,2912,25984
SomMotB,0.996950046182266,0.9793755072657373,0.6579241071428571,0.7810145210256022,1792,25984
SalVentAttnB,0.9968730757389163,0.9759027777777778,0.6517857142857143,0.7792116378483992,896,25984
ContB,0.9965055418719212,0.9582324357676756,0.6178571428571429,0.746150441392882,1120,25984
ContA,0.9964439655172412,0.9377035535430412,0.6116071428571429,0.7242209394010511,2240,25984
TempPar,0.9950161637931034,0.8659420289855073,0.49330357142857145,0.6273651787023908,448,25984
LimbicB,0.9948814655172413,0.8921663442940039,0.45535714285714285,0.5992156031375875,448,25984
Subcortical,0.9943258351293104,0.8663149105126013,0.37416294642857145,0.5027982528099527,3584,25984
LimbicA,0.9937365301724138,0.8544552444365179,0.30691964285714285,0.4415595620156371,896,25984
