region_idx,region_name,network,accuracy,precision,recall,f1_score,n_positive_samples,n_total_samples
0,LH_VisCent_ExStr_2,VisCent,0.9947275246305419,0.859504132231405,0.4642857142857143,0.6028985507246377,224,25984
1,LH_VisCent_ExStr_1,VisCent,0.9986530172413793,0.9947643979057592,0.8482142857142857,0.9156626506024096,224,25984
2,LH_VisCent_Striate_1,VisCent,0.9969596674876847,0.9447852760736196,0.6875,0.7958656330749354,224,25984
3,LH_VisCent_ExStr_3,VisCent,0.9971136083743842,0.9408284023668639,0.7098214285714286,0.8091603053435115,224,25984
4,LH_VisCent_ExStr_4,VisCent,0.9988069581280788,1.0,0.8616071428571429,0.9256594724220624,224,25984
5,LH_VisCent_ExStr_5,VisCent,0.9990378694581281,1.0,0.8883928571428571,0.9408983451536643,224,25984
6,LH_VisPeri_ExStrInf_1,VisPeri,0.9974214901477833,0.9700598802395209,0.7232142857142857,0.8286445012787724,224,25984
7,LH_VisPeri_ExStrInf_2,VisPeri,0.9976139162561576,0.9939024390243902,0.7276785714285714,0.8402061855670103,224,25984
8,LH_VisPeri_ExStrInf_3,VisPeri,0.9936114532019704,0.8625,0.3080357142857143,0.45394736842105265,224,25984
9,LH_VisPeri_StriCal_1,VisPeri,0.9981527093596059,0.9835164835164835,0.7991071428571429,0.8817733990147784,224,25984
10,LH_VisPeri_ExStrSup_1,VisPeri,0.9976524014778325,0.9880239520958084,0.7366071428571429,0.8439897698209718,224,25984
11,LH_VisPeri_ExStrSup_2,VisPeri,0.9993072660098522,1.0,0.9196428571428571,0.958139534883721,224,25984
12,LH_SomMotA_1,SomMotA,0.9967672413793104,1.0,0.625,0.7692307692307693,224,25984
13,LH_SomMotA_2,SomMotA,0.9968442118226601,0.9797297297297297,0.6473214285714286,0.7795698924731183,224,25984
14,LH_SomMotA_3,SomMotA,0.9978833128078818,0.9941520467836257,0.7589285714285714,0.8607594936708861,224,25984
15,LH_SomMotA_4,SomMotA,0.9975369458128078,1.0,0.7142857142857143,0.8333333333333334,224,25984
16,LH_SomMotA_5,SomMotA,0.9977678571428571,0.9882352941176471,0.75,0.8527918781725888,224,25984
17,LH_SomMotA_6,SomMotA,0.9969981527093597,1.0,0.6517857142857143,0.7891891891891892,224,25984
18,LH_SomMotA_7,SomMotA,0.9967287561576355,0.9664429530201343,0.6428571428571429,0.7721179624664879,224,25984
19,LH_SomMotA_8,SomMotA,0.9971136083743842,0.9869281045751634,0.6741071428571429,0.8010610079575596,224,25984
20,LH_SomMotB_Aud_1,SomMotB,0.9969211822660099,0.9615384615384616,0.6696428571428571,0.7894736842105263,224,25984
21,LH_SomMotB_Aud_2,SomMotB,0.997498460591133,0.9937888198757764,0.7142857142857143,0.8311688311688312,224,25984
22,LH_SomMotB_S2_1,SomMotB,0.9966902709359606,0.9791666666666666,0.6294642857142857,0.7663043478260869,224,25984
23,LH_SomMotB_S2_2,SomMotB,0.9989224137931034,1.0,0.875,0.9333333333333333,224,25984
24,LH_SomMotB_Aud_3,SomMotB,0.9967287561576355,0.986013986013986,0.6294642857142857,0.7683923705722071,224,25984
25,LH_SomMotB_S2_3,SomMotB,0.9979602832512315,1.0,0.7633928571428571,0.8658227848101265,224,25984
26,LH_SomMotB_Cent_1,SomMotB,0.994689039408867,0.93,0.41517857142857145,0.5740740740740741,224,25984
27,LH_SomMotB_Cent_2,SomMotB,0.9961899630541872,0.9844961240310077,0.5669642857142857,0.7195467422096318,224,25984
28,LH_DorsAttnA_TempOcc_1,DorsAttnA,0.9973830049261084,0.9936708860759493,0.7008928571428571,0.8219895287958116,224,25984
29,LH_DorsAttnA_TempOcc_2,DorsAttnA,0.9980757389162561,1.0,0.7767857142857143,0.8743718592964824,224,25984
30,LH_DorsAttnA_ParOcc_1,DorsAttnA,0.9955357142857143,0.95,0.5089285714285714,0.6627906976744186,224,25984
31,LH_DorsAttnA_SPL_1,DorsAttnA,0.9973445197044335,0.9874213836477987,0.7008928571428571,0.8198433420365535,224,25984
32,LH_DorsAttnA_SPL_2,DorsAttnA,0.9979602832512315,1.0,0.7633928571428571,0.8658227848101265,224,25984
33,LH_DorsAttnA_SPL_3,DorsAttnA,0.9960745073891626,0.9552238805970149,0.5714285714285714,0.7150837988826816,224,25984
34,LH_DorsAttnB_PostC_1,DorsAttnB,0.9979987684729064,0.9942528735632183,0.7723214285714286,0.8693467336683417,224,25984
35,LH_DorsAttnB_PostC_2,DorsAttnB,0.9979217980295566,1.0,0.7589285714285714,0.8629441624365483,224,25984
36,LH_DorsAttnB_PostC_3,DorsAttnB,0.9965748152709359,0.9530201342281879,0.6339285714285714,0.7613941018766756,224,25984
37,LH_DorsAttnB_PostC_4,DorsAttnB,0.9978448275862069,0.9883720930232558,0.7589285714285714,0.8585858585858586,224,25984
38,LH_DorsAttnB_FEF_1,DorsAttnB,0.9960745073891626,0.9692307692307692,0.5625,0.711864406779661,224,25984
39,LH_SalVentAttnA_ParOper_1,SalVentAttnA,0.9984605911330049,1.0,0.8214285714285714,0.9019607843137255,224,25984
40,LH_SalVentAttnA_Ins_1,SalVentAttnA,0.9969596674876847,0.9931972789115646,0.6517857142857143,0.7870619946091644,224,25984
41,LH_SalVentAttnA_FrOper_1,SalVentAttnA,0.9974214901477833,0.9875776397515528,0.7098214285714286,0.825974025974026,224,25984
42,LH_SalVentAttnA_FrOper_2,SalVentAttnA,0.9980372536945813,0.9942857142857143,0.7767857142857143,0.8721804511278195,224,25984
43,LH_SalVentAttnA_ParMed_1,SalVentAttnA,0.9965363300492611,0.9926470588235294,0.6026785714285714,0.75,224,25984
44,LH_SalVentAttnA_FrMed_1,SalVentAttnA,0.9986530172413793,1.0,0.84375,0.9152542372881356,224,25984
45,LH_SalVentAttnA_FrMed_2,SalVentAttnA,0.9975369458128078,0.9878048780487805,0.7232142857142857,0.8350515463917526,224,25984
46,LH_SalVentAttnB_IPL_1,SalVentAttnB,0.9967672413793104,0.9861111111111112,0.6339285714285714,0.7717391304347826,224,25984
47,LH_SalVentAttnB_PFCl_1,SalVentAttnB,0.9956896551724138,0.9375,0.5357142857142857,0.6818181818181818,224,25984
48,LH_SalVentAttnB_Ins_1,SalVentAttnB,0.9969211822660099,0.98,0.65625,0.786096256684492,224,25984
49,LH_SalVentAttnB_PFCmp_1,SalVentAttnB,0.998114224137931,1.0,0.78125,0.8771929824561403,224,25984
50,LH_LimbicB_OFC_1,LimbicB,0.9937653940886699,0.8297872340425532,0.3482142857142857,0.49056603773584906,224,25984
51,LH_LimbicB_OFC_2,LimbicB,0.9959975369458128,0.9545454545454546,0.5625,0.7078651685393258,224,25984
52,LH_LimbicA_TempPole_1,LimbicA,0.9951123768472906,0.9619047619047619,0.45089285714285715,0.6139817629179332,224,25984
53,LH_LimbicA_TempPole_2,LimbicA,0.9938808497536946,0.9012345679012346,0.32589285714285715,0.4786885245901639,224,25984
54,LH_LimbicA_TempPole_3,LimbicA,0.9942657019704434,0.9213483146067416,0.36607142857142855,0.5239616613418531,224,25984
55,LH_LimbicA_TempPole_4,LimbicA,0.9916871921182266,0.6333333333333333,0.08482142857142858,0.14960629921259844,224,25984
56,LH_ContA_Temp_1,ContA,0.9947660098522167,0.8928571428571429,0.44642857142857145,0.5952380952380952,224,25984
57,LH_ContA_IPS_1,ContA,0.9985375615763546,1.0,0.8303571428571429,0.9073170731707317,224,25984
58,LH_ContA_IPS_2,ContA,0.9982296798029556,0.9836956521739131,0.8080357142857143,0.8872549019607843,224,25984
59,LH_ContA_IPS_3,ContA,0.9972675492610837,0.9526627218934911,0.71875,0.8193384223918575,224,25984
60,LH_ContA_PFCd_1,ContA,0.9964208743842364,1.0,0.5848214285714286,0.7380281690140845,224,25984
61,LH_ContA_PFClv_1,ContA,0.9976139162561576,0.9879518072289156,0.7321428571428571,0.841025641025641,224,25984
62,LH_ContA_PFCl_1,ContA,0.9970366379310345,0.9741935483870968,0.6741071428571429,0.7968337730870713,224,25984
63,LH_ContA_PFCl_2,ContA,0.9972290640394089,0.9810126582278481,0.6919642857142857,0.8115183246073299,224,25984
64,LH_ContA_PFCl_3,ContA,0.9954587438423645,0.9076923076923077,0.5267857142857143,0.6666666666666666,224,25984
65,LH_ContA_Cingm_1,ContA,0.991879618226601,0.696969696969697,0.10267857142857142,0.17898832684824903,224,25984
66,LH_ContB_Temp_1,ContB,0.9963439039408867,0.9387755102040817,0.6160714285714286,0.7439353099730458,224,25984
67,LH_ContB_IPL_1,ContB,0.9972675492610837,0.9872611464968153,0.6919642857142857,0.8136482939632546,224,25984
68,LH_ContB_PFCl_1,ContB,0.9977293719211823,0.9940119760479041,0.7410714285714286,0.8491048593350383,224,25984
69,LH_ContB_PFClv_1,ContB,0.9968057266009852,0.9731543624161074,0.6473214285714286,0.7774798927613941,224,25984
70,LH_ContB_PFClv_2,ContB,0.994381157635468,0.8979591836734694,0.39285714285714285,0.546583850931677,224,25984
71,LH_ContC_pCun_1,ContC,0.9989224137931034,0.9949494949494949,0.8794642857142857,0.933649289099526,224,25984
72,LH_ContC_pCun_2,ContC,0.9979987684729064,0.9777777777777777,0.7857142857142857,0.8712871287128713,224,25984
73,LH_ContC_Cingp_1,ContC,0.9970366379310345,0.9741935483870968,0.6741071428571429,0.7968337730870713,224,25984
74,LH_DefaultA_IPL_1,DefaultA,0.9986530172413793,1.0,0.84375,0.9152542372881356,224,25984
75,LH_DefaultA_PFCd_1,DefaultA,0.997190578817734,0.9934640522875817,0.6785714285714286,0.8063660477453581,224,25984
76,LH_DefaultA_pCunPCC_1,DefaultA,0.999384236453202,1.0,0.9285714285714286,0.9629629629629629,224,25984
77,LH_DefaultA_pCunPCC_2,DefaultA,0.9978448275862069,0.9883720930232558,0.7589285714285714,0.8585858585858586,224,25984
78,LH_DefaultA_pCunPCC_3,DefaultA,0.9989608990147784,1.0,0.8794642857142857,0.9358669833729216,224,25984
79,LH_DefaultA_PFCm_1,DefaultA,0.997190578817734,0.9808917197452229,0.6875,0.8083989501312336,224,25984
80,LH_DefaultA_PFCm_2,DefaultA,0.9979987684729064,1.0,0.7678571428571429,0.8686868686868687,224,25984
81,LH_DefaultA_PFCm_3,DefaultA,0.9986145320197044,1.0,0.8392857142857143,0.912621359223301,224,25984
82,LH_DefaultB_Temp_1,DefaultB,0.9976908866995073,1.0,0.7321428571428571,0.845360824742268,224,25984
83,LH_DefaultB_Temp_2,DefaultB,0.9954587438423645,0.9344262295081968,0.5089285714285714,0.6589595375722543,224,25984
84,LH_DefaultB_Temp_3,DefaultB,0.9974214901477833,0.9937106918238994,0.7053571428571429,0.825065274151436,224,25984
85,LH_DefaultB_Temp_4,DefaultB,0.9980372536945813,0.9832402234636871,0.7857142857142857,0.8734491315136477,224,25984
86,LH_DefaultB_IPL_1,DefaultB,0.9956511699507389,0.8936170212765957,0.5625,0.6904109589041096,224,25984
87,LH_DefaultB_PFCd_1,DefaultB,0.9987684729064039,1.0,0.8571428571428571,0.9230769230769231,224,25984
88,LH_DefaultB_PFCd_2,DefaultB,0.9986530172413793,1.0,0.84375,0.9152542372881356,224,25984
89,LH_DefaultB_PFCd_3,DefaultB,0.9974214901477833,0.9937106918238994,0.7053571428571429,0.825065274151436,224,25984
90,LH_DefaultB_PFCd_4,DefaultB,0.9967672413793104,0.9605263157894737,0.6517857142857143,0.776595744680851,224,25984
91,LH_DefaultB_PFCv_1,DefaultB,0.9958435960591133,0.9142857142857143,0.5714285714285714,0.7032967032967034,224,25984
92,LH_DefaultB_PFCv_2,DefaultB,0.9935729679802956,0.8701298701298701,0.29910714285714285,0.44518272425249167,224,25984
93,LH_DefaultB_PFCv_3,DefaultB,0.9974599753694581,0.9647058823529412,0.7321428571428571,0.8324873096446701,224,25984
94,LH_DefaultB_PFCv_4,DefaultB,0.9979602832512315,1.0,0.7633928571428571,0.8658227848101265,224,25984
95,LH_DefaultC_IPL_1,DefaultC,0.9971520935960592,0.96875,0.6919642857142857,0.8072916666666666,224,25984
96,LH_DefaultC_Rsp_1,DefaultC,0.9988069581280788,1.0,0.8616071428571429,0.9256594724220624,224,25984
97,LH_DefaultC_PHC_1,DefaultC,0.9968442118226601,0.9930555555555556,0.6383928571428571,0.7771739130434783,224,25984
98,LH_TempPar_1,TempPar,0.9961514778325123,0.9492753623188406,0.5848214285714286,0.7237569060773481,224,25984
