region_idx,region_name,network,hemisphere,recall,n_samples
0,LH_VisCent_ExStr_2,VisCent,L,0.9330357142857143,224
1,LH_VisCent_ExStr_1,VisCent,L,0.9955357142857143,224
2,LH_VisCent_Striate_1,VisCent,L,0.9821428571428571,224
3,LH_VisCent_ExStr_3,VisCent,L,0.9642857142857143,224
4,LH_VisCent_ExStr_4,VisCent,L,0.9955357142857143,224
5,LH_VisCent_ExStr_5,VisCent,L,0.9866071428571429,224
6,LH_VisPeri_ExStrInf_1,VisPeri,L,0.9732142857142857,224
7,LH_VisPeri_ExStrInf_2,VisPeri,L,0.9642857142857143,224
8,LH_VisPeri_ExStrInf_3,VisPeri,L,0.8125,224
9,LH_VisPeri_StriCal_1,VisPeri,L,0.9955357142857143,224
10,LH_VisPeri_ExStrSup_1,VisPeri,L,0.9821428571428571,224
11,LH_VisPeri_ExStrSup_2,VisPeri,L,0.9955357142857143,224
12,LH_SomMotA_1,SomMotA,L,0.9285714285714286,224
13,LH_SomMotA_2,SomMotA,L,0.9642857142857143,224
14,LH_SomMotA_3,SomMotA,L,0.9732142857142857,224
15,LH_SomMotA_4,SomMotA,L,0.96875,224
16,LH_SomMotA_5,SomMotA,L,0.9821428571428571,224
17,LH_SomMotA_6,SomMotA,L,0.9598214285714286,224
18,LH_SomMotA_7,SomMotA,L,0.9285714285714286,224
19,LH_SomMotA_8,SomMotA,L,0.96875,224
20,LH_SomMotB_Aud_1,SomMotB,L,0.9553571428571429,224
21,LH_SomMotB_Aud_2,SomMotB,L,0.9776785714285714,224
22,LH_SomMotB_S2_1,SomMotB,L,0.9464285714285714,224
23,LH_SomMotB_S2_2,SomMotB,L,1.0,224
24,LH_SomMotB_Aud_3,SomMotB,L,0.9419642857142857,224
25,LH_SomMotB_S2_3,SomMotB,L,0.9776785714285714,224
26,LH_SomMotB_Cent_1,SomMotB,L,0.8928571428571429,224
27,LH_SomMotB_Cent_2,SomMotB,L,0.9598214285714286,224
28,LH_DorsAttnA_TempOcc_1,DorsAttnA,L,0.9776785714285714,224
29,LH_DorsAttnA_TempOcc_2,DorsAttnA,L,0.9821428571428571,224
30,LH_DorsAttnA_ParOcc_1,DorsAttnA,L,0.9151785714285714,224
31,LH_DorsAttnA_SPL_1,DorsAttnA,L,0.9598214285714286,224
32,LH_DorsAttnA_SPL_2,DorsAttnA,L,0.9732142857142857,224
33,LH_DorsAttnA_SPL_3,DorsAttnA,L,0.9464285714285714,224
34,LH_DorsAttnB_PostC_1,DorsAttnB,L,0.9821428571428571,224
35,LH_DorsAttnB_PostC_2,DorsAttnB,L,0.9821428571428571,224
36,LH_DorsAttnB_PostC_3,DorsAttnB,L,0.9464285714285714,224
37,LH_DorsAttnB_PostC_4,DorsAttnB,L,0.9776785714285714,224
38,LH_DorsAttnB_FEF_1,DorsAttnB,L,0.9375,224
39,LH_SalVentAttnA_ParOper_1,SalVentAttnA,L,0.9955357142857143,224
40,LH_SalVentAttnA_Ins_1,SalVentAttnA,L,0.9776785714285714,224
41,LH_SalVentAttnA_FrOper_1,SalVentAttnA,L,0.9642857142857143,224
42,LH_SalVentAttnA_FrOper_2,SalVentAttnA,L,0.9821428571428571,224
43,LH_SalVentAttnA_ParMed_1,SalVentAttnA,L,0.9642857142857143,224
44,LH_SalVentAttnA_FrMed_1,SalVentAttnA,L,0.9866071428571429,224
45,LH_SalVentAttnA_FrMed_2,SalVentAttnA,L,0.9866071428571429,224
46,LH_SalVentAttnB_IPL_1,SalVentAttnB,L,0.9419642857142857,224
47,LH_SalVentAttnB_PFCl_1,SalVentAttnB,L,0.9107142857142857,224
48,LH_SalVentAttnB_Ins_1,SalVentAttnB,L,0.9598214285714286,224
49,LH_SalVentAttnB_PFCmp_1,SalVentAttnB,L,0.9910714285714286,224
50,LH_LimbicB_OFC_1,LimbicB,L,0.8080357142857143,224
51,LH_LimbicB_OFC_2,LimbicB,L,0.8973214285714286,224
52,LH_LimbicA_TempPole_1,LimbicA,L,0.8348214285714286,224
53,LH_LimbicA_TempPole_2,LimbicA,L,0.8080357142857143,224
54,LH_LimbicA_TempPole_3,LimbicA,L,0.8303571428571429,224
55,LH_LimbicA_TempPole_4,LimbicA,L,0.6294642857142857,224
56,LH_ContA_Temp_1,ContA,L,0.8973214285714286,224
57,LH_ContA_IPS_1,ContA,L,0.9866071428571429,224
58,LH_ContA_IPS_2,ContA,L,0.9776785714285714,224
59,LH_ContA_IPS_3,ContA,L,0.9732142857142857,224
60,LH_ContA_PFCd_1,ContA,L,0.9553571428571429,224
61,LH_ContA_PFClv_1,ContA,L,0.9464285714285714,224
62,LH_ContA_PFCl_1,ContA,L,0.96875,224
63,LH_ContA_PFCl_2,ContA,L,0.9464285714285714,224
64,LH_ContA_PFCl_3,ContA,L,0.8883928571428571,224
65,LH_ContA_Cingm_1,ContA,L,0.71875,224
66,LH_ContB_Temp_1,ContB,L,0.9285714285714286,224
67,LH_ContB_IPL_1,ContB,L,0.9776785714285714,224
68,LH_ContB_PFCl_1,ContB,L,0.9732142857142857,224
69,LH_ContB_PFClv_1,ContB,L,0.9553571428571429,224
70,LH_ContB_PFClv_2,ContB,L,0.8526785714285714,224
71,LH_ContC_pCun_1,ContC,L,0.9910714285714286,224
72,LH_ContC_pCun_2,ContC,L,0.96875,224
73,LH_ContC_Cingp_1,ContC,L,0.9732142857142857,224
74,LH_DefaultA_IPL_1,DefaultA,L,0.9955357142857143,224
75,LH_DefaultA_PFCd_1,DefaultA,L,0.96875,224
76,LH_DefaultA_pCunPCC_1,DefaultA,L,0.9955357142857143,224
77,LH_DefaultA_pCunPCC_2,DefaultA,L,0.9776785714285714,224
78,LH_DefaultA_pCunPCC_3,DefaultA,L,0.9955357142857143,224
79,LH_DefaultA_PFCm_1,DefaultA,L,0.9598214285714286,224
80,LH_DefaultA_PFCm_2,DefaultA,L,0.9508928571428571,224
81,LH_DefaultA_PFCm_3,DefaultA,L,0.9910714285714286,224
82,LH_DefaultB_Temp_1,DefaultB,L,0.96875,224
83,LH_DefaultB_Temp_2,DefaultB,L,0.8660714285714286,224
84,LH_DefaultB_Temp_3,DefaultB,L,0.9508928571428571,224
85,LH_DefaultB_Temp_4,DefaultB,L,0.9732142857142857,224
86,LH_DefaultB_IPL_1,DefaultB,L,0.8973214285714286,224
87,LH_DefaultB_PFCd_1,DefaultB,L,0.9910714285714286,224
88,LH_DefaultB_PFCd_2,DefaultB,L,0.9866071428571429,224
89,LH_DefaultB_PFCd_3,DefaultB,L,0.9598214285714286,224
90,LH_DefaultB_PFCd_4,DefaultB,L,0.9642857142857143,224
91,LH_DefaultB_PFCv_1,DefaultB,L,0.9508928571428571,224
