region_idx,region_name,network,hemisphere,recall,n_samples
0,LH_VisCent_ExStr_2,VisCent,L,0.875,200
1,LH_VisCent_ExStr_1,VisCent,L,0.985,200
2,LH_VisCent_Striate_1,VisCent,L,0.975,200
3,LH_VisCent_ExStr_3,VisCent,L,0.96,200
4,LH_VisCent_ExStr_4,VisCent,L,1.0,200
5,LH_VisCent_ExStr_5,VisCent,L,0.99,200
6,LH_VisPeri_ExStrInf_1,VisPeri,L,0.935,200
7,LH_VisPeri_ExStrInf_2,VisPeri,L,0.92,200
8,LH_VisPeri_ExStrInf_3,VisPeri,L,0.745,200
9,LH_VisPeri_StriCal_1,VisPeri,L,0.97,200
10,LH_VisPeri_ExStrSup_1,VisPeri,L,0.955,200
11,LH_VisPeri_ExStrSup_2,VisPeri,L,0.995,200
12,LH_SomMotA_1,SomMotA,L,0.935,200
13,LH_SomMotA_2,SomMotA,L,0.98,200
14,LH_SomMotA_3,SomMotA,L,0.97,200
15,LH_SomMotA_4,SomMotA,L,1.0,200
16,LH_SomMotA_5,SomMotA,L,0.99,200
17,LH_SomMotA_6,SomMotA,L,0.975,200
18,LH_SomMotA_7,SomMotA,L,0.94,200
19,LH_SomMotA_8,SomMotA,L,0.975,200
20,LH_SomMotB_Aud_1,SomMotB,L,0.87,200
21,LH_SomMotB_Aud_2,SomMotB,L,0.945,200
22,LH_SomMotB_S2_1,SomMotB,L,0.815,200
23,LH_SomMotB_S2_2,SomMotB,L,0.96,200
24,LH_SomMotB_Aud_3,SomMotB,L,0.865,200
25,LH_SomMotB_S2_3,SomMotB,L,0.945,200
26,LH_SomMotB_Cent_1,SomMotB,L,0.76,200
27,LH_SomMotB_Cent_2,SomMotB,L,0.865,200
28,LH_DorsAttnA_TempOcc_1,DorsAttnA,L,0.95,200
29,LH_DorsAttnA_TempOcc_2,DorsAttnA,L,0.97,200
30,LH_DorsAttnA_ParOcc_1,DorsAttnA,L,0.895,200
31,LH_DorsAttnA_SPL_1,DorsAttnA,L,0.965,200
32,LH_DorsAttnA_SPL_2,DorsAttnA,L,0.965,200
33,LH_DorsAttnA_SPL_3,DorsAttnA,L,0.905,200
34,LH_DorsAttnB_PostC_1,DorsAttnB,L,0.99,200
35,LH_DorsAttnB_PostC_2,DorsAttnB,L,0.995,200
36,LH_DorsAttnB_PostC_3,DorsAttnB,L,0.98,200
37,LH_DorsAttnB_PostC_4,DorsAttnB,L,0.99,200
38,LH_DorsAttnB_FEF_1,DorsAttnB,L,0.87,200
39,LH_SalVentAttnA_ParOper_1,SalVentAttnA,L,0.975,200
40,LH_SalVentAttnA_Ins_1,SalVentAttnA,L,0.915,200
41,LH_SalVentAttnA_FrOper_1,SalVentAttnA,L,0.925,200
42,LH_SalVentAttnA_FrOper_2,SalVentAttnA,L,0.91,200
43,LH_SalVentAttnA_ParMed_1,SalVentAttnA,L,0.98,200
44,LH_SalVentAttnA_FrMed_1,SalVentAttnA,L,0.97,200
45,LH_SalVentAttnA_FrMed_2,SalVentAttnA,L,0.965,200
46,LH_SalVentAttnB_IPL_1,SalVentAttnB,L,0.92,200
47,LH_SalVentAttnB_PFCl_1,SalVentAttnB,L,0.83,200
48,LH_SalVentAttnB_Ins_1,SalVentAttnB,L,0.88,200
49,LH_SalVentAttnB_PFCmp_1,SalVentAttnB,L,0.98,200
50,LH_LimbicB_OFC_1,LimbicB,L,0.77,200
51,LH_LimbicB_OFC_2,LimbicB,L,0.92,200
52,LH_LimbicA_TempPole_1,LimbicA,L,0.875,200
53,LH_LimbicA_TempPole_2,LimbicA,L,0.79,200
54,LH_LimbicA_TempPole_3,LimbicA,L,0.8,200
55,LH_LimbicA_TempPole_4,LimbicA,L,0.535,200
56,LH_ContA_Temp_1,ContA,L,0.885,200
57,LH_ContA_IPS_1,ContA,L,1.0,200
58,LH_ContA_IPS_2,ContA,L,0.995,200
59,LH_ContA_IPS_3,ContA,L,0.99,200
60,LH_ContA_PFCd_1,ContA,L,0.925,200
61,LH_ContA_PFClv_1,ContA,L,0.84,200
62,LH_ContA_PFCl_1,ContA,L,0.935,200
63,LH_ContA_PFCl_2,ContA,L,0.85,200
64,LH_ContA_PFCl_3,ContA,L,0.915,200
65,LH_ContA_Cingm_1,ContA,L,0.51,200
