network,n_regions,n_samples,accuracy,precision,recall,f1_score
ContC,3,672,0.9434523809523809,0.9983974358974358,0.9434523809523809,0.970103086200451
VisCent,6,1344,0.9389880952380952,0.9894568313302016,0.9389880952380952,0.9633605102395478
DefaultA,8,1792,0.9369419642857143,0.994567744227926,0.9369419642857143,0.9646172988034005
VisPeri,6,1344,0.9293154761904762,0.9939713449702351,0.9293154761904762,0.9599106257764732
DefaultC,3,672,0.9285714285714286,0.9983818770226538,0.9285714285714285,0.9621227591918894
SalVentAttnA,7,1568,0.9253826530612245,0.9965934588318344,0.9253826530612244,0.959492079189901
DorsAttnB,5,1120,0.9160714285714285,0.9931844703113771,0.9160714285714284,0.952899915729571
DorsAttnA,6,1344,0.9144345238095238,0.9878173854563431,0.9144345238095237,0.9492433074926109
SomMotB,8,1792,0.9140625,0.9925433837376727,0.9140625,0.9512820835671321
SomMotA,8,1792,0.9123883928571429,0.9849008730639306,0.9123883928571429,0.9470429839919084
DefaultB,13,2912,0.9093406593406593,0.9852481742672091,0.9093406593406593,0.9449946384212914
SalVentAttnB,4,896,0.8895089285714286,0.991247361013371,0.8895089285714286,0.9374558072954696
ContB,5,1120,0.8803571428571428,0.9867154876750923,0.8803571428571428,0.9303884171968833
ContA,10,2240,0.8678571428571429,0.9686100532421825,0.8678571428571429,0.9145627766492929
TempPar,2,448,0.8370535714285714,1.0,0.8370535714285714,0.9110284127827988
LimbicB,2,448,0.8125,1.0,0.8125,0.8955869137541592
Subcortical,16,3584,0.7611607142857143,0.8636376108753003,0.7611607142857143,0.8088125114473689
LimbicA,4,896,0.7075892857142857,0.9364497156118335,0.7075892857142858,0.804815594583735
