network,n_regions,n_samples,accuracy,precision,recall,f1_score
SalVentAttnA,7,1568,0.9789540816326531,1.0,0.9789540816326532,0.9893287247669882
DefaultA,8,1792,0.9787946428571429,1.0,0.9787946428571429,0.9892167215032545
ContC,3,672,0.9761904761904762,0.9984779299847792,0.9761904761904762,0.9871946855638235
DefaultC,3,672,0.9702380952380952,1.0,0.9702380952380952,0.9847757454446256
VisCent,6,1344,0.9694940476190477,0.9975369458128078,0.9694940476190476,0.9830619293935469
DorsAttnB,5,1120,0.9616071428571429,0.9953810686425799,0.9616071428571429,0.978115646250807
DorsAttnA,6,1344,0.9583333333333334,0.9969417047215909,0.9583333333333335,0.9771248953177823
SomMotA,8,1792,0.9559151785714286,0.9947764890774953,0.9559151785714286,0.9748314725322866
VisPeri,6,1344,0.9523809523809523,0.9959046202165469,0.9523809523809524,0.9726923042106463
SomMotB,8,1792,0.9497767857142857,0.995880746942178,0.9497767857142857,0.9720458690275842
SalVentAttnB,4,896,0.9475446428571429,0.9976414569565895,0.9475446428571429,0.9717917298691158
DefaultB,13,2912,0.9381868131868132,0.9955327734448965,0.9381868131868132,0.9652218899168769
ContB,5,1120,0.925,0.9944154624133038,0.925,0.9577858361274796
ContA,10,2240,0.9165178571428572,0.9861718664057495,0.9165178571428572,0.9485606626489476
TempPar,2,448,0.9017857142857143,1.0,0.9017857142857143,0.9479858002778206
LimbicB,2,448,0.8549107142857143,1.0,0.8549107142857143,0.9213295628389968
Subcortical,16,3584,0.8016183035714286,0.8790697112299122,0.8016183035714286,0.8363162623474916
LimbicA,4,896,0.7633928571428571,0.9588579800620369,0.7633928571428571,0.8487605440858588
