region_index,region_name,network
0,LH_VisPeri_ExStrSup_2,VisPeri
1,LH_DefaultC_Rsp_1,DefaultC
2,LH_VisCent_ExStr_4,VisCent
3,LH_VisCent_ExStr_1,VisCent
4,LH_SalVentAttnA_ParOper_1,SalVentAttnA
5,LH_SomMotB_S2_2,SomMotB
6,LH_DefaultA_pCunPCC_1,DefaultA
7,LH_VisPeri_StriCal_1,VisPeri
8,LH_DefaultB_PFCv_4,DefaultB
9,LH_DorsAttnB_PostC_1,DorsAttnB
10,LH_SomMotA_5,SomMotA
11,LH_VisCent_ExStr_5,VisCent
12,LH_ContC_pCun_1,ContC
13,LH_DorsAttnB_PostC_4,DorsAttnB
14,LH_DefaultB_PFCd_1,DefaultB
15,LH_DefaultA_pCunPCC_3,DefaultA
16,LH_DefaultA_pCunPCC_2,DefaultA
17,LH_DefaultA_IPL_1,DefaultA
18,LH_SalVentAttnB_PFCmp_1,SalVentAttnB
19,LH_SalVentAttnA_FrMed_2,SalVentAttnA
20,LH_VisCent_Striate_1,VisCent
21,LH_SalVentAttnA_FrMed_1,SalVentAttnA
22,LH_VisPeri_ExStrSup_1,VisPeri
23,LH_DefaultA_PFCm_3,DefaultA
24,LH_ContA_IPS_1,ContA
25,LH_ContB_PFClv_1,ContB
26,LH_ContA_IPS_3,ContA
27,LH_DefaultB_PFCd_2,DefaultB
28,LH_SalVentAttnA_ParMed_1,SalVentAttnA
29,LH_VisCent_ExStr_3,VisCent
30,LH_SomMotB_Aud_2,SomMotB
31,LH_DorsAttnA_TempOcc_2,DorsAttnA
32,LH_VisPeri_ExStrInf_2,VisPeri
33,LH_DorsAttnB_PostC_2,DorsAttnB
34,LH_VisPeri_ExStrInf_1,VisPeri
35,LH_SomMotA_4,SomMotA
36,LH_SomMotA_2,SomMotA
37,LH_DefaultA_PFCd_1,DefaultA
38,LH_ContC_Cingp_1,ContC
39,LH_SalVentAttnA_FrOper_2,SalVentAttnA
40,LH_SomMotA_3,SomMotA
41,LH_ContA_PFCl_1,ContA
42,LH_SomMotB_S2_3,SomMotB
43,LH_DorsAttnA_TempOcc_1,DorsAttnA
44,aPUT-lh,Subcortical
45,LH_ContC_pCun_2,ContC
46,LH_SalVentAttnB_Ins_1,SalVentAttnB
47,LH_DorsAttnA_SPL_2,DorsAttnA
48,LH_ContB_IPL_1,ContB
49,LH_DefaultB_PFCv_3,DefaultB
50,LH_SalVentAttnA_Ins_1,SalVentAttnA
51,LH_SalVentAttnA_FrOper_1,SalVentAttnA
52,LH_DefaultC_IPL_1,DefaultC
53,LH_DefaultB_PFCd_3,DefaultB
54,LH_ContB_PFCl_1,ContB
55,LH_SomMotA_8,SomMotA
56,LH_ContA_PFCd_1,ContA
57,LH_DefaultB_Temp_1,DefaultB
58,LH_ContA_IPS_2,ContA
59,LH_DefaultB_Temp_3,DefaultB
60,LH_SomMotB_S2_1,SomMotB
61,LH_DorsAttnB_PostC_3,DorsAttnB
62,LH_SomMotA_6,SomMotA
63,LH_DefaultA_PFCm_1,DefaultA
64,LH_DefaultB_Temp_4,DefaultB
65,LH_DefaultB_PFCv_1,DefaultB
66,LH_SomMotB_Cent_2,SomMotB
67,aCAU-lh,Subcortical
68,LH_DefaultC_PHC_1,DefaultC
69,LH_DefaultB_PFCd_4,DefaultB
70,LH_DefaultA_PFCm_2,DefaultA
71,LH_ContA_PFCl_2,ContA
72,LH_TempPar_1,TempPar
73,LH_DorsAttnA_SPL_1,DorsAttnA
74,LH_DorsAttnA_SPL_3,DorsAttnA
75,LH_ContA_PFClv_1,ContA
76,LH_SomMotB_Aud_1,SomMotB
77,aHIP-lh,Subcortical
78,LH_SalVentAttnB_IPL_1,SalVentAttnB
79,LH_SomMotB_Aud_3,SomMotB
80,LH_SomMotA_1,SomMotA
81,LH_SalVentAttnB_PFCl_1,SalVentAttnB
82,LH_ContB_Temp_1,ContB
83,LH_SomMotA_7,SomMotA
84,LH_DorsAttnB_FEF_1,DorsAttnB
85,LH_SomMotB_Cent_1,SomMotB
86,NAc-core-lh,Subcortical
87,LH_LimbicB_OFC_2,LimbicB
88,LH_DefaultB_IPL_1,DefaultB
89,LH_ContA_Temp_1,ContA
90,LH_ContA_PFCl_3,ContA
91,LH_VisCent_ExStr_2,VisCent
92,LH_DorsAttnA_ParOcc_1,DorsAttnA
93,pPUT-lh,Subcortical
94,NAc-shell-lh,Subcortical
95,pCAU-lh,Subcortical
96,LH_DefaultB_Temp_2,DefaultB
97,LH_TempPar_2,TempPar
98,mAMY-lh,Subcortical
99,LH_LimbicA_TempPole_1,LimbicA
100,THA-VA-lh,Subcortical
101,LH_DefaultB_PFCv_2,DefaultB
102,LH_ContB_PFClv_2,ContB
103,lAMY-lh,Subcortical
104,LH_LimbicB_OFC_1,LimbicB
105,LH_VisPeri_ExStrInf_3,VisPeri
106,THA-VP-lh,Subcortical
107,LH_LimbicA_TempPole_3,LimbicA
108,LH_LimbicA_TempPole_2,LimbicA
109,THA-DA-lh,Subcortical
110,pHIP-lh,Subcortical
111,LH_ContA_Cingm_1,ContA
112,THA-DP-lh,Subcortical
113,LH_LimbicA_TempPole_4,LimbicA
114,pGP-lh,Subcortical
115,aGP-lh,Subcortical
