feature,importance_gain,fold
connection_to_LH_VisPeri_StriCal_1,0.014248073,1
connection_to_LH_VisCent_ExStr_5,0.013424037,1
connection_to_LH_DefaultB_PFCd_1,0.012804319,1
connection_to_LH_DefaultB_Temp_3,0.0126054175,1
connection_to_LH_ContA_IPS_3,0.012303505,1
connection_to_LH_LimbicA_TempPole_4,0.012218489,1
connection_to_LH_SomMotB_S2_3,0.011825111,1
connection_to_pPUT-lh,0.011403251,1
connection_to_LH_DefaultA_pCunPCC_1,0.0113595985,1
connection_to_LH_VisPeri_ExStrSup_2,0.011314715,1
connection_to_LH_DorsAttnB_PostC_2,0.011284752,1
connection_to_LH_VisCent_ExStr_2,0.010738234,1
connection_to_aGP-lh,0.0107226595,1
connection_to_THA-VA-lh,0.010531574,1
connection_to_LH_DefaultB_PFCv_3,0.010358516,1
connection_to_LH_DorsAttnB_PostC_3,0.010220129,1
connection_to_LH_SomMotA_4,0.010208555,1
connection_to_LH_ContC_Cingp_1,0.010162928,1
connection_to_LH_DefaultB_Temp_1,0.01011548,1
connection_to_LH_DefaultA_PFCm_3,0.010074422,1
connection_to_LH_VisPeri_ExStrInf_1,0.010053656,1
connection_to_LH_DefaultA_pCunPCC_3,0.010001811,1
connection_to_LH_ContA_IPS_2,0.009875714,1
connection_to_LH_SomMotB_S2_2,0.009865724,1
connection_to_LH_ContB_PFCl_1,0.00985842,1
connection_to_LH_SalVentAttnA_FrMed_2,0.009721045,1
connection_to_LH_SomMotA_3,0.009711453,1
connection_to_NAc-shell-lh,0.00964553,1
connection_to_LH_VisCent_ExStr_4,0.009625877,1
connection_to_LH_ContA_Cingm_1,0.0095433025,1
connection_to_LH_LimbicB_OFC_1,0.009483348,1
connection_to_LH_DefaultB_PFCv_4,0.009388252,1
connection_to_LH_DorsAttnB_FEF_1,0.009369653,1
connection_to_LH_LimbicB_OFC_2,0.0093473,1
connection_to_LH_DefaultA_PFCd_1,0.009332335,1
connection_to_pHIP-lh,0.009318324,1
connection_to_pGP-lh,0.0092872735,1
connection_to_LH_SalVentAttnA_FrOper_1,0.009235836,1
connection_to_LH_LimbicA_TempPole_2,0.009199218,1
connection_to_LH_DorsAttnB_PostC_1,0.009155988,1
connection_to_LH_SomMotA_7,0.0091144275,1
connection_to_LH_SomMotA_8,0.009035246,1
connection_to_LH_DorsAttnA_ParOcc_1,0.008995347,1
connection_to_LH_ContA_PFCl_1,0.008979519,1
connection_to_LH_DorsAttnA_TempOcc_1,0.008924077,1
connection_to_LH_ContB_PFClv_2,0.008899462,1
connection_to_THA-DP-lh,0.008889253,1
connection_to_LH_DefaultA_PFCm_1,0.008846034,1
connection_to_aCAU-lh,0.008826361,1
connection_to_mAMY-lh,0.008804665,1
connection_to_LH_SalVentAttnB_PFCl_1,0.008767243,1
connection_to_LH_LimbicA_TempPole_1,0.008761455,1
connection_to_LH_LimbicA_TempPole_3,0.00875654,1
connection_to_LH_DefaultC_Rsp_1,0.008726304,1
connection_to_LH_VisPeri_ExStrInf_2,0.008717497,1
connection_to_LH_ContA_PFCd_1,0.008533993,1
connection_to_lAMY-lh,0.008445245,1
connection_to_LH_SomMotB_Aud_2,0.008414,1
connection_to_LH_ContC_pCun_1,0.008391473,1
connection_to_LH_DefaultB_PFCv_2,0.008378344,1
connection_to_aPUT-lh,0.008354693,1
connection_to_THA-VP-lh,0.008329367,1
connection_to_LH_DorsAttnA_SPL_2,0.0083215255,1
connection_to_LH_SalVentAttnA_FrMed_1,0.008308553,1
connection_to_LH_DefaultB_Temp_2,0.008291203,1
connection_to_LH_VisCent_ExStr_3,0.008248579,1
connection_to_THA-DA-lh,0.008144461,1
connection_to_LH_VisCent_Striate_1,0.0081299525,1
connection_to_LH_DefaultB_IPL_1,0.008085146,1
connection_to_LH_SalVentAttnA_ParMed_1,0.008062058,1
connection_to_LH_SomMotA_2,0.008045917,1
connection_to_LH_SomMotB_Cent_1,0.008015751,1
connection_to_LH_TempPar_1,0.007973829,1
connection_to_LH_DorsAttnA_SPL_1,0.007948946,1
connection_to_LH_DorsAttnA_SPL_3,0.007830205,1
connection_to_LH_DefaultB_PFCd_4,0.007790764,1
connection_to_LH_ContB_Temp_1,0.00778945,1
connection_to_pCAU-lh,0.0077192844,1
connection_to_LH_TempPar_2,0.007702365,1
connection_to_LH_ContA_PFCl_3,0.0076734866,1
connection_to_LH_SomMotB_Aud_3,0.0076414035,1
connection_to_LH_DorsAttnB_PostC_4,0.0075534466,1
connection_to_LH_ContA_IPS_1,0.0075340127,1
connection_to_LH_SomMotA_5,0.0075249723,1
connection_to_LH_SomMotA_1,0.0075190724,1
connection_to_LH_SomMotB_Aud_1,0.007472871,1
connection_to_LH_DefaultB_PFCd_2,0.00745292,1
connection_to_LH_SalVentAttnA_FrOper_2,0.0074194917,1
connection_to_NAc-core-lh,0.0074090604,1
connection_to_LH_SalVentAttnB_Ins_1,0.0074086236,1
connection_to_LH_ContB_IPL_1,0.0073844744,1
connection_to_aHIP-lh,0.0073190215,1
connection_to_LH_ContB_PFClv_1,0.0073128385,1
connection_to_LH_DefaultB_PFCv_1,0.0072101383,1
connection_to_LH_SalVentAttnA_ParOper_1,0.007174079,1
connection_to_LH_DefaultA_pCunPCC_2,0.0070857983,1
connection_to_LH_VisCent_ExStr_1,0.007076735,1
connection_to_LH_SalVentAttnA_Ins_1,0.0070337155,1
connection_to_LH_DefaultB_Temp_4,0.006907756,1
connection_to_LH_SomMotB_S2_1,0.006882694,1
connection_to_LH_SomMotA_6,0.006778073,1
connection_to_LH_VisPeri_ExStrInf_3,0.006717203,1
connection_to_LH_DefaultC_PHC_1,0.0066967253,1
connection_to_LH_SalVentAttnB_IPL_1,0.0066528767,1
connection_to_LH_ContA_Temp_1,0.006469024,1
connection_to_LH_ContC_pCun_2,0.0063751256,1
connection_to_LH_DefaultC_IPL_1,0.006304222,1
connection_to_LH_DefaultA_IPL_1,0.006261106,1
connection_to_LH_DorsAttnA_TempOcc_2,0.0062492737,1
connection_to_LH_ContA_PFCl_2,0.006193335,1
connection_to_LH_DefaultB_PFCd_3,0.0061897254,1
connection_to_LH_SomMotB_Cent_2,0.0060728327,1
connection_to_LH_SalVentAttnB_PFCmp_1,0.0060674227,1
connection_to_LH_ContA_PFClv_1,0.0058510485,1
connection_to_LH_DefaultA_PFCm_2,0.005583814,1
connection_to_LH_VisPeri_ExStrSup_1,0.0042992285,1
connection_to_LH_VisPeri_StriCal_1,0.014287839,2
connection_to_LH_VisCent_ExStr_5,0.014258713,2
connection_to_LH_DefaultA_pCunPCC_1,0.0140934,2
connection_to_LH_VisPeri_ExStrSup_2,0.013529978,2
connection_to_LH_DefaultB_Temp_3,0.013513866,2
connection_to_LH_LimbicA_TempPole_4,0.011919813,2
connection_to_LH_DefaultB_PFCd_1,0.011409316,2
connection_to_LH_VisCent_ExStr_2,0.011137867,2
connection_to_pPUT-lh,0.011137339,2
connection_to_LH_ContA_Cingm_1,0.011121377,2
connection_to_LH_ContA_IPS_3,0.010922332,2
connection_to_LH_DorsAttnB_PostC_1,0.010913211,2
connection_to_LH_VisCent_ExStr_3,0.010871741,2
connection_to_LH_ContC_Cingp_1,0.010682299,2
connection_to_LH_ContB_PFCl_1,0.010557682,2
connection_to_LH_DefaultA_PFCm_1,0.010495356,2
connection_to_THA-VA-lh,0.010482425,2
connection_to_LH_ContA_PFCl_1,0.010382671,2
connection_to_LH_SalVentAttnA_FrOper_1,0.0102763185,2
connection_to_aGP-lh,0.0101579605,2
connection_to_LH_DefaultB_PFCv_3,0.00994092,2
connection_to_LH_DorsAttnB_FEF_1,0.009901528,2
connection_to_LH_SomMotB_S2_2,0.009751764,2
connection_to_LH_DorsAttnA_TempOcc_1,0.009724369,2
connection_to_LH_SalVentAttnA_FrMed_2,0.009681228,2
connection_to_LH_SomMotA_8,0.009597034,2
connection_to_LH_VisCent_ExStr_4,0.009547256,2
connection_to_LH_SomMotA_3,0.009503961,2
connection_to_LH_SomMotB_S2_3,0.009499417,2
connection_to_LH_LimbicB_OFC_2,0.009499052,2
connection_to_LH_LimbicA_TempPole_3,0.009460513,2
connection_to_LH_DefaultB_PFCv_2,0.009423816,2
connection_to_LH_DefaultA_PFCm_3,0.009392144,2
connection_to_THA-DP-lh,0.009382954,2
connection_to_LH_VisPeri_ExStrInf_2,0.009325841,2
connection_to_LH_ContA_PFCl_3,0.00931948,2
connection_to_lAMY-lh,0.009311711,2
connection_to_LH_ContB_PFClv_2,0.009295349,2
connection_to_LH_VisPeri_ExStrInf_1,0.0092075765,2
connection_to_LH_SomMotB_Aud_2,0.009056905,2
connection_to_LH_SomMotA_2,0.009007248,2
connection_to_LH_LimbicB_OFC_1,0.008953338,2
connection_to_LH_ContB_IPL_1,0.00893049,2
connection_to_LH_DefaultA_pCunPCC_3,0.0088185975,2
connection_to_LH_SomMotA_7,0.008815956,2
connection_to_NAc-core-lh,0.00881466,2
connection_to_THA-DA-lh,0.008796463,2
connection_to_mAMY-lh,0.008776042,2
connection_to_LH_SalVentAttnB_PFCl_1,0.008759504,2
connection_to_LH_DefaultB_PFCd_2,0.008745515,2
connection_to_LH_DefaultB_PFCv_4,0.008744217,2
connection_to_LH_DorsAttnB_PostC_2,0.0086926,2
connection_to_LH_SomMotA_4,0.0086798975,2
connection_to_pGP-lh,0.008646563,2
connection_to_LH_DorsAttnB_PostC_3,0.008636298,2
connection_to_LH_LimbicA_TempPole_1,0.008597995,2
connection_to_LH_TempPar_1,0.008512305,2
connection_to_LH_DorsAttnA_SPL_1,0.008502519,2
connection_to_pHIP-lh,0.008433146,2
connection_to_NAc-shell-lh,0.008418942,2
connection_to_LH_DefaultB_Temp_1,0.008408538,2
connection_to_aCAU-lh,0.00830118,2
connection_to_LH_SomMotB_Cent_1,0.0082931705,2
connection_to_LH_SomMotA_1,0.008247453,2
connection_to_LH_VisCent_ExStr_1,0.008193202,2
connection_to_LH_LimbicA_TempPole_2,0.008099348,2
connection_to_LH_ContA_PFCd_1,0.008067233,2
connection_to_LH_SomMotB_Aud_3,0.008055033,2
connection_to_LH_SalVentAttnA_FrMed_1,0.008001761,2
connection_to_LH_DefaultB_Temp_4,0.007955112,2
connection_to_LH_DefaultB_Temp_2,0.007925137,2
connection_to_LH_SalVentAttnA_ParMed_1,0.007922256,2
connection_to_LH_DefaultC_PHC_1,0.007913986,2
connection_to_LH_DefaultA_PFCd_1,0.007876682,2
connection_to_LH_SalVentAttnB_Ins_1,0.0077913105,2
connection_to_pCAU-lh,0.007732361,2
connection_to_LH_DefaultB_IPL_1,0.007717557,2
connection_to_LH_DorsAttnA_SPL_2,0.0077135623,2
connection_to_LH_SomMotB_S2_1,0.0076429346,2
connection_to_LH_DorsAttnB_PostC_4,0.007616806,2
connection_to_LH_SomMotA_6,0.007591751,2
connection_to_LH_SomMotA_5,0.0075774905,2
connection_to_aHIP-lh,0.00753355,2
