feature,avg_importance_gain
connection_to_LH_VisPeri_StriCal_1,0.01409898
connection_to_LH_VisCent_ExStr_5,0.01353995
connection_to_LH_LimbicA_TempPole_4,0.0129605085
connection_to_LH_DefaultB_Temp_3,0.01257728
connection_to_LH_DefaultA_pCunPCC_1,0.01253764
connection_to_LH_VisPeri_ExStrSup_2,0.012127931
connection_to_LH_DefaultB_PFCd_1,0.011627022
connection_to_LH_ContA_IPS_3,0.0115188705
connection_to_pPUT-lh,0.011226217
connection_to_LH_VisCent_ExStr_2,0.0110997325
connection_to_LH_ContB_PFCl_1,0.010691331
connection_to_aGP-lh,0.010641753
connection_to_LH_ContA_Cingm_1,0.010580969
connection_to_THA-VA-lh,0.010553449
connection_to_LH_ContC_Cingp_1,0.01037929
connection_to_LH_VisCent_ExStr_4,0.010252973
connection_to_LH_DorsAttnB_PostC_2,0.010148835
connection_to_LH_SomMotB_S2_3,0.010019521
connection_to_LH_VisPeri_ExStrInf_1,0.009921619
connection_to_LH_SomMotA_3,0.009896108
connection_to_LH_DefaultA_PFCm_3,0.009839439
connection_to_LH_DefaultB_PFCv_3,0.00982771
connection_to_LH_DorsAttnB_PostC_1,0.009815373
connection_to_LH_SomMotB_S2_2,0.009814666
connection_to_LH_SalVentAttnA_FrMed_2,0.009750176
connection_to_LH_ContA_PFCl_1,0.009744821
connection_to_LH_SomMotA_4,0.009721348
connection_to_LH_DefaultA_PFCm_1,0.009706066
connection_to_LH_DorsAttnB_FEF_1,0.009701369
connection_to_LH_SalVentAttnA_FrOper_1,0.009690122
connection_to_LH_VisCent_ExStr_3,0.009584541
connection_to_LH_SomMotA_8,0.009491912
connection_to_LH_LimbicB_OFC_1,0.009425737
connection_to_NAc-shell-lh,0.009400141
connection_to_THA-DP-lh,0.009319259
connection_to_LH_LimbicB_OFC_2,0.009154329
connection_to_LH_ContB_PFClv_2,0.0091422275
connection_to_LH_DorsAttnA_TempOcc_1,0.009137326
connection_to_LH_DefaultA_pCunPCC_3,0.009124589
connection_to_pHIP-lh,0.009097553
connection_to_LH_DefaultB_PFCv_4,0.009070337
connection_to_LH_LimbicA_TempPole_1,0.00904711
connection_to_pGP-lh,0.0090372665
connection_to_LH_DorsAttnB_PostC_3,0.008946869
connection_to_LH_DefaultB_Temp_1,0.008928523
connection_to_LH_SomMotB_Aud_2,0.008923779
connection_to_lAMY-lh,0.008903283
connection_to_LH_DefaultB_PFCd_2,0.008866079
connection_to_LH_VisPeri_ExStrInf_2,0.008831008
connection_to_LH_SalVentAttnB_PFCl_1,0.0087535195
connection_to_LH_LimbicA_TempPole_3,0.008731387
connection_to_LH_DefaultB_PFCv_2,0.008714136
connection_to_mAMY-lh,0.008692913
connection_to_LH_LimbicA_TempPole_2,0.008670845
connection_to_LH_ContA_IPS_2,0.008631811
connection_to_LH_SomMotA_7,0.008572784
connection_to_LH_DefaultA_PFCd_1,0.008542591
connection_to_LH_ContA_PFCl_3,0.008496228
connection_to_THA-DA-lh,0.008495897
connection_to_LH_ContA_PFCd_1,0.008391151
connection_to_LH_SomMotB_Cent_1,0.008382738
connection_to_THA-VP-lh,0.008380027
connection_to_LH_DorsAttnA_SPL_2,0.008258405
connection_to_LH_DefaultC_Rsp_1,0.008240986
connection_to_LH_SomMotA_1,0.008224744
connection_to_LH_TempPar_1,0.008179769
connection_to_LH_ContB_IPL_1,0.008176193
connection_to_LH_DorsAttnA_SPL_1,0.008167497
connection_to_aPUT-lh,0.008149307
connection_to_LH_SomMotB_Aud_3,0.008145585
connection_to_LH_SomMotA_2,0.008135128
connection_to_LH_DorsAttnA_ParOcc_1,0.008092127
connection_to_pCAU-lh,0.008081931
connection_to_aCAU-lh,0.0079953605
connection_to_LH_DefaultB_Temp_4,0.007968755
connection_to_LH_ContC_pCun_1,0.0079322
connection_to_LH_SalVentAttnA_FrMed_1,0.00792767
connection_to_NAc-core-lh,0.007896415
connection_to_LH_DorsAttnB_PostC_4,0.007810641
connection_to_LH_SomMotB_Aud_1,0.0077941213
connection_to_LH_SalVentAttnB_Ins_1,0.0077767596
connection_to_LH_SalVentAttnA_ParMed_1,0.0077264183
connection_to_LH_DefaultB_Temp_2,0.0076845386
connection_to_LH_VisCent_Striate_1,0.0076061147
connection_to_LH_DefaultA_pCunPCC_2,0.0075690835
connection_to_LH_DefaultB_IPL_1,0.0075649545
connection_to_LH_ContB_Temp_1,0.0074559315
connection_to_LH_SomMotB_S2_1,0.007446427
connection_to_LH_SalVentAttnA_FrOper_2,0.0074123386
connection_to_LH_DefaultB_PFCd_4,0.007304697
connection_to_LH_VisCent_ExStr_1,0.007248493
connection_to_LH_SomMotA_5,0.007241286
connection_to_LH_SalVentAttnA_ParOper_1,0.0072364346
connection_to_aHIP-lh,0.0072333985
connection_to_LH_TempPar_2,0.0072202873
connection_to_LH_ContB_PFClv_1,0.0071639433
connection_to_LH_SomMotA_6,0.007132443
connection_to_LH_DorsAttnA_SPL_3,0.0070890076
connection_to_LH_DefaultB_PFCv_1,0.0070079584
connection_to_LH_DefaultC_PHC_1,0.0069373995
connection_to_LH_ContA_IPS_1,0.00690107
connection_to_LH_ContA_Temp_1,0.0068642343
connection_to_LH_DorsAttnA_TempOcc_2,0.006682591
connection_to_LH_SalVentAttnA_Ins_1,0.0066083837
connection_to_LH_VisPeri_ExStrInf_3,0.0066043236
connection_to_LH_DefaultC_IPL_1,0.006449589
connection_to_LH_ContC_pCun_2,0.006372581
connection_to_LH_SomMotB_Cent_2,0.006231459
connection_to_LH_DefaultA_IPL_1,0.006191894
connection_to_LH_SalVentAttnB_IPL_1,0.006159539
connection_to_LH_ContA_PFClv_1,0.006009709
connection_to_LH_DefaultB_PFCd_3,0.005986948
connection_to_LH_ContA_PFCl_2,0.005891777
connection_to_LH_SalVentAttnB_PFCmp_1,0.005642455
connection_to_LH_DefaultA_PFCm_2,0.0056384555
connection_to_LH_VisPeri_ExStrSup_1,0.004631243
