network,accuracy,precision,recall,f1_score,n_positive_samples,n_total_samples
DefaultA,0.9998701123768473,1.0,0.9849330357142857,0.9924017490477379,1792,25984
VisCent,0.9998588875205255,0.9992354740061162,0.984375,0.9917399479244654,1344,25984
SalVentAttnA,0.9998570548909219,1.0,0.9834183673469388,0.9916271503040213,1568,25984
SalVentAttnB,0.9998460591133005,0.997737556561086,0.984375,0.9910010679266851,896,25984
LimbicB,0.9998460591133005,1.0,0.9821428571428572,0.9909858726253582,448,25984
ContA,0.9998422105911331,0.9938056853924758,0.9879464285714287,0.9908321048190805,2240,25984
SomMotB,0.9998412484605912,0.9977526160522484,0.9838169642857143,0.9907060993240635,1792,25984
DorsAttnB,0.9998229679802956,0.9990990990990991,0.9803571428571429,0.9896098066705568,1120,25984
SomMotA,0.9998220058497538,0.9988763534259858,0.98046875,0.9895621522481169,1792,25984
VisPeri,0.9998139880952381,0.9985052316890881,0.9799107142857143,0.9891046221080195,1344,25984
DefaultC,0.9998075738916258,0.9985052316890881,0.9791666666666666,0.9887096310051451,672,25984
DefaultB,0.9997957322849564,0.9989493945758869,0.9773351648351648,0.9879956397136909,2912,25984
ContB,0.9997921798029556,0.9981858570899667,0.9776785714285714,0.9878122658270245,1120,25984
LimbicA,0.9997883312807883,0.9933115610291984,0.9821428571428572,0.9876397228600895,896,25984
TempPar,0.9997883312807883,0.9977272727272728,0.9776785714285714,0.9875999023854554,448,25984
Subcortical,0.9997811153017242,0.9919413465450816,0.9827008928571429,0.9872295398308487,3584,25984
DorsAttnA,0.9997562602627258,1.0,0.9717261904761906,0.9856211367285468,1344,25984
ContC,0.9997306034482758,1.0,0.96875,0.9840818528520545,672,25984
