network,n_regions,n_samples,accuracy,precision,recall,f1_score
VisPeri,6,1200,0.9516666666666667,0.9991364421416234,0.9516666666666667,0.9747932061874504
SomMotA,11,2200,0.9468181818181818,0.9909026454566251,0.9468181818181818,0.9682770876637812
VisCent,6,1200,0.9375,0.993657836494403,0.9375,0.964487958379053
DefaultC,3,600,0.9333333333333333,0.9981785063752276,0.9333333333333332,0.9644988506153368
DorsAttnB,5,1000,0.926,0.9956276133351085,0.9259999999999999,0.9588597792214479
DefaultB,4,800,0.9225,1.0,0.9225,0.959543886843813
DorsAttnA,6,1200,0.9166666666666666,0.9908945960491383,0.9166666666666666,0.9521065219805189
ContC,3,600,0.9033333333333333,1.0,0.9033333333333333,0.94867741656714
ContB,10,2000,0.9,0.9762870202155373,0.9,0.9361425757320406
SomMotB,7,1400,0.8985714285714286,0.9843204067099459,0.8985714285714286,0.93930067169151
SalVentAttnB,6,1200,0.8966666666666666,0.9981480909904628,0.8966666666666666,0.9444239554813021
ContA,6,1200,0.8666666666666667,0.9870359923498225,0.8666666666666666,0.9187436884774024
LimbicB,4,800,0.86125,0.9897690588839398,0.8612500000000001,0.9206463278247403
TempPar,4,800,0.85875,0.9871008619019105,0.85875,0.9184441514662506
DefaultA,6,1200,0.8575,0.9867131874073535,0.8574999999999999,0.9139742256957227
SalVentAttnA,9,1800,0.8527777777777777,0.9709102779992259,0.8527777777777779,0.9067372596287449
LimbicA,4,800,0.745,0.958355835089568,0.745,0.8349510276172126
Subcortical,16,3200,0.6621875,0.7693013141669607,0.6621874999999999,0.7099438784969463
