region_id,region_name,network,n_samples,accuracy,precision,recall,f1_score,support
15,RH_SomMotA_4,SomMotA,200,0.99,0.9949748743718593,0.99,0.9924812030075187,200
5,RH_VisCent_ExStr_5,VisCent,200,0.99,0.9850746268656716,0.99,0.9875311720698254,200
17,RH_SomMotA_6,SomMotA,200,0.985,1.0,0.985,0.9924433249370277,200
0,RH_VisCent_ExStr_1,VisCent,200,0.975,0.9948979591836735,0.975,0.9848484848484849,200
39,RH_DorsAttnB_PostC_4,DorsAttnB,200,0.975,0.9701492537313433,0.975,0.972568578553616,200
73,RH_ContB_IPL_2,ContB,200,0.975,1.0,0.975,0.9873417721518988,200
94,RH_DefaultC_Rsp_1,DefaultC,200,0.97,0.9651741293532339,0.97,0.9675810473815462,200
8,RH_VisPeri_StriCal_1,VisPeri,200,0.965,1.0,0.965,0.9821882951653944,200
64,RH_ContA_IPS_1,ContA,200,0.965,0.965,0.965,0.965,200
65,RH_ContA_IPS_2,ContA,200,0.965,0.9948453608247423,0.965,0.9796954314720813,200
12,RH_SomMotA_1,SomMotA,200,0.96,0.9896907216494846,0.96,0.9746192893401016,200
10,RH_VisPeri_ExStrSup_2,VisPeri,200,0.96,0.9696969696969697,0.96,0.964824120603015,200
88,RH_DefaultA_PFCm_3,DefaultA,200,0.96,0.9948186528497409,0.96,0.9770992366412213,200
28,RH_SomMotB_S2_4,SomMotB,200,0.955,0.9695431472081218,0.955,0.9622166246851386,200
80,RH_ContC_pCun_1,ContC,200,0.955,0.9646464646464646,0.955,0.9597989949748744,200
38,RH_DorsAttnB_PostC_3,DorsAttnB,200,0.955,0.9646464646464646,0.955,0.9597989949748744,200
32,RH_DorsAttnA_SPL_1,DorsAttnA,200,0.955,0.9794871794871794,0.955,0.9670886075949368,200
6,RH_VisPeri_ExStrInf_1,VisPeri,200,0.955,0.9695431472081218,0.955,0.9622166246851386,200
11,RH_VisPeri_ExStrSup_3,VisPeri,200,0.95,0.979381443298969,0.95,0.9644670050761421,200
85,RH_DefaultA_pCunPCC_1,DefaultA,200,0.95,0.979381443298969,0.95,0.9644670050761421,200
72,RH_ContB_IPL_1,ContB,200,0.945,0.9742268041237113,0.945,0.9593908629441624,200
4,RH_VisCent_ExStr_4,VisCent,200,0.945,0.984375,0.945,0.9642857142857143,200
21,RH_SomMotA_10,SomMotA,200,0.945,0.984375,0.945,0.9642857142857143,200
20,RH_SomMotA_9,SomMotA,200,0.945,0.9642857142857143,0.945,0.9545454545454546,200
7,RH_VisPeri_ExStrInf_2,VisPeri,200,0.945,0.9593908629441624,0.945,0.9521410579345088,200
92,RH_DefaultB_PFCv_1,DefaultB,200,0.945,0.9692307692307692,0.945,0.9569620253164557,200
76,RH_ContB_PFClv_1,ContB,200,0.94,0.9353233830845771,0.94,0.9376558603491272,200
22,RH_SomMotA_11,SomMotA,200,0.94,0.9842931937172775,0.94,0.9616368286445013,200
37,RH_DorsAttnB_PostC_2,DorsAttnB,200,0.94,0.9894736842105263,0.94,0.9641025641025641,200
41,RH_SalVentAttnA_ParOper_1,SalVentAttnA,200,0.94,0.9947089947089947,0.94,0.9665809768637532,200
30,RH_DorsAttnA_TempOcc_1,DorsAttnA,200,0.94,0.9842931937172775,0.94,0.9616368286445013,200
9,RH_VisPeri_ExStrSup_1,VisPeri,200,0.935,0.9842105263157894,0.935,0.958974358974359,200
16,RH_SomMotA_5,SomMotA,200,0.935,0.9540816326530612,0.935,0.9444444444444444,200
13,RH_SomMotA_2,SomMotA,200,0.935,0.9639175257731959,0.935,0.949238578680203,200
35,RH_DorsAttnA_SPL_4,DorsAttnA,200,0.935,0.9739583333333334,0.935,0.9540816326530612,200
46,RH_SalVentAttnA_FrMed_1,SalVentAttnA,200,0.935,0.9689119170984456,0.935,0.9516539440203562,200
19,RH_SomMotA_8,SomMotA,200,0.935,0.949238578680203,0.935,0.9420654911838791,200
78,RH_ContB_PFCmp_1,ContB,200,0.935,0.9077669902912622,0.935,0.9211822660098522,200
36,RH_DorsAttnB_PostC_1,DorsAttnB,200,0.93,0.9587628865979382,0.93,0.9441624365482234,200
91,RH_DefaultB_PFCd_1,DefaultB,200,0.93,0.9738219895287958,0.93,0.9514066496163683,200
89,RH_DefaultB_Temp_1,DefaultB,200,0.93,0.9393939393939394,0.93,0.9346733668341709,200
14,RH_SomMotA_3,SomMotA,200,0.93,0.9538461538461539,0.93,0.9417721518987342,200
55,RH_SalVentAttnB_PFCmp_1,SalVentAttnB,200,0.925,0.9685863874345549,0.925,0.9462915601023018,200
45,RH_SalVentAttnA_FrOper_1,SalVentAttnA,200,0.925,0.9893048128342246,0.925,0.9560723514211886,200
1,RH_VisCent_ExStr_2,VisCent,200,0.925,0.9585492227979274,0.925,0.9414758269720102,200
63,RH_LimbicA_TempPole_4,LimbicA,200,0.92,0.9292929292929293,0.92,0.9246231155778895,200
95,RH_DefaultC_PHC_1,DefaultC,200,0.92,0.968421052631579,0.92,0.9435897435897436,200
18,RH_SomMotA_7,SomMotA,200,0.915,0.9014778325123153,0.915,0.9081885856079405,200
50,RH_SalVentAttnB_IPL_1,SalVentAttnB,200,0.915,0.973404255319149,0.915,0.9432989690721649,200
33,RH_DorsAttnA_SPL_2,DorsAttnA,200,0.915,0.9631578947368421,0.915,0.9384615384615385,200
54,RH_SalVentAttnB_Ins_2,SalVentAttnB,200,0.915,0.915,0.915,0.915,200
24,RH_SomMotB_Aud_2,SomMotB,200,0.91,0.9285714285714286,0.91,0.9191919191919192,200
58,RH_LimbicB_OFC_3,LimbicB,200,0.91,0.9578947368421052,0.91,0.9333333333333333,200
93,RH_DefaultC_IPL_1,DefaultC,200,0.91,0.9381443298969072,0.91,0.9238578680203046,200
68,RH_ContA_PFCl_2,ContA,200,0.91,0.9238578680203046,0.91,0.9168765743073047,200
75,RH_ContB_PFCld_2,ContB,200,0.91,0.9528795811518325,0.91,0.9309462915601023,200
48,RH_SalVentAttnA_ParMed_2,SalVentAttnA,200,0.905,0.9627659574468085,0.905,0.9329896907216495,200
81,RH_ContC_pCun_2,ContC,200,0.905,0.9427083333333334,0.905,0.923469387755102,200
52,RH_SalVentAttnB_PFCl_1,SalVentAttnB,200,0.9,0.9326424870466321,0.9,0.916030534351145,200
79,RH_ContB_PFCld_3,ContB,200,0.9,0.9523809523809523,0.9,0.9254498714652957,200
44,RH_SalVentAttnA_Ins_2,SalVentAttnA,200,0.9,0.9230769230769231,0.9,0.9113924050632911,200
23,RH_SomMotB_Aud_1,SomMotB,200,0.9,0.9278350515463918,0.9,0.9137055837563451,200
27,RH_SomMotB_S2_3,SomMotB,200,0.9,0.9326424870466321,0.9,0.916030534351145,200
67,RH_ContA_PFCl_1,ContA,200,0.895,0.8994974874371859,0.895,0.8972431077694235,200
3,RH_VisCent_ExStr_3,VisCent,200,0.895,0.9086294416243654,0.895,0.9017632241813602,200
49,RH_SalVentAttnA_FrMed_2,SalVentAttnA,200,0.895,0.9623655913978495,0.895,0.927461139896373,200
34,RH_DorsAttnA_SPL_3,DorsAttnA,200,0.895,0.9322916666666666,0.895,0.9132653061224489,200
2,RH_VisCent_Striate_1,VisCent,200,0.895,0.9623655913978495,0.895,0.927461139896373,200
51,RH_SalVentAttnB_PFClv_1,SalVentAttnB,200,0.89,0.9081632653061225,0.89,0.898989898989899,200
57,RH_LimbicB_OFC_2,LimbicB,200,0.89,0.9081632653061225,0.89,0.898989898989899,200
86,RH_DefaultA_PFCm_1,DefaultA,200,0.89,0.9726775956284153,0.89,0.9295039164490861,200
90,RH_DefaultB_AntTemp_1,DefaultB,200,0.885,0.917098445595855,0.885,0.9007633587786259,200
29,RH_SomMotB_Cent_1,SomMotB,200,0.885,0.8894472361809045,0.885,0.8872180451127819,200
25,RH_SomMotB_S2_1,SomMotB,200,0.885,0.921875,0.885,0.9030612244897959,200
70,RH_ContB_Temp_1,ContB,200,0.88,0.8844221105527639,0.88,0.8822055137844611,200
99,RH_TempPar_4,TempPar,200,0.87,0.9109947643979057,0.87,0.8900255754475703,200
114,aCAU-rh,Subcortical,200,0.87,0.87,0.87,0.87,200
100,aHIP-rh,Subcortical,200,0.87,0.8207547169811321,0.87,0.8446601941747572,200
66,RH_ContA_PFCd_1,ContA,200,0.87,0.8877551020408163,0.87,0.8787878787878788,200
77,RH_ContB_PFClv_2,ContB,200,0.87,0.8656716417910447,0.87,0.8678304239401496,200
83,RH_DefaultA_IPL_1,DefaultA,200,0.865,0.9010416666666666,0.865,0.8826530612244898,200
84,RH_DefaultA_PFCd_1,DefaultA,200,0.865,0.8781725888324873,0.865,0.871536523929471,200
98,RH_TempPar_3,TempPar,200,0.86,0.8775510204081632,0.86,0.8686868686868687,200
31,RH_DorsAttnA_ParOcc_1,DorsAttnA,200,0.86,0.8431372549019608,0.86,0.8514851485148515,200
26,RH_SomMotB_S2_2,SomMotB,200,0.855,0.9095744680851063,0.855,0.8814432989690721,200
97,RH_TempPar_2,TempPar,200,0.855,0.8724489795918368,0.855,0.8636363636363636,200
96,RH_TempPar_1,TempPar,200,0.85,0.8415841584158416,0.85,0.845771144278607,200
82,RH_ContC_Cingp_1,ContC,200,0.85,0.918918918918919,0.85,0.8831168831168831,200
112,aPUT-rh,Subcortical,200,0.845,0.8894736842105263,0.845,0.8666666666666667,200
53,RH_SalVentAttnB_Ins_1,SalVentAttnB,200,0.835,0.8835978835978836,0.835,0.8586118251928021,200
59,RH_LimbicB_OFC_4,LimbicB,200,0.83,0.83,0.83,0.83,200
40,RH_DorsAttnB_FEF_1,DorsAttnB,200,0.83,0.8426395939086294,0.83,0.836272040302267,200
71,RH_ContB_Temp_2,ContB,200,0.825,0.8823529411764706,0.825,0.8527131782945736,200
74,RH_ContB_PFCld_1,ContB,200,0.82,0.7922705314009661,0.82,0.8058968058968059,200
56,RH_LimbicB_OFC_1,LimbicB,200,0.815,0.7990196078431373,0.815,0.806930693069307,200
103,mAMY-rh,Subcortical,200,0.795,0.6973684210526315,0.795,0.7429906542056075,200
109,NAc-core-rh,Subcortical,200,0.785,0.7268518518518519,0.785,0.7548076923076923,200
115,pCAU-rh,Subcortical,200,0.785,0.8134715025906736,0.785,0.7989821882951654,200
62,RH_LimbicA_TempPole_3,LimbicA,200,0.755,0.6651982378854625,0.755,0.7072599531615925,200
42,RH_SalVentAttnA_PrC_1,SalVentAttnA,200,0.735,0.6391304347826087,0.735,0.6837209302325581,200
47,RH_SalVentAttnA_ParMed_1,SalVentAttnA,200,0.725,0.7073170731707317,0.725,0.7160493827160493,200
43,RH_SalVentAttnA_Ins_1,SalVentAttnA,200,0.715,0.6441441441441441,0.715,0.6777251184834123,200
113,pPUT-rh,Subcortical,200,0.715,0.7114427860696517,0.715,0.713216957605985,200
60,RH_LimbicA_TempPole_1,LimbicA,200,0.7,0.6194690265486725,0.7,0.6572769953051644,200
107,THA-DA-rh,Subcortical,200,0.655,0.5745614035087719,0.655,0.6121495327102804,200
105,THA-VP-rh,Subcortical,200,0.65,0.5263157894736842,0.65,0.5816554809843401,200
106,THA-VA-rh,Subcortical,200,0.63,0.5121951219512195,0.63,0.5650224215246636,200
87,RH_DefaultA_PFCm_2,DefaultA,200,0.615,0.4979757085020243,0.615,0.5503355704697986,200
108,NAc-shell-rh,Subcortical,200,0.615,0.5829383886255924,0.615,0.5985401459854015,200
102,lAMY-rh,Subcortical,200,0.61,0.5258620689655172,0.61,0.5648148148148148,200
61,RH_LimbicA_TempPole_2,LimbicA,200,0.605,0.5401785714285714,0.605,0.5707547169811321,200
69,RH_ContA_Cingm_1,ContA,200,0.595,0.49377593360995853,0.595,0.5396825396825397,200
101,pHIP-rh,Subcortical,200,0.59,0.5339366515837104,0.59,0.5605700712589073,200
104,THA-DP-rh,Subcortical,200,0.55,0.44176706827309237,0.55,0.48997772828507796,200
110,pGP-rh,Subcortical,200,0.405,0.3875598086124402,0.405,0.3960880195599022,200
111,aGP-rh,Subcortical,200,0.225,0.24456521739130435,0.225,0.234375,200
