region_idx,region_name,network,hemisphere,recall_rest,recall_task,drop
0,RH_VisCent_ExStr_1,VisCent,R,0.9866071428571429,1.0,-0.013392857142857095
1,RH_VisCent_ExStr_2,VisCent,R,0.9821428571428571,0.955,0.027142857142857135
2,RH_VisCent_Striate_1,VisCent,R,0.9464285714285714,0.91,0.036428571428571366
3,RH_VisCent_ExStr_3,VisCent,R,0.9330357142857143,0.935,-0.0019642857142857517
4,RH_VisCent_ExStr_4,VisCent,R,0.9910714285714286,0.985,0.0060714285714286165
5,RH_VisCent_ExStr_5,VisCent,R,0.9910714285714286,0.99,0.001071428571428612
6,RH_VisPeri_ExStrInf_1,VisPeri,R,0.9955357142857143,0.985,0.010535714285714315
7,RH_VisPeri_ExStrInf_2,VisPeri,R,0.9821428571428571,0.925,0.05714285714285705
8,RH_VisPeri_StriCal_1,VisPeri,R,0.9910714285714286,0.98,0.011071428571428621
9,RH_VisPeri_ExStrSup_1,VisPeri,R,0.9910714285714286,0.96,0.03107142857142864
10,RH_VisPeri_ExStrSup_2,VisPeri,R,1.0,0.97,0.030000000000000027
11,RH_VisPeri_ExStrSup_3,VisPeri,R,0.9910714285714286,0.95,0.04107142857142865
12,RH_SomMotA_1,SomMotA,R,0.9821428571428571,0.99,-0.007857142857142896
13,RH_SomMotA_2,SomMotA,R,0.9821428571428571,0.96,0.02214285714285713
14,RH_SomMotA_3,SomMotA,R,0.9553571428571429,0.965,-0.009642857142857064
15,RH_SomMotA_4,SomMotA,R,0.96875,0.995,-0.026249999999999996
16,RH_SomMotA_5,SomMotA,R,0.9285714285714286,0.97,-0.04142857142857137
17,RH_SomMotA_6,SomMotA,R,0.9866071428571429,1.0,-0.013392857142857095
18,RH_SomMotA_7,SomMotA,R,0.9598214285714286,0.965,-0.005178571428571366
19,RH_SomMotA_8,SomMotA,R,0.9598214285714286,0.945,0.014821428571428652
20,RH_SomMotA_9,SomMotA,R,0.9732142857142857,0.95,0.023214285714285743
21,RH_SomMotA_10,SomMotA,R,0.9776785714285714,0.965,0.012678571428571428
22,RH_SomMotA_11,SomMotA,R,0.9598214285714286,0.93,0.029821428571428554
23,RH_SomMotB_Aud_1,SomMotB,R,0.9910714285714286,0.92,0.07107142857142856
24,RH_SomMotB_Aud_2,SomMotB,R,0.9642857142857143,0.915,0.049285714285714266
25,RH_SomMotB_S2_1,SomMotB,R,0.9553571428571429,0.87,0.08535714285714291
26,RH_SomMotB_S2_2,SomMotB,R,0.96875,0.88,0.08875
27,RH_SomMotB_S2_3,SomMotB,R,0.9776785714285714,0.925,0.05267857142857135
28,RH_SomMotB_S2_4,SomMotB,R,0.9955357142857143,0.975,0.020535714285714324
29,RH_SomMotB_Cent_1,SomMotB,R,0.9375,0.89,0.04749999999999999
30,RH_DorsAttnA_TempOcc_1,DorsAttnA,R,0.9866071428571429,0.98,0.0066071428571429225
31,RH_DorsAttnA_ParOcc_1,DorsAttnA,R,0.8794642857142857,0.895,-0.01553571428571432
32,RH_DorsAttnA_SPL_1,DorsAttnA,R,0.9732142857142857,0.97,0.003214285714285725
33,RH_DorsAttnA_SPL_2,DorsAttnA,R,0.9776785714285714,0.96,0.017678571428571432
34,RH_DorsAttnA_SPL_3,DorsAttnA,R,0.9821428571428571,0.92,0.062142857142857055
35,RH_DorsAttnA_SPL_4,DorsAttnA,R,0.9955357142857143,0.955,0.04053571428571434
36,RH_DorsAttnB_PostC_1,DorsAttnB,R,0.9732142857142857,0.91,0.06321428571428567
37,RH_DorsAttnB_PostC_2,DorsAttnB,R,0.9375,0.98,-0.04249999999999998
38,RH_DorsAttnB_PostC_3,DorsAttnB,R,0.96875,0.985,-0.016249999999999987
39,RH_DorsAttnB_PostC_4,DorsAttnB,R,0.9866071428571429,0.99,-0.0033928571428570864
40,RH_DorsAttnB_FEF_1,DorsAttnB,R,0.9330357142857143,0.865,0.06803571428571431
41,RH_SalVentAttnA_ParOper_1,SalVentAttnA,R,0.9910714285714286,0.985,0.0060714285714286165
42,RH_SalVentAttnA_PrC_1,SalVentAttnA,R,0.8348214285714286,0.565,0.26982142857142866
43,RH_SalVentAttnA_Ins_1,SalVentAttnA,R,0.8169642857142857,0.73,0.08696428571428572
44,RH_SalVentAttnA_Ins_2,SalVentAttnA,R,0.9732142857142857,0.92,0.05321428571428566
45,RH_SalVentAttnA_FrOper_1,SalVentAttnA,R,1.0,0.955,0.04500000000000004
46,RH_SalVentAttnA_FrMed_1,SalVentAttnA,R,0.9866071428571429,0.965,0.021607142857142936
47,RH_SalVentAttnA_ParMed_1,SalVentAttnA,R,0.84375,0.795,0.04874999999999996
48,RH_SalVentAttnA_ParMed_2,SalVentAttnA,R,0.9241071428571429,0.96,-0.03589285714285706
49,RH_SalVentAttnA_FrMed_2,SalVentAttnA,R,0.9553571428571429,0.96,-0.00464285714285706
50,RH_SalVentAttnB_IPL_1,SalVentAttnB,R,0.9464285714285714,0.91,0.036428571428571366
51,RH_SalVentAttnB_PFClv_1,SalVentAttnB,R,0.9330357142857143,0.9,0.03303571428571428
52,RH_SalVentAttnB_PFCl_1,SalVentAttnB,R,0.9464285714285714,0.915,0.03142857142857136
53,RH_SalVentAttnB_Ins_1,SalVentAttnB,R,0.9017857142857143,0.905,-0.003214285714285725
54,RH_SalVentAttnB_Ins_2,SalVentAttnB,R,0.9866071428571429,0.95,0.03660714285714295
55,RH_SalVentAttnB_PFCmp_1,SalVentAttnB,R,0.96875,0.93,0.03874999999999995
56,RH_LimbicB_OFC_1,LimbicB,R,0.8392857142857143,0.88,-0.0407142857142857
57,RH_LimbicB_OFC_2,LimbicB,R,0.9285714285714286,0.935,-0.00642857142857145
58,RH_LimbicB_OFC_3,LimbicB,R,0.9776785714285714,0.945,0.032678571428571446
59,RH_LimbicB_OFC_4,LimbicB,R,0.8705357142857143,0.855,0.01553571428571432
60,RH_LimbicA_TempPole_1,LimbicA,R,0.7991071428571429,0.77,0.029107142857142887
61,RH_LimbicA_TempPole_2,LimbicA,R,0.7633928571428571,0.645,0.11839285714285708
62,RH_LimbicA_TempPole_3,LimbicA,R,0.7589285714285714,0.765,-0.0060714285714286165
63,RH_LimbicA_TempPole_4,LimbicA,R,0.9107142857142857,0.925,-0.014285714285714346
64,RH_ContA_IPS_1,ContA,R,0.9732142857142857,0.985,-0.011785714285714288
65,RH_ContA_IPS_2,ContA,R,0.9955357142857143,0.99,0.0055357142857143105
66,RH_ContA_PFCd_1,ContA,R,0.9151785714285714,0.865,0.050178571428571406
67,RH_ContA_PFCl_1,ContA,R,0.9776785714285714,0.835,0.14267857142857143
68,RH_ContA_PFCl_2,ContA,R,0.9151785714285714,0.915,0.00017857142857136132
69,RH_ContA_Cingm_1,ContA,R,0.5848214285714286,0.475,0.10982142857142863
70,RH_ContB_Temp_1,ContB,R,0.9732142857142857,0.93,0.04321428571428565
71,RH_ContB_Temp_2,ContB,R,0.9151785714285714,0.89,0.025178571428571384
72,RH_ContB_IPL_1,ContB,R,0.96875,0.98,-0.011249999999999982
73,RH_ContB_IPL_2,ContB,R,0.9776785714285714,0.99,-0.012321428571428594
74,RH_ContB_PFCld_1,ContB,R,0.9017857142857143,0.805,0.09678571428571425
75,RH_ContB_PFCld_2,ContB,R,0.9642857142857143,0.98,-0.01571428571428568
76,RH_ContB_PFClv_1,ContB,R,0.9375,0.97,-0.03249999999999997
77,RH_ContB_PFClv_2,ContB,R,0.875,0.895,-0.020000000000000018
78,RH_ContB_PFCmp_1,ContB,R,0.9732142857142857,0.98,-0.006785714285714284
79,RH_ContB_PFCld_3,ContB,R,0.9598214285714286,0.935,0.02482142857142855
80,RH_ContC_pCun_1,ContC,R,0.9955357142857143,0.975,0.020535714285714324
81,RH_ContC_pCun_2,ContC,R,0.96875,0.875,0.09375
82,RH_ContC_Cingp_1,ContC,R,0.9553571428571429,0.83,0.12535714285714294
83,RH_DefaultA_IPL_1,DefaultA,R,0.9196428571428571,0.925,-0.005357142857142949
84,RH_DefaultA_PFCd_1,DefaultA,R,0.90625,0.84,0.06625000000000003
85,RH_DefaultA_pCunPCC_1,DefaultA,R,0.9910714285714286,0.935,0.05607142857142855
86,RH_DefaultA_PFCm_1,DefaultA,R,0.9821428571428571,0.93,0.052142857142857046
87,RH_DefaultA_PFCm_2,DefaultA,R,0.5714285714285714,0.625,-0.0535714285714286
88,RH_DefaultA_PFCm_3,DefaultA,R,0.9821428571428571,0.965,0.017142857142857126
89,RH_DefaultB_Temp_1,DefaultB,R,0.9821428571428571,0.94,0.04214285714285715
90,RH_DefaultB_AntTemp_1,DefaultB,R,0.9330357142857143,0.85,0.08303571428571432
91,RH_DefaultB_PFCd_1,DefaultB,R,0.9598214285714286,0.965,-0.005178571428571366
92,RH_DefaultB_PFCv_1,DefaultB,R,0.9776785714285714,0.99,-0.012321428571428594
93,RH_DefaultC_IPL_1,DefaultC,R,0.9508928571428571,0.91,0.040892857142857064
94,RH_DefaultC_Rsp_1,DefaultC,R,0.9866071428571429,0.975,0.011607142857142927
95,RH_DefaultC_PHC_1,DefaultC,R,0.9598214285714286,0.975,-0.015178571428571375
96,RH_TempPar_1,TempPar,R,0.9419642857142857,0.84,0.10196428571428573
97,RH_TempPar_2,TempPar,R,0.9330357142857143,0.87,0.0630357142857143
98,RH_TempPar_3,TempPar,R,0.9330357142857143,0.93,0.0030357142857142527
99,RH_TempPar_4,TempPar,R,0.9508928571428571,0.945,0.005892857142857144
100,aHIP-rh,Subcortical,R,0.9419642857142857,0.855,0.08696428571428572
101,pHIP-rh,Subcortical,R,0.8080357142857143,0.6,0.20803571428571432
102,lAMY-rh,Subcortical,R,0.8169642857142857,0.645,0.17196428571428568
103,mAMY-rh,Subcortical,R,0.8973214285714286,0.77,0.12732142857142859
104,THA-DP-rh,Subcortical,R,0.6964285714285714,0.46,0.23642857142857138
105,THA-VP-rh,Subcortical,R,0.7767857142857143,0.575,0.20178571428571435
106,THA-VA-rh,Subcortical,R,0.8705357142857143,0.54,0.33053571428571427
107,THA-DA-rh,Subcortical,R,0.8526785714285714,0.64,0.21267857142857138
