network,accuracy,precision,recall,f1_score,n_positive_samples,n_total_samples
VisPeri,0.9984541769293925,0.9971734892787524,0.8229166666666666,0.9012088702254563,1344,25984
ContC,0.9977422003284072,0.9931972789115647,0.7425595238095238,0.8477072105075135,672,25984
DefaultB,0.9977005080049262,0.9940063747228381,0.7377232142857143,0.846383626710359,896,25984
VisCent,0.9977422003284072,0.9834684049800329,0.7477678571428572,0.8434624736384609,1344,25984
SomMotB,0.9976084183673469,0.9951496048286659,0.725765306122449,0.8368284983586154,1568,25984
DorsAttnA,0.9975690168308703,0.9705821750907418,0.7380952380952381,0.8358600155099074,1344,25984
DefaultC,0.997511288998358,0.9812228955028813,0.7247023809523809,0.83274088732532,672,25984
DorsAttnB,0.9972983374384237,0.9525133099405225,0.7178571428571429,0.8175530465516513,1120,25984
SomMotA,0.997085619122257,0.9778782232955243,0.6765422077922078,0.7985025443618462,2464,25984
ContB,0.9970635775862069,0.9620551203521563,0.6830357142857142,0.7950100974183052,2240,25984
SalVentAttnB,0.9968185550082103,0.9592462849041796,0.65625,0.7739874690015606,1344,25984
TempPar,0.9965267087438424,0.9673761491015936,0.6183035714285714,0.7542782988748961,896,25984
SalVentAttnA,0.9966902709359606,0.9625124304491788,0.6359126984126984,0.7534885865091105,2016,25984
DefaultA,0.9964401169950738,0.9241652706486466,0.6108630952380952,0.7001483213851042,1344,25984
ContA,0.9962797619047619,0.8476144872960222,0.6160714285714285,0.6984265115643483,1344,25984
LimbicB,0.9960071582512315,0.9636534727641255,0.5558035714285714,0.6956095831223855,896,25984
LimbicA,0.9940925184729064,0.8581096363774571,0.36941964285714285,0.5119792319421815,896,25984
Subcortical,0.994328240455665,0.872512066907085,0.3685825892857143,0.4932461397172125,3584,25984
