region_idx,region_name,network,hemisphere,recall,n_samples
0,RH_VisCent_ExStr_1,VisCent,R,0.9866071428571429,224
1,RH_VisCent_ExStr_2,VisCent,R,0.9821428571428571,224
2,RH_VisCent_Striate_1,VisCent,R,0.9464285714285714,224
3,RH_VisCent_ExStr_3,VisCent,R,0.9330357142857143,224
4,RH_VisCent_ExStr_4,VisCent,R,0.9910714285714286,224
5,RH_VisCent_ExStr_5,VisCent,R,0.9910714285714286,224
6,RH_VisPeri_ExStrInf_1,VisPeri,R,0.9955357142857143,224
7,RH_VisPeri_ExStrInf_2,VisPeri,R,0.9821428571428571,224
8,RH_VisPeri_StriCal_1,VisPeri,R,0.9910714285714286,224
9,RH_VisPeri_ExStrSup_1,VisPeri,R,0.9910714285714286,224
10,RH_VisPeri_ExStrSup_2,VisPeri,R,1.0,224
11,RH_VisPeri_ExStrSup_3,VisPeri,R,0.9910714285714286,224
12,RH_SomMotA_1,SomMotA,R,0.9821428571428571,224
13,RH_SomMotA_2,SomMotA,R,0.9821428571428571,224
14,RH_SomMotA_3,SomMotA,R,0.9553571428571429,224
15,RH_SomMotA_4,SomMotA,R,0.96875,224
16,RH_SomMotA_5,SomMotA,R,0.9285714285714286,224
17,RH_SomMotA_6,SomMotA,R,0.9866071428571429,224
18,RH_SomMotA_7,SomMotA,R,0.9598214285714286,224
19,RH_SomMotA_8,SomMotA,R,0.9598214285714286,224
20,RH_SomMotA_9,SomMotA,R,0.9732142857142857,224
21,RH_SomMotA_10,SomMotA,R,0.9776785714285714,224
22,RH_SomMotA_11,SomMotA,R,0.9598214285714286,224
23,RH_SomMotB_Aud_1,SomMotB,R,0.9910714285714286,224
24,RH_SomMotB_Aud_2,SomMotB,R,0.9642857142857143,224
25,RH_SomMotB_S2_1,SomMotB,R,0.9553571428571429,224
26,RH_SomMotB_S2_2,SomMotB,R,0.96875,224
27,RH_SomMotB_S2_3,SomMotB,R,0.9776785714285714,224
28,RH_SomMotB_S2_4,SomMotB,R,0.9955357142857143,224
29,RH_SomMotB_Cent_1,SomMotB,R,0.9375,224
30,RH_DorsAttnA_TempOcc_1,DorsAttnA,R,0.9866071428571429,224
31,RH_DorsAttnA_ParOcc_1,DorsAttnA,R,0.8794642857142857,224
32,RH_DorsAttnA_SPL_1,DorsAttnA,R,0.9732142857142857,224
33,RH_DorsAttnA_SPL_2,DorsAttnA,R,0.9776785714285714,224
34,RH_DorsAttnA_SPL_3,DorsAttnA,R,0.9821428571428571,224
35,RH_DorsAttnA_SPL_4,DorsAttnA,R,0.9955357142857143,224
36,RH_DorsAttnB_PostC_1,DorsAttnB,R,0.9732142857142857,224
37,RH_DorsAttnB_PostC_2,DorsAttnB,R,0.9375,224
38,RH_DorsAttnB_PostC_3,DorsAttnB,R,0.96875,224
39,RH_DorsAttnB_PostC_4,DorsAttnB,R,0.9866071428571429,224
40,RH_DorsAttnB_FEF_1,DorsAttnB,R,0.9330357142857143,224
41,RH_SalVentAttnA_ParOper_1,SalVentAttnA,R,0.9910714285714286,224
