region_idx,region_name,network,hemisphere,recall,n_samples
0,RH_VisCent_ExStr_1,VisCent,R,1.0,200
1,RH_VisCent_ExStr_2,VisCent,R,0.955,200
2,RH_VisCent_Striate_1,VisCent,R,0.91,200
3,RH_VisCent_ExStr_3,VisCent,R,0.935,200
4,RH_VisCent_ExStr_4,VisCent,R,0.985,200
5,RH_VisCent_ExStr_5,VisCent,R,0.99,200
6,RH_VisPeri_ExStrInf_1,VisPeri,R,0.985,200
7,RH_VisPeri_ExStrInf_2,VisPeri,R,0.925,200
8,RH_VisPeri_StriCal_1,VisPeri,R,0.98,200
9,RH_VisPeri_ExStrSup_1,VisPeri,R,0.96,200
10,RH_VisPeri_ExStrSup_2,VisPeri,R,0.97,200
11,RH_VisPeri_ExStrSup_3,VisPeri,R,0.95,200
12,RH_SomMotA_1,SomMotA,R,0.99,200
13,RH_SomMotA_2,SomMotA,R,0.96,200
14,RH_SomMotA_3,SomMotA,R,0.965,200
15,RH_SomMotA_4,SomMotA,R,0.995,200
16,RH_SomMotA_5,SomMotA,R,0.97,200
17,RH_SomMotA_6,SomMotA,R,1.0,200
18,RH_SomMotA_7,SomMotA,R,0.965,200
19,RH_SomMotA_8,SomMotA,R,0.945,200
20,RH_SomMotA_9,SomMotA,R,0.95,200
21,RH_SomMotA_10,SomMotA,R,0.965,200
22,RH_SomMotA_11,SomMotA,R,0.93,200
23,RH_SomMotB_Aud_1,SomMotB,R,0.92,200
24,RH_SomMotB_Aud_2,SomMotB,R,0.915,200
25,RH_SomMotB_S2_1,SomMotB,R,0.87,200
26,RH_SomMotB_S2_2,SomMotB,R,0.88,200
27,RH_SomMotB_S2_3,SomMotB,R,0.925,200
28,RH_SomMotB_S2_4,SomMotB,R,0.975,200
29,RH_SomMotB_Cent_1,SomMotB,R,0.89,200
30,RH_DorsAttnA_TempOcc_1,DorsAttnA,R,0.98,200
31,RH_DorsAttnA_ParOcc_1,DorsAttnA,R,0.895,200
32,RH_DorsAttnA_SPL_1,DorsAttnA,R,0.97,200
33,RH_DorsAttnA_SPL_2,DorsAttnA,R,0.96,200
34,RH_DorsAttnA_SPL_3,DorsAttnA,R,0.92,200
35,RH_DorsAttnA_SPL_4,DorsAttnA,R,0.955,200
36,RH_DorsAttnB_PostC_1,DorsAttnB,R,0.91,200
37,RH_DorsAttnB_PostC_2,DorsAttnB,R,0.98,200
38,RH_DorsAttnB_PostC_3,DorsAttnB,R,0.985,200
39,RH_DorsAttnB_PostC_4,DorsAttnB,R,0.99,200
40,RH_DorsAttnB_FEF_1,DorsAttnB,R,0.865,200
41,RH_SalVentAttnA_ParOper_1,SalVentAttnA,R,0.985,200
42,RH_SalVentAttnA_PrC_1,SalVentAttnA,R,0.565,200
43,RH_SalVentAttnA_Ins_1,SalVentAttnA,R,0.73,200
44,RH_SalVentAttnA_Ins_2,SalVentAttnA,R,0.92,200
45,RH_SalVentAttnA_FrOper_1,SalVentAttnA,R,0.955,200
46,RH_SalVentAttnA_FrMed_1,SalVentAttnA,R,0.965,200
47,RH_SalVentAttnA_ParMed_1,SalVentAttnA,R,0.795,200
48,RH_SalVentAttnA_ParMed_2,SalVentAttnA,R,0.96,200
49,RH_SalVentAttnA_FrMed_2,SalVentAttnA,R,0.96,200
50,RH_SalVentAttnB_IPL_1,SalVentAttnB,R,0.91,200
51,RH_SalVentAttnB_PFClv_1,SalVentAttnB,R,0.9,200
52,RH_SalVentAttnB_PFCl_1,SalVentAttnB,R,0.915,200
53,RH_SalVentAttnB_Ins_1,SalVentAttnB,R,0.905,200
54,RH_SalVentAttnB_Ins_2,SalVentAttnB,R,0.95,200
55,RH_SalVentAttnB_PFCmp_1,SalVentAttnB,R,0.93,200
56,RH_LimbicB_OFC_1,LimbicB,R,0.88,200
57,RH_LimbicB_OFC_2,LimbicB,R,0.935,200
58,RH_LimbicB_OFC_3,LimbicB,R,0.945,200
59,RH_LimbicB_OFC_4,LimbicB,R,0.855,200
60,RH_LimbicA_TempPole_1,LimbicA,R,0.77,200
61,RH_LimbicA_TempPole_2,LimbicA,R,0.645,200
62,RH_LimbicA_TempPole_3,LimbicA,R,0.765,200
63,RH_LimbicA_TempPole_4,LimbicA,R,0.925,200
64,RH_ContA_IPS_1,ContA,R,0.985,200
65,RH_ContA_IPS_2,ContA,R,0.99,200
66,RH_ContA_PFCd_1,ContA,R,0.865,200
67,RH_ContA_PFCl_1,ContA,R,0.835,200
68,RH_ContA_PFCl_2,ContA,R,0.915,200
69,RH_ContA_Cingm_1,ContA,R,0.475,200
70,RH_ContB_Temp_1,ContB,R,0.93,200
71,RH_ContB_Temp_2,ContB,R,0.89,200
72,RH_ContB_IPL_1,ContB,R,0.98,200
73,RH_ContB_IPL_2,ContB,R,0.99,200
74,RH_ContB_PFCld_1,ContB,R,0.805,200
75,RH_ContB_PFCld_2,ContB,R,0.98,200
76,RH_ContB_PFClv_1,ContB,R,0.97,200
77,RH_ContB_PFClv_2,ContB,R,0.895,200
78,RH_ContB_PFCmp_1,ContB,R,0.98,200
79,RH_ContB_PFCld_3,ContB,R,0.935,200
80,RH_ContC_pCun_1,ContC,R,0.975,200
81,RH_ContC_pCun_2,ContC,R,0.875,200
82,RH_ContC_Cingp_1,ContC,R,0.83,200
83,RH_DefaultA_IPL_1,DefaultA,R,0.925,200
84,RH_DefaultA_PFCd_1,DefaultA,R,0.84,200
85,RH_DefaultA_pCunPCC_1,DefaultA,R,0.935,200
86,RH_DefaultA_PFCm_1,DefaultA,R,0.93,200
