network,n_regions,n_samples,accuracy,precision,recall,f1_score
VisPeri,6,1344,0.9613095238095238,1.0,0.9613095238095238,0.9802543284761986
VisCent,6,1344,0.9322916666666666,0.9933978837275811,0.9322916666666666,0.9616385404613244
DorsAttnB,5,1120,0.9241071428571429,0.9971098133516547,0.9241071428571427,0.9590492575861115
SomMotB,7,1568,0.9158163265306123,0.9951494004805053,0.9158163265306124,0.9536487779913644
DefaultC,3,672,0.9122023809523809,1.0,0.9122023809523809,0.9538976272042042
DorsAttnA,6,1344,0.9069940476190477,0.9943191441175312,0.9069940476190476,0.9482343459399633
ContC,3,672,0.90625,1.0,0.90625,0.9501546846823091
DefaultB,4,896,0.90625,0.9962483367010004,0.9062499999999999,0.949030492019002
SomMotA,11,2464,0.9050324675324676,0.9817790156872409,0.9050324675324675,0.9416760167626518
ContB,10,2240,0.8875,0.9752802837380032,0.8875,0.9292668649000116
TempPar,4,896,0.8805803571428571,0.9925055843232815,0.8805803571428571,0.9331684265154994
SalVentAttnB,6,1344,0.8794642857142857,0.9841004056485462,0.8794642857142857,0.9285616267777889
SalVentAttnA,9,2016,0.8720238095238095,0.9791866368158052,0.8720238095238095,0.9215594392057527
DefaultA,6,1344,0.8697916666666666,0.990845826151995,0.8697916666666666,0.9242793557463878
ContA,6,1344,0.8578869047619048,0.9904777313990761,0.8578869047619048,0.915863824371615
LimbicB,4,896,0.8549107142857143,0.9842982405760552,0.8549107142857142,0.914022563450397
LimbicA,4,896,0.7790178571428571,0.9767870832742606,0.7790178571428572,0.8657242909290201
Subcortical,16,3584,0.7647879464285714,0.8661089414557549,0.7647879464285714,0.8119769699363522
