network,n_regions,n_samples,accuracy,precision,recall,f1_score
VisPeri,6,1344,0.9903273809523809,1.0,0.9903273809523809,0.9951310672542526
SomMotB,7,1568,0.9713010204081632,0.9986830926083262,0.9713010204081632,0.984753688457494
ContC,3,672,0.9672619047619048,1.0,0.9672619047619048,0.9832533961974687
SomMotA,11,2464,0.963474025974026,0.9896130357668228,0.9634740259740261,0.97627307134102
VisCent,6,1344,0.9620535714285714,0.9952876360132277,0.9620535714285715,0.9781408110474296
DefaultB,4,896,0.9609375,1.0,0.9609375,0.9800495843713433
DorsAttnA,6,1344,0.9598214285714286,0.9960381703650998,0.9598214285714285,0.9772748739072847
DefaultC,3,672,0.9568452380952381,0.9937830687830688,0.9568452380952381,0.9748579619003687
DorsAttnB,5,1120,0.9544642857142858,0.9990384615384615,0.9544642857142858,0.9761384209966032
SalVentAttnB,6,1344,0.9441964285714286,0.9960348568025611,0.9441964285714285,0.9693110043343168
ContB,10,2240,0.9379464285714286,0.9856791486306818,0.9379464285714285,0.9609748414960444
TempPar,4,896,0.9319196428571429,0.991814867637236,0.9319196428571428,0.9608803100286933
SalVentAttnA,9,2016,0.9156746031746031,0.9891437712785199,0.9156746031746033,0.949922074029144
LimbicB,4,896,0.8995535714285714,0.9911476862933404,0.8995535714285714,0.9425986962984013
ContA,6,1344,0.8936011904761905,0.9925054004463356,0.8936011904761906,0.9357603420732646
DefaultA,6,1344,0.8913690476190477,0.9966832504145936,0.8913690476190478,0.9348941844235609
Subcortical,16,3584,0.8138950892857143,0.8852565841706925,0.8138950892857143,0.8445786868430474
LimbicA,4,896,0.8035714285714286,0.9750882353289824,0.8035714285714286,0.8799615274462137
