feature,importance_gain,fold
connection_to_RH_VisPeri_ExStrSup_1,0.019472666,1
connection_to_RH_VisCent_ExStr_5,0.013129171,1
connection_to_RH_VisPeri_StriCal_1,0.012417474,1
connection_to_aGP-rh,0.011245163,1
connection_to_RH_SomMotB_Aud_2,0.01112185,1
connection_to_RH_ContB_Temp_2,0.011010683,1
connection_to_RH_VisCent_ExStr_1,0.01088887,1
connection_to_RH_SomMotA_4,0.010861049,1
connection_to_RH_DefaultB_PFCd_1,0.010574189,1
connection_to_RH_ContA_Cingm_1,0.010485811,1
connection_to_RH_SomMotA_6,0.010480144,1
connection_to_RH_SomMotA_5,0.010472761,1
connection_to_pPUT-rh,0.010363004,1
connection_to_RH_DorsAttnA_SPL_3,0.010356437,1
connection_to_THA-VA-rh,0.010319538,1
connection_to_pGP-rh,0.010224654,1
connection_to_RH_SalVentAttnA_ParMed_1,0.010134155,1
connection_to_NAc-shell-rh,0.010106032,1
connection_to_RH_DefaultA_PFCm_2,0.01003696,1
connection_to_RH_SalVentAttnA_Ins_1,0.010004878,1
connection_to_RH_SomMotA_10,0.009896516,1
connection_to_mAMY-rh,0.009886124,1
connection_to_RH_SomMotB_S2_1,0.009787853,1
connection_to_RH_VisCent_ExStr_3,0.0097367475,1
connection_to_RH_DefaultB_AntTemp_1,0.009691571,1
connection_to_RH_DefaultA_PFCm_1,0.009680016,1
connection_to_RH_VisPeri_ExStrInf_1,0.00965793,1
connection_to_RH_DorsAttnA_TempOcc_1,0.009643565,1
connection_to_RH_TempPar_3,0.009621434,1
connection_to_RH_DorsAttnB_PostC_1,0.009592449,1
connection_to_RH_DefaultA_PFCd_1,0.009538591,1
connection_to_RH_SomMotA_9,0.009499242,1
connection_to_RH_SomMotA_1,0.009409124,1
connection_to_RH_DorsAttnB_PostC_2,0.009298564,1
connection_to_pHIP-rh,0.009278668,1
connection_to_RH_SalVentAttnB_Ins_1,0.009241165,1
connection_to_RH_LimbicB_OFC_3,0.009191588,1
connection_to_RH_ContB_PFCld_2,0.0091651315,1
connection_to_RH_SomMotB_S2_4,0.009115555,1
connection_to_RH_DefaultA_PFCm_3,0.00910701,1
connection_to_RH_VisCent_ExStr_4,0.009082941,1
connection_to_RH_LimbicA_TempPole_1,0.009028871,1
connection_to_RH_ContC_Cingp_1,0.008969739,1
connection_to_RH_ContC_pCun_2,0.0089684585,1
connection_to_RH_TempPar_1,0.008955243,1
connection_to_THA-DA-rh,0.008947929,1
connection_to_aCAU-rh,0.008944675,1
connection_to_RH_LimbicA_TempPole_3,0.008879345,1
connection_to_RH_VisPeri_ExStrSup_3,0.008811661,1
connection_to_RH_DorsAttnB_FEF_1,0.008809688,1
connection_to_RH_LimbicB_OFC_4,0.008794303,1
connection_to_RH_ContB_PFCld_3,0.008787712,1
connection_to_THA-VP-rh,0.008728382,1
connection_to_RH_ContB_Temp_1,0.008720502,1
connection_to_RH_SomMotA_8,0.008679605,1
connection_to_RH_SalVentAttnA_PrC_1,0.0086367475,1
connection_to_RH_SomMotB_S2_2,0.008601076,1
connection_to_RH_SomMotB_S2_3,0.008564842,1
connection_to_RH_SomMotB_Aud_1,0.008499731,1
connection_to_RH_DorsAttnB_PostC_4,0.008413623,1
connection_to_RH_SomMotB_Cent_1,0.00840842,1
connection_to_RH_ContB_IPL_2,0.008402984,1
connection_to_pCAU-rh,0.0083275745,1
connection_to_RH_ContB_IPL_1,0.008276514,1
connection_to_RH_DefaultC_Rsp_1,0.00821487,1
connection_to_RH_DorsAttnA_SPL_4,0.008172981,1
connection_to_RH_LimbicA_TempPole_2,0.008161841,1
connection_to_RH_LimbicB_OFC_2,0.008146063,1
connection_to_RH_DorsAttnA_ParOcc_1,0.008121149,1
connection_to_RH_ContA_PFCd_1,0.008099938,1
connection_to_lAMY-rh,0.008091468,1
connection_to_aPUT-rh,0.008063738,1
connection_to_RH_SalVentAttnA_ParOper_1,0.008024878,1
connection_to_RH_SalVentAttnA_FrOper_1,0.007982872,1
connection_to_RH_ContB_PFCmp_1,0.007979592,1
connection_to_THA-DP-rh,0.007972295,1
connection_to_RH_SalVentAttnA_ParMed_2,0.007940485,1
connection_to_RH_SalVentAttnB_PFCl_1,0.007867236,1
connection_to_RH_SomMotA_11,0.007683682,1
connection_to_RH_ContB_PFClv_1,0.007663999,1
connection_to_RH_DorsAttnB_PostC_3,0.0076286057,1
connection_to_RH_SomMotA_3,0.0076229624,1
connection_to_RH_SalVentAttnA_Ins_2,0.007612544,1
connection_to_RH_LimbicB_OFC_1,0.0075799585,1
connection_to_RH_TempPar_4,0.0075707296,1
connection_to_RH_DefaultB_PFCv_1,0.007524803,1
connection_to_RH_ContB_PFClv_2,0.0074094115,1
connection_to_RH_SalVentAttnA_FrMed_2,0.007402038,1
connection_to_RH_SalVentAttnB_PFClv_1,0.0073887184,1
connection_to_RH_ContA_PFCl_2,0.0073618307,1
connection_to_RH_TempPar_2,0.0073244697,1
connection_to_RH_ContA_PFCl_1,0.0073035,1
connection_to_RH_SalVentAttnB_Ins_2,0.007251345,1
connection_to_RH_SalVentAttnA_FrMed_1,0.007175812,1
connection_to_RH_ContA_IPS_1,0.0071592857,1
connection_to_RH_SalVentAttnB_IPL_1,0.007135547,1
connection_to_RH_SalVentAttnB_PFCmp_1,0.00712918,1
connection_to_RH_VisCent_ExStr_2,0.007063431,1
connection_to_RH_DefaultC_IPL_1,0.0070544337,1
connection_to_RH_VisPeri_ExStrInf_2,0.007040805,1
connection_to_NAc-core-rh,0.006845981,1
connection_to_RH_DorsAttnA_SPL_2,0.0068208883,1
connection_to_RH_DefaultA_pCunPCC_1,0.0068007754,1
connection_to_RH_DefaultC_PHC_1,0.0067896056,1
connection_to_RH_DorsAttnA_SPL_1,0.0066816136,1
connection_to_RH_SomMotA_2,0.0066784997,1
connection_to_aHIP-rh,0.0065695643,1
connection_to_RH_ContA_IPS_2,0.006472723,1
connection_to_RH_SomMotA_7,0.006335599,1
connection_to_RH_LimbicA_TempPole_4,0.0062970947,1
connection_to_RH_DefaultA_IPL_1,0.006230374,1
connection_to_RH_VisCent_Striate_1,0.0061491337,1
connection_to_RH_ContC_pCun_1,0.006134516,1
connection_to_RH_DefaultB_Temp_1,0.0059711454,1
connection_to_RH_ContB_PFCld_1,0.00577542,1
connection_to_RH_VisPeri_ExStrSup_2,0.005535622,1
connection_to_RH_VisPeri_ExStrSup_1,0.01567687,2
connection_to_RH_VisCent_ExStr_5,0.013418953,2
connection_to_RH_ContA_Cingm_1,0.012065789,2
connection_to_THA-VA-rh,0.0113505395,2
connection_to_aGP-rh,0.011350083,2
connection_to_pGP-rh,0.011189292,2
connection_to_RH_VisCent_ExStr_1,0.011166404,2
connection_to_pPUT-rh,0.011048115,2
connection_to_RH_ContB_Temp_2,0.010916332,2
connection_to_RH_VisPeri_StriCal_1,0.010900545,2
connection_to_RH_VisPeri_ExStrInf_1,0.010821869,2
connection_to_RH_SomMotA_6,0.010752772,2
connection_to_RH_DorsAttnB_PostC_2,0.010586517,2
connection_to_RH_DefaultA_PFCm_3,0.010451824,2
connection_to_RH_DefaultA_PFCm_2,0.0104381535,2
connection_to_RH_DorsAttnA_SPL_4,0.010434506,2
connection_to_RH_ContB_PFCld_2,0.010371473,2
connection_to_RH_SomMotB_S2_1,0.010301359,2
connection_to_RH_SomMotB_Aud_2,0.01029055,2
connection_to_RH_SomMotA_10,0.010249942,2
connection_to_RH_SomMotA_4,0.010179819,2
connection_to_RH_DorsAttnA_SPL_3,0.010130017,2
connection_to_RH_ContB_Temp_1,0.010076953,2
connection_to_NAc-shell-rh,0.01000437,2
connection_to_RH_SalVentAttnA_Ins_1,0.0099243345,2
connection_to_RH_SalVentAttnA_ParMed_1,0.009869279,2
connection_to_pHIP-rh,0.0098535,2
connection_to_RH_DefaultB_PFCd_1,0.009685969,2
connection_to_RH_SomMotB_S2_2,0.009545417,2
connection_to_RH_SomMotA_9,0.009485343,2
connection_to_RH_DefaultA_PFCd_1,0.009293066,2
