feature,avg_importance_gain
connection_to_RH_VisPeri_ExStrSup_1,0.017056352
connection_to_RH_VisCent_ExStr_5,0.013171938
connection_to_RH_VisPeri_StriCal_1,0.011657737
connection_to_RH_ContA_Cingm_1,0.0113712065
connection_to_pPUT-rh,0.011011307
connection_to_RH_ContB_Temp_2,0.010990399
connection_to_THA-VA-rh,0.010782751
connection_to_RH_VisCent_ExStr_1,0.010766196
connection_to_aGP-rh,0.010755502
connection_to_RH_VisPeri_ExStrInf_1,0.010723881
connection_to_RH_SomMotB_Aud_2,0.010709216
connection_to_pGP-rh,0.0106899105
connection_to_RH_SomMotA_4,0.010455228
connection_to_RH_SomMotB_S2_1,0.01032665
connection_to_RH_SomMotA_6,0.010193967
connection_to_RH_DefaultA_PFCm_2,0.010145797
connection_to_RH_SalVentAttnA_ParMed_1,0.010066147
connection_to_RH_ContB_PFCld_2,0.010061815
connection_to_RH_SomMotA_10,0.010020284
connection_to_RH_DorsAttnB_PostC_2,0.009962539
connection_to_RH_DorsAttnA_SPL_3,0.00994798
connection_to_NAc-shell-rh,0.009909683
connection_to_RH_DefaultB_PFCd_1,0.009750802
connection_to_RH_SalVentAttnA_Ins_1,0.009746708
connection_to_RH_VisCent_ExStr_3,0.009720393
connection_to_RH_SomMotB_S2_2,0.009597449
connection_to_RH_SomMotA_9,0.009580341
connection_to_RH_DorsAttnA_SPL_4,0.009539819
connection_to_RH_SomMotA_5,0.009421692
connection_to_pHIP-rh,0.009404002
connection_to_RH_DefaultB_AntTemp_1,0.0093607465
connection_to_RH_DefaultA_PFCm_3,0.00930694
connection_to_RH_TempPar_3,0.00923137
connection_to_RH_SomMotB_S2_4,0.009192265
connection_to_RH_LimbicA_TempPole_1,0.009149483
connection_to_RH_VisCent_ExStr_4,0.009145531
connection_to_RH_DefaultA_PFCd_1,0.009136175
connection_to_RH_LimbicA_TempPole_2,0.009086872
connection_to_RH_DorsAttnA_TempOcc_1,0.009021491
connection_to_RH_SomMotB_Aud_1,0.008949877
connection_to_RH_ContB_Temp_1,0.008945434
connection_to_RH_SomMotA_1,0.008916468
connection_to_RH_DefaultA_PFCm_1,0.008915157
connection_to_RH_ContC_Cingp_1,0.008914918
connection_to_RH_TempPar_1,0.008910873
connection_to_mAMY-rh,0.008878312
connection_to_aCAU-rh,0.008821632
connection_to_RH_SalVentAttnB_Ins_1,0.008801844
connection_to_RH_LimbicB_OFC_3,0.008798094
connection_to_RH_DorsAttnB_FEF_1,0.008783153
connection_to_THA-VP-rh,0.008739282
connection_to_RH_DorsAttnB_PostC_1,0.008734342
connection_to_RH_SalVentAttnA_PrC_1,0.008725074
connection_to_RH_DorsAttnB_PostC_4,0.008712608
connection_to_RH_LimbicA_TempPole_3,0.008711959
connection_to_RH_SomMotB_S2_3,0.008682336
connection_to_aPUT-rh,0.00865634
connection_to_RH_ContB_PFCld_3,0.008643126
connection_to_RH_ContC_pCun_2,0.008611095
connection_to_RH_SalVentAttnA_FrOper_1,0.0086032385
connection_to_RH_LimbicB_OFC_4,0.008581884
connection_to_RH_ContB_PFCmp_1,0.008476827
connection_to_pCAU-rh,0.008414396
connection_to_RH_SomMotA_8,0.00839553
connection_to_THA-DA-rh,0.008394316
connection_to_lAMY-rh,0.008223441
connection_to_RH_VisPeri_ExStrSup_3,0.008214885
connection_to_RH_VisPeri_ExStrInf_2,0.00819059
connection_to_RH_LimbicB_OFC_1,0.008135737
connection_to_THA-DP-rh,0.008110436
connection_to_RH_SalVentAttnA_ParMed_2,0.008080305
connection_to_RH_ContB_IPL_1,0.008042126
connection_to_RH_LimbicB_OFC_2,0.008015041
connection_to_RH_DorsAttnA_ParOcc_1,0.007997437
connection_to_RH_ContB_IPL_2,0.007993058
connection_to_RH_SalVentAttnA_ParOper_1,0.00787898
connection_to_RH_DefaultC_Rsp_1,0.007878319
connection_to_RH_ContB_PFClv_2,0.0077938647
connection_to_RH_SomMotA_3,0.007791448
connection_to_RH_TempPar_4,0.0077742003
connection_to_RH_SomMotB_Cent_1,0.0077588246
connection_to_RH_SalVentAttnB_PFCmp_1,0.007753247
connection_to_RH_TempPar_2,0.0076587535
connection_to_RH_SomMotA_11,0.007642785
connection_to_RH_ContA_PFCd_1,0.0076373345
connection_to_RH_SalVentAttnB_PFCl_1,0.007518087
connection_to_RH_DefaultC_IPL_1,0.007513358
connection_to_RH_SalVentAttnA_FrMed_1,0.0074687637
connection_to_RH_ContA_PFCl_2,0.0074533266
connection_to_RH_DefaultA_pCunPCC_1,0.0073793475
connection_to_RH_SalVentAttnA_FrMed_2,0.0073713902
connection_to_RH_DorsAttnB_PostC_3,0.00735098
connection_to_RH_SalVentAttnA_Ins_2,0.0073323403
connection_to_RH_SalVentAttnB_Ins_2,0.007311988
connection_to_RH_ContB_PFClv_1,0.007253852
connection_to_RH_SalVentAttnB_PFClv_1,0.007222989
connection_to_RH_ContA_IPS_2,0.007215681
connection_to_RH_SalVentAttnB_IPL_1,0.00716749
connection_to_RH_DefaultC_PHC_1,0.0071161245
connection_to_RH_ContA_PFCl_1,0.007109486
connection_to_RH_VisCent_Striate_1,0.007031461
connection_to_aHIP-rh,0.006937249
connection_to_RH_DefaultB_PFCv_1,0.0069093867
connection_to_NAc-core-rh,0.0068398234
connection_to_RH_ContA_IPS_1,0.006821957
connection_to_RH_DorsAttnA_SPL_2,0.006727776
connection_to_RH_VisCent_ExStr_2,0.0067221546
connection_to_RH_SomMotA_2,0.0066269613
connection_to_RH_SomMotA_7,0.0065947226
connection_to_RH_LimbicA_TempPole_4,0.0065888558
connection_to_RH_DorsAttnA_SPL_1,0.0065284385
connection_to_RH_DefaultA_IPL_1,0.006523063
connection_to_RH_ContC_pCun_1,0.0063432064
connection_to_RH_ContB_PFCld_1,0.005967211
connection_to_RH_DefaultB_Temp_1,0.005821155
connection_to_RH_VisPeri_ExStrSup_2,0.0057738745
