network,accuracy,precision,recall,f1_score,n_positive_samples,n_total_samples
DorsAttnB,0.9998845443349754,0.9991071428571429,0.9875,0.9932603972351164,1120,25984
SalVentAttnA,0.9998802681992337,0.9989944695827049,0.9871031746031745,0.9930087163969316,2016,25984
VisCent,0.9998653017241379,1.0,0.984375,0.9921178843872746,1344,25984
Subcortical,0.9998316271551725,0.9936685665843017,0.9868861607142857,0.9901982860159017,3584,25984
LimbicB,0.9998268165024631,0.9966367713004485,0.9832589285714286,0.9898900122713523,896,25984
SalVentAttnB,0.9998268165024631,0.998488276429453,0.9813988095238094,0.9898673764438342,1344,25984
ContA,0.9998204022988505,0.994138419462014,0.9851190476190476,0.9895389347809456,1344,25984
SomMotA,0.9998145712046574,0.9995848899958488,0.9788961038961038,0.989126478682651,2464,25984
VisPeri,0.9998139880952381,0.9977374634908882,0.9806547619047619,0.9891097517474141,1344,25984
SomMotB,0.9998130717804363,0.9993506493506494,0.9789540816326531,0.9890356864733797,1568,25984
DorsAttnA,0.9998075738916256,0.9984984984984985,0.9791666666666666,0.9887130077840788,1344,25984
ContB,0.9998037253694582,0.998198143108457,0.9790178571428572,0.9884985911680542,2240,25984
ContC,0.9997947454844006,1.0,0.9761904761904763,0.9879160930017065,672,25984
DefaultA,0.9997690886699507,0.9970030037310921,0.9761904761904762,0.9864317275751201,1344,25984
DefaultC,0.9997690886699507,1.0,0.9732142857142857,0.9864115040585629,672,25984
TempPar,0.999759467364532,0.998868778280543,0.9732142857142857,0.9858452202774078,896,25984
DefaultB,0.9997498460591133,0.9988532110091743,0.9720982142857143,0.9852915235666531,896,25984
LimbicA,0.9997209821428572,0.9888081648184388,0.9787946428571428,0.9837374869734528,896,25984
